Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9466991740,0.144320,-0.826608,0.474876
9467041181,0.144339,-0.826423,0.464206
9467090614,0.171358,-0.836353,0.485483
9467140056,0.153306,-0.827082,0.496155
9467189492,0.153356,-0.826731,0.474893
9467238928,0.162379,-0.835889,0.464242
9467288371,0.153355,-0.835572,0.453518
9467337809,0.162330,-0.836240,0.485507
9467387252,0.144264,-0.835790,0.474724
9467436705,0.153338,-0.826916,0.485564
9467486152,0.153405,-0.817540,0.475006
9467535597,0.135198,-0.835833,0.485299
9467585053,0.135204,-0.835842,0.485339
9467634499,0.144320,-0.826608,0.474876
9467683943,0.144339,-0.817582,0.485581
9467733378,0.135222,-0.835657,0.474668
9467782825,0.144277,-0.826968,0.496183
9467832276,0.144296,-0.826783,0.485508
9467881731,0.135328,-0.817284,0.474932
9467931187,0.135254,-0.826651,0.485452
9467980638,0.135247,-0.826641,0.485412
9468030089,0.126131,-0.835875,0.495874
9468079539,0.135223,-0.826817,0.496043
9468128986,0.117138,-0.844232,0.453181
9468178435,0.126181,-0.835525,0.474612
9468227889,0.126161,-0.844550,0.463905
9468277326,0.117169,-0.844067,0.442584
9468326770,0.117169,-0.844067,0.442584
9468376221,0.126006,-0.872115,0.463529
9468425678,0.126149,-0.862212,0.421086
9468475115,0.126081,-0.862748,0.453011
9468524560,0.126056,-0.862923,0.463642
9468574015,0.135073,-0.872072,0.452954
9468623462,0.135172,-0.853689,0.453180
9468672912,0.153330,-0.844587,0.442774
9468722362,0.153263,-0.845124,0.474706
9468771809,0.171414,-0.827172,0.485636
9468821248,0.180588,-0.791074,0.518082
9468870684,0.180614,-0.773217,0.550206
9468920118,0.171803,-0.727309,0.561398
9468969559,0.171796,-0.718461,0.582725
9469019000,0.190030,-0.682311,0.604554
9469068449,0.189998,-0.682479,0.615127
9469117885,0.190048,-0.673288,0.615240
9469167320,0.199089,-0.673421,0.615296
9469216756,0.199097,-0.664586,0.636734
9469266203,0.208156,-0.664537,0.626096
9469315650,0.199146,-0.673076,0.594090
9469365099,0.208096,-0.691599,0.593977
9469414548,0.198947,-0.709842,0.593639
9469463991,0.180877,-0.718432,0.572254
9469513433,0.171753,-0.736501,0.561285
9469562873,0.162598,-0.763576,0.539526
9469612326,0.144539,-0.763136,0.528782
9469661767,0.153413,-0.782186,0.560558
9469711224,0.162579,-0.772601,0.528828
9469760676,0.162554,-0.781617,0.518083
9469810115,0.162554,-0.790457,0.496705
9469859553,0.171521,-0.799957,0.507280
9469908993,0.171521,-0.799957,0.507280
9469958433,0.180655,-0.790539,0.486143
9470007880,0.180606,-0.790889,0.507406
9470057326,0.171571,-0.790765,0.507393
9470106764,0.171621,-0.772733,0.528884
9470156204,0.180614,-0.773217,0.550206
9470205639,0.171746,-0.736493,0.561234
9470255079,0.180870,-0.727266,0.550820
9470304520,0.198947,-0.718683,0.572260
9470353959,0.180962,-0.700035,0.572374
9470403397,0.189905,-0.709710,0.593583
9470452837,0.198989,-0.700644,0.593695
9470502280,0.208064,-0.691767,0.604553
9470551720,0.208106,-0.682569,0.604608
9470601161,0.208106,-0.682569,0.604608
9470650602,0.208081,-0.691585,0.593864
9470700041,0.226164,-0.691850,0.593976
9470749478,0.217155,-0.691549,0.583344
9470798915,0.198897,-0.719034,0.593526
9470848357,0.189798,-0.736926,0.571926
9470897784,0.171746,-0.736493,0.561234
9470947221,0.162654,-0.745552,0.561065
9470996669,0.153538,-0.763627,0.550151
9471046120,0.153562,-0.763452,0.539518
9471095565,0.144439,-0.781518,0.528557
9471144998,0.144477,-0.781360,0.518016
9471194438,0.144427,-0.790552,0.517903
9471243887,0.153462,-0.799516,0.496536
9471293333,0.153449,-0.808339,0.475080
9471342787,0.153406,-0.808699,0.496381
