Timestamp (us),Temperature (degC)
9467448268,46.125000
9468448138,46.125000
9469448006,46.125000
9470447873,46.125000
9471447741,46.125000
9472447611,46.125000
9473447479,46.200001
9474447347,46.200001
9475447217,46.125000
9476447086,46.125000
9477446954,46.224998
9478446823,46.250000
9479446694,46.250000
9480446563,46.250000
9481446431,46.125000
9482446300,46.224998
9483446170,46.250000
9484446038,46.250000
9485445907,46.250000
9486445778,46.250000
9487445647,46.174999
9488445515,46.150002
9489445384,46.250000
9490445255,46.250000
9491445124,46.250000
9492444992,46.250000
9493444862,46.250000
9494444733,46.250000
9495444601,46.150002
9496444471,46.200001
9497444341,46.200001
9498444212,46.125000
9499444080,46.250000
9500443949,46.250000
9501443821,46.250000
9502443691,46.250000
9503443559,46.250000
9504443429,46.250000
9505443300,46.250000
9506443169,46.250000
9507443039,46.250000
9508442911,46.250000
9509442781,46.250000
9510442650,46.250000
9511442521,46.250000
9512442393,46.250000
9513442271,46.250000
9514442132,46.250000
9515442004,46.250000
9516441872,46.250000
9517441743,46.250000
9518441615,46.250000
9519441486,46.250000
9520441355,46.250000
9521441226,46.250000
9522441099,46.250000
9523440969,46.250000
9524440840,46.250000
9525440711,46.250000
9526440582,46.250000
9527440452,46.250000
9528440322,46.325001
9529440195,46.349998
9530440066,46.250000
9531439936,46.250000
9532439807,46.325001
9533439680,46.375000
9534439552,46.349998
9535439422,46.250000
9536439293,46.250000
9537439165,46.250000
9538439038,46.250000
9539438908,46.250000
9540438780,46.250000
9541438652,46.250000
9542438525,46.250000
9543438395,46.275002
9544438266,46.375000
9545438138,46.275002
9546438012,46.250000
9547437883,46.250000
9548437753,46.250000
9549437625,46.250000
9550437498,46.250000
9551437369,46.250000
9552437239,46.250000
9553437111,46.250000
9554436984,46.349998
9555436856,46.299999
9556436726,46.250000
9557436598,46.250000
9558436472,46.375000
9559436344,46.375000
9560436214,46.325001
9561436086,46.250000
9562435959,46.250000
9563435832,46.250000
9564435703,46.250000
9565435576,46.299999
9566435448,46.375000
9567435321,46.250000
9568435192,46.250000
