Timestamp (us),Percentage (%),Voltage (V),Charging Status
9467937734,79.696487,3.796965,0.000000
9468938268,79.672318,3.796723,0.000000
9469938802,79.703201,3.797032,0.000000
9470939333,79.668289,3.796683,0.000000
9471939864,79.652168,3.796522,0.000000
9472940399,79.681717,3.796817,0.000000
9473940933,79.666946,3.796669,0.000000
9474941464,79.693802,3.796938,0.000000
9475941995,79.632034,3.796320,0.000000
9476942527,79.653511,3.796535,0.000000
9477943058,79.645454,3.796455,0.000000
9478943611,79.637405,3.796374,0.000000
9479944142,79.640091,3.796401,0.000000
9480944673,79.649490,3.796495,0.000000
9481945207,79.644112,3.796441,0.000000
9482945738,79.629349,3.796294,0.000000
9483946269,79.662910,3.796629,0.000000
9484946800,79.632027,3.796320,0.000000
9485947349,79.649475,3.796495,0.000000
9486947884,79.648140,3.796482,0.000000
9487948418,79.633369,3.796334,0.000000
9488948950,79.626656,3.796267,0.000000
9489949480,79.650826,3.796508,0.000000
9490950011,79.664261,3.796643,0.000000
9491950542,79.617264,3.796172,0.000000
9492951096,79.634712,3.796347,0.000000
9493951629,79.594437,3.795944,0.000000
9494952165,79.568924,3.795689,0.000000
9495952699,79.611893,3.796119,0.000000
9496953229,79.628006,3.796280,0.000000
9497953763,79.611893,3.796119,0.000000
9498954312,79.578323,3.795783,0.000000
9499954844,79.593079,3.795931,0.000000
9500955376,79.583694,3.795837,0.000000
9501955909,79.601143,3.796011,0.000000
9502956441,79.535355,3.795354,0.000000
9503956973,79.542068,3.795421,0.000000
9504957505,79.551453,3.795515,0.000000
9505958059,79.543411,3.795434,0.000000
9506958591,79.547440,3.795474,0.000000
9507959123,79.513863,3.795139,0.000000
9508959653,79.504456,3.795045,0.000000
9509960184,79.562195,3.795622,0.000000
9510960715,79.531326,3.795313,0.000000
9511961273,79.536690,3.795367,0.000000
9512961803,79.551453,3.795514,0.000000
9513962335,79.534012,3.795340,0.000000
9514962866,79.562210,3.795622,0.000000
9515963396,79.505814,3.795058,0.000000
9516963927,79.528633,3.795286,0.000000
9517964461,79.542061,3.795421,0.000000
9518965015,79.504463,3.795045,0.000000
9519965547,79.509827,3.795098,0.000000
9520966080,79.507156,3.795071,0.000000
9521966611,79.497749,3.794978,0.000000
9522967143,79.519241,3.795192,0.000000
9523967673,79.499100,3.794991,0.000000
9524968204,79.544754,3.795448,0.000000
9525968749,79.493721,3.794937,0.000000
9526969280,79.481628,3.794816,0.000000
9527969811,79.519241,3.795192,0.000000
9528970345,79.470886,3.794709,0.000000
9529970878,79.441353,3.794414,0.000000
9530971409,79.478958,3.794790,0.000000
9531971956,79.448074,3.794481,0.000000
9532972494,79.434647,3.794347,0.000000
9533973028,79.452103,3.794521,0.000000
9534973559,79.464188,3.794642,0.000000
9535974091,79.418533,3.794185,0.000000
9536974622,79.456131,3.794561,0.000000
9537975153,79.427925,3.794279,0.000000
9538975684,79.431961,3.794320,0.000000
9539976215,79.470901,3.794709,0.000000
9540976749,79.426590,3.794266,0.000000
9541977281,79.430618,3.794306,0.000000
9542977811,79.454788,3.794548,0.000000
9543978343,79.410477,3.794105,0.000000
9544978876,79.453445,3.794534,0.000000
9545979410,79.418533,3.794185,0.000000
9546979941,79.421219,3.794212,0.000000
9547980476,79.395691,3.793957,0.000000
9548981007,79.366165,3.793662,0.000000
9549981540,79.359436,3.793594,0.000000
9550982074,79.440018,3.794400,0.000000
9551982613,79.390327,3.793903,0.000000
9552983149,79.435974,3.794360,0.000000
9553983683,79.383606,3.793836,0.000000
9554984214,79.339294,3.793393,0.000000
9555984746,79.366150,3.793662,0.000000
9556985277,79.332588,3.793326,0.000000
9557985807,79.366165,3.793662,0.000000
9558986369,79.346016,3.793460,0.000000
9559986900,79.337967,3.793380,0.000000
9560987431,79.367508,3.793675,0.000000
9561987964,79.316467,3.793164,0.000000
9562988495,79.339294,3.793393,0.000000
9563989026,79.319153,3.793191,0.000000
9564989557,79.340645,3.793407,0.000000
9565990094,79.401070,3.794011,0.000000
9566990626,79.346008,3.793460,0.000000
9567991159,79.324532,3.793245,0.000000
9568991691,79.332581,3.793326,0.000000
