Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9466977473,-0.054807,1.035749,-0.345792
9466998285,-0.054807,0.986749,-0.296792
9467019094,0.043193,0.986749,-0.394792
9467039904,-0.005808,0.937749,-0.247792
9467060714,-0.005808,0.937749,-0.345792
9467081527,0.092192,0.937749,-0.345792
9467102339,-0.005808,0.937749,-0.247792
9467123150,-0.152808,0.937749,-0.247792
9467143959,-0.103808,0.937749,-0.345792
9467164766,-0.054807,0.937749,-0.296792
9467185575,-0.054807,0.986749,-0.296792
9467206384,-0.005808,1.035749,-0.345792
9467227196,0.043193,0.937749,-0.296792
9467248008,0.092192,0.937749,-0.345792
9467268821,-0.103808,0.937749,-0.345792
9467289636,-0.054807,0.937749,-0.247792
9467310450,-0.103808,0.986749,-0.296792
9467331264,-0.152808,0.986749,-0.345792
9467352080,-0.103808,0.888749,-0.394792
9467372895,-0.054807,0.986749,-0.345792
9467393708,-0.103808,0.986749,-0.247792
9467414523,-0.054807,0.937749,-0.296792
9467435336,-0.152808,0.986749,-0.296792
9467456150,-0.054807,0.888749,-0.345792
9467476964,-0.054807,0.888749,-0.345792
9467497780,-0.054807,0.937749,-0.394792
9467518597,-0.005808,0.986749,-0.394792
9467539410,-0.054807,0.986749,-0.296792
9467560220,-0.054807,0.937749,-0.345792
9467581033,-0.152808,0.937749,-0.443792
9467601848,0.092192,0.937749,-0.394792
9467622661,-0.103808,0.937749,-0.345792
9467643473,-0.103808,1.084749,-0.345792
9467664286,-0.054807,0.986749,-0.345792
9467685099,-0.054807,0.937749,-0.247792
9467705914,-0.054807,0.937749,-0.296792
9467726730,-0.005808,0.790749,-0.296792
9467747548,-0.103808,0.839749,-0.345792
9467768363,-0.103808,0.986749,-0.345792
9467789175,-0.054807,0.986749,-0.296792
9467809989,-0.005808,0.937749,-0.345792
9467830803,0.043193,0.888749,-0.296792
9467851615,-0.103808,0.937749,-0.443792
9467872428,-0.005808,0.937749,-0.345792
9467893240,-0.054807,0.937749,-0.345792
9467914052,-0.005808,0.986749,-0.345792
9467934865,-0.005808,0.986749,-0.394792
9467955679,-0.005808,1.035749,-0.345792
9467976492,-0.054807,0.888749,-0.345792
9467997304,-0.005808,0.937749,-0.247792
9468018115,-0.005808,0.888749,-0.345792
9468038924,-0.103808,0.937749,-0.443792
9468059735,-0.005808,0.937749,-0.345792
9468080547,0.043193,0.888749,-0.296792
9468101357,-0.005808,0.888749,-0.394792
9468122171,-0.054807,0.937749,-0.296792
9468142981,-0.005808,0.888749,-0.394792
9468163791,-0.005808,0.937749,-0.296792
9468184598,-0.054807,0.986749,-0.296792
9468205407,-0.103808,0.937749,-0.394792
9468226216,-0.054807,1.035749,-0.296792
9468247029,-0.054807,0.937749,-0.345792
9468267840,-0.005808,0.888749,-0.394792
9468288652,-0.054807,0.986749,-0.394792
9468309464,-0.005808,0.937749,-0.394792
9468330278,-0.103808,0.986749,-0.345792
9468351088,-0.054807,0.937749,-0.394792
9468371898,-0.054807,0.986749,-0.345792
9468392709,-0.103808,0.937749,-0.345792
9468413518,-0.054807,0.986749,-0.345792
9468434327,-0.005808,0.937749,-0.247792
9468455137,-0.054807,0.888749,-0.345792
9468475946,-0.005808,0.888749,-0.394792
9468496757,-0.005808,0.937749,-0.394792
9468517567,-0.005808,0.937749,-0.296792
9468538376,-0.005808,0.888749,-0.296792
9468559185,-0.054807,0.937749,-0.247792
9468579995,-0.005808,0.888749,-0.394792
9468600806,-0.005808,0.888749,-0.394792
9468621616,-0.005808,0.888749,-0.296792
9468642427,-0.103808,0.937749,-0.296792
9468663241,-0.152808,1.035749,-0.345792
9468684053,-0.152808,0.937749,-0.345792
9468704863,-0.054807,0.888749,-0.394792
9468725672,-0.005808,0.986749,-0.345792
9468746482,-0.005808,0.986749,-0.394792
9468767291,-0.103808,1.035749,-0.296792
9468788099,-0.054807,0.986749,-0.345792
9468808908,-0.054807,1.035749,-0.345792
9468829718,-0.005808,0.839749,-0.296792
9468850525,-0.054807,0.937749,-0.394792
9468871333,-0.103808,0.937749,-0.345792
9468892150,-0.054807,0.937749,-0.296792
9468912959,-0.054807,0.937749,-0.296792
9468933769,-0.054807,0.937749,-0.394792
9468954578,-0.103808,0.888749,-0.443792
9468975389,-0.103808,0.937749,-0.443792
9468996198,-0.103808,0.937749,-0.345792
9469017009,-0.005808,0.937749,-0.443792
9469037823,-0.054807,0.888749,-0.394792
9469058635,-0.005808,0.986749,-0.394792
9469079446,-0.103808,0.937749,-0.296792
9469100257,-0.103808,0.888749,-0.394792
9469121070,-0.152808,0.888749,-0.345792
9469141881,-0.054807,0.937749,-0.345792
9469162692,0.043193,0.937749,-0.345792
9469183504,-0.054807,0.888749,-0.345792
