Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9467010346,0.084700,-1.133968,1.211992
9467060501,0.084696,-1.133954,1.211788
9467110657,0.102544,-1.125122,1.201563
9467160804,0.093581,-1.133970,1.201816
9467210957,0.093728,-1.125160,1.221684
9467261115,0.093537,-1.125041,1.191845
9467311270,0.084525,-1.124946,1.181924
9467361419,0.084696,-1.133954,1.211788
9467411569,0.093704,-1.134035,1.221504
9467461719,0.093537,-1.125041,1.191845
9467511863,0.093649,-1.134023,1.211966
9467562007,0.093517,-1.133930,1.191869
9467612148,0.084681,-1.142857,1.212016
9467662291,0.084597,-1.125013,1.192272
9467712438,0.093537,-1.125041,1.191845
9467762585,0.093610,-1.125108,1.202195
9467812734,0.102602,-1.134092,1.212143
9467862887,0.093629,-1.142912,1.211990
9467913038,0.084569,-1.133875,1.191895
9467963187,0.093570,-1.142886,1.202245
9468013335,0.093590,-1.133997,1.202220
9468063485,0.102558,-1.125163,1.202169
9468113637,0.102597,-1.134078,1.211940
9468163787,0.084621,-1.142831,1.202271
9468213934,0.084641,-1.133942,1.202246
9468264085,0.084657,-1.125039,1.202019
9468314229,0.102647,-1.116327,1.212298
9468364376,0.084720,-1.125079,1.211967
9468414522,0.102529,-1.134025,1.201790
9468464660,0.093585,-1.133983,1.202018
9468514812,0.102593,-1.134065,1.211736
9468564957,0.093658,-1.134050,1.212373
9468615108,0.093521,-1.133944,1.192070
9468665256,0.093585,-1.133983,1.202018
9468715405,0.093482,-1.125028,1.182297
9468765552,0.093649,-1.134023,1.211966
9468815701,0.102534,-1.134039,1.201992
9468865845,0.093511,-1.142860,1.192496
9468915993,0.102479,-1.134026,1.192446
9468966138,0.102465,-1.133985,1.191843
9469016282,0.111571,-1.125258,1.212093
9469066435,0.102558,-1.125163,1.202169
9469116583,0.093581,-1.133970,1.201816
9469166729,0.093585,-1.133983,1.202018
9469216874,0.084573,-1.133888,1.192096
9469267014,0.093594,-1.134011,1.202422
9469317157,0.075712,-1.124997,1.202248
9469367300,0.084764,-1.134008,1.221940
9469417439,0.084637,-1.133928,1.202044
9469467575,0.084637,-1.133928,1.202044
9469517716,0.084720,-1.125079,1.211967
9469567865,0.075804,-1.116174,1.212579
9469618006,0.093541,-1.125054,1.192045
9469668148,0.102510,-1.116220,1.191995
9469718294,0.084681,-1.142857,1.212016
9469768437,0.093629,-1.116218,1.202171
9469818583,0.084709,-1.133995,1.212399
9469868724,0.084542,-1.125000,1.182722
9469918873,0.084577,-1.133902,1.192297
9469969023,0.084657,-1.125039,1.202019
9470019177,0.084645,-1.133955,1.202448
9470069324,0.075748,-1.133899,1.211814
9470119471,0.084700,-1.133968,1.211992
9470169622,0.084637,-1.133928,1.202044
9470219764,0.084632,-1.133914,1.201842
9470269903,0.084641,-1.133942,1.202246
9470320049,0.075633,-1.133860,1.192524
9470370191,0.093644,-1.134009,1.211762
9470420337,0.093678,-1.125161,1.212348
9470470478,0.093610,-1.125108,1.202195
