Timestamp (us),W Element,X Element,Y Element,Z Element
9466972605,0.030181,0.020737,0.714684,0.698662
9466975108,0.030186,0.020740,0.714682,0.698664
9466977610,0.030192,0.020742,0.714679,0.698667
9466980112,0.030196,0.020747,0.714674,0.698672
9466982614,0.030197,0.020755,0.714668,0.698677
9466985116,0.030200,0.020764,0.714663,0.698682
9466987619,0.030204,0.020775,0.714659,0.698686
9466990121,0.030210,0.020787,0.714654,0.698690
9466992623,0.030219,0.020801,0.714652,0.698692
9466995126,0.030231,0.020814,0.714649,0.698694
9466997628,0.030243,0.020826,0.714647,0.698695
9467000130,0.030252,0.020840,0.714647,0.698694
9467002632,0.030262,0.020853,0.714649,0.698691
9467005135,0.030272,0.020863,0.714651,0.698689
9467007637,0.030282,0.020874,0.714651,0.698687
9467010139,0.030293,0.020884,0.714651,0.698687
9467012642,0.030300,0.020897,0.714649,0.698689
9467015144,0.030308,0.020911,0.714646,0.698691
9467017646,0.030318,0.020925,0.714643,0.698693
9467020149,0.030327,0.020940,0.714639,0.698695
9467022651,0.030336,0.020955,0.714635,0.698699
9467025153,0.030344,0.020968,0.714631,0.698703
9467027656,0.030352,0.020981,0.714627,0.698706
9467030158,0.030359,0.020996,0.714626,0.698706
9467032660,0.030364,0.021014,0.714626,0.698705
9467035163,0.030370,0.021032,0.714625,0.698705
9467037665,0.030382,0.021044,0.714624,0.698706
9467040167,0.030395,0.021055,0.714619,0.698710
9467042669,0.030408,0.021066,0.714614,0.698714
9467045171,0.030421,0.021078,0.714608,0.698720
9467047674,0.030433,0.021087,0.714604,0.698723
9467050176,0.030446,0.021096,0.714603,0.698723
9467052678,0.030460,0.021103,0.714602,0.698723
9467055181,0.030471,0.021112,0.714604,0.698721
9467057683,0.030478,0.021123,0.714606,0.698718
9467060185,0.030482,0.021132,0.714607,0.698716
9467062688,0.030487,0.021141,0.714607,0.698716
9467065190,0.030491,0.021149,0.714606,0.698716
9467067692,0.030493,0.021158,0.714605,0.698717
9467070194,0.030497,0.021166,0.714604,0.698718
9467072696,0.030505,0.021174,0.714603,0.698718
9467075199,0.030517,0.021181,0.714604,0.698716
9467077701,0.030527,0.021191,0.714606,0.698714
9467080203,0.030535,0.021199,0.714610,0.698709
9467082706,0.030543,0.021201,0.714614,0.698704
9467085208,0.030547,0.021205,0.714621,0.698697
