Timestamp (us),Percentage (%),Power (dBm)
9467880155,80.000000,-60.000000
9468881994,84.000000,-58.000000
9469885379,84.000000,-58.000000
9470880193,84.000000,-58.000000
9471888917,78.000000,-61.000000
9472880219,86.000000,-57.000000
9473886147,80.000000,-60.000000
9474885704,74.000000,-63.000000
9475890874,78.000000,-61.000000
9476881782,76.000000,-62.000000
9477887685,56.000000,-72.000000
9478881123,78.000000,-61.000000
9479880308,72.000000,-64.000000
9480885421,80.000000,-60.000000
9481883833,94.000000,-53.000000
9482880347,98.000000,-51.000000
9483880688,96.000000,-52.000000
9484880372,88.000000,-56.000000
9485886603,98.000000,-51.000000
9486880398,100.000000,-50.000000
9487884329,90.000000,-55.000000
9488890232,80.000000,-60.000000
9489880446,100.000000,-50.000000
9490879227,90.000000,-55.000000
9491885483,88.000000,-56.000000
9492903901,84.000000,-58.000000
9493884798,84.000000,-58.000000
9494880500,86.000000,-57.000000
9495884126,98.000000,-51.000000
9496880526,96.000000,-52.000000
9497880539,96.000000,-52.000000
9498880551,86.000000,-57.000000
9499880564,92.000000,-54.000000
9500883284,90.000000,-55.000000
9502885521,82.000000,-59.000000
9503880616,82.000000,-59.000000
9504889852,76.000000,-62.000000
9505880786,84.000000,-58.000000
9506876695,90.000000,-55.000000
9507880094,82.000000,-59.000000
9508881002,86.000000,-57.000000
9509881942,96.000000,-52.000000
9510880324,100.000000,-48.000000
9511880718,94.000000,-53.000000
9512880731,96.000000,-52.000000
9513890573,100.000000,-50.000000
9514885723,96.000000,-52.000000
9515880789,86.000000,-57.000000
9516883306,92.000000,-54.000000
9517889222,84.000000,-58.000000
9518887633,94.000000,-53.000000
9519881071,90.000000,-55.000000
9520879480,80.000000,-60.000000
9521882897,82.000000,-59.000000
9522887749,96.000000,-52.000000
9523889698,100.000000,-50.000000
9524885608,86.000000,-57.000000
9525880918,92.000000,-54.000000
9526879927,90.000000,-55.000000
9527880840,90.000000,-55.000000
9528881792,72.000000,-64.000000
9529880163,82.000000,-59.000000
9530888603,82.000000,-59.000000
9531886991,82.000000,-59.000000
9532886336,86.000000,-57.000000
9533888815,82.000000,-59.000000
9534881012,98.000000,-51.000000
9535888136,94.000000,-53.000000
9536879040,100.000000,-49.000000
9537880556,94.000000,-53.000000
9538890871,96.000000,-52.000000
9539880977,96.000000,-52.000000
9540895197,82.000000,-59.000000
9541886134,96.000000,-52.000000
9542881115,84.000000,-58.000000
9543882944,96.000000,-52.000000
9544890392,90.000000,-55.000000
9545882262,84.000000,-58.000000
9546883173,90.000000,-55.000000
9547879056,92.000000,-54.000000
9548886526,96.000000,-52.000000
9549885931,80.000000,-60.000000
9550891788,94.000000,-53.000000
9551887693,90.000000,-55.000000
9552891105,88.000000,-56.000000
9553880846,78.000000,-61.000000
9554887918,78.000000,-61.000000
9555878849,82.000000,-59.000000
9556887234,88.000000,-56.000000
9557883169,80.000000,-60.000000
9558881576,90.000000,-55.000000
9559877450,96.000000,-52.000000
9560888367,100.000000,-50.000000
9561883931,96.000000,-52.000000
9562882372,96.000000,-52.000000
9563881383,98.000000,-51.000000
9564882025,82.000000,-59.000000
9565887938,94.000000,-53.000000
9566881308,88.000000,-56.000000
9567882250,96.000000,-52.000000
9568881448,86.000000,-57.000000
