Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9466999800,-0.081444,0.872085,-0.026202
9467020442,-0.081444,0.921085,-0.124202
9467041083,-0.130444,0.970085,-0.124202
9467061724,-0.032444,0.921085,-0.124202
9467082369,-0.032444,0.872085,-0.173202
9467103011,-0.032444,0.823085,-0.124202
9467123655,-0.081444,0.774085,-0.222202
9467144298,-0.081444,0.921085,-0.173202
9467164941,-0.032444,0.872085,-0.075202
9467185585,0.016556,0.921085,-0.124202
9467206229,-0.032444,0.823085,-0.222202
9467226872,-0.032444,0.774085,-0.075202
9467247516,-0.081444,0.872085,-0.222202
9467268159,-0.032444,0.921085,-0.124202
9467288802,-0.081444,0.872085,-0.173202
9467309446,0.016556,0.872085,-0.222202
9467330089,-0.032444,0.921085,-0.124202
9467350731,-0.032444,0.872085,-0.124202
9467371373,-0.081444,0.872085,-0.173202
9467392016,-0.032444,0.921085,-0.124202
9467412659,-0.032444,0.921085,-0.124202
9467433303,0.016556,0.872085,-0.124202
9467453946,0.016556,0.823085,-0.173202
9467474588,-0.032444,0.921085,-0.222202
9467495230,-0.032444,0.970085,-0.222202
9467515871,-0.081444,0.872085,-0.173202
9467536512,-0.032444,0.823085,-0.124202
9467557156,-0.032444,0.970085,-0.173202
9467577800,0.065556,0.921085,-0.173202
9467598444,0.016556,0.872085,-0.222202
9467619088,-0.032444,0.872085,-0.222202
9467639733,0.065556,0.872085,-0.173202
9467660376,0.065556,0.872085,-0.222202
9467681019,-0.032444,0.872085,-0.124202
9467701662,0.016556,0.872085,-0.124202
9467722304,0.016556,0.823085,-0.124202
9467742946,-0.032444,0.970085,-0.124202
9467763588,0.016556,0.872085,-0.271202
9467784231,-0.032444,0.823085,-0.222202
9467804872,-0.081444,0.970085,-0.271202
9467825513,-0.032444,0.823085,-0.173202
9467846154,-0.032444,0.970085,-0.124202
9467866796,-0.032444,0.921085,-0.320202
9467887439,0.065556,0.872085,-0.075202
9467908083,-0.081444,0.921085,-0.173202
9467928726,-0.130444,0.921085,-0.271202
9467949369,0.016556,0.921085,-0.173202
9467970012,0.016556,0.872085,-0.075202
9467990656,-0.081444,0.872085,-0.222202
9468011299,-0.032444,0.872085,-0.124202
9468031942,-0.032444,0.823085,-0.222202
9468052587,0.016556,0.823085,-0.222202
9468073231,-0.032444,0.872085,-0.271202
9468093903,-0.130444,0.872085,-0.222202
9468114521,-0.032444,0.774085,-0.124202
9468135165,-0.081444,0.872085,-0.075202
9468155809,-0.032444,0.921085,-0.222202
9468176454,0.016556,0.921085,-0.124202
9468197098,-0.032444,0.872085,-0.124202
9468217742,0.016556,0.970085,-0.075202
9468238385,-0.032444,0.921085,-0.026202
9468259029,-0.032444,0.921085,-0.075202
9468279673,-0.032444,0.725085,-0.075202
9468300317,-0.032444,0.872085,-0.124202
9468320960,-0.081444,0.872085,-0.075202
9468341604,-0.130444,0.921085,-0.124202
9468362249,-0.081444,0.823085,-0.026202
9468382894,-0.032444,0.921085,-0.026202
9468403541,0.016556,0.823085,-0.075202
9468424184,-0.032444,0.823085,-0.124202
9468444830,-0.081444,0.774085,-0.026202
9468465475,0.016556,0.823085,-0.026202
9468486120,-0.032444,0.970085,-0.124202
9468506763,0.065556,0.823085,0.022798
9468527407,-0.032444,0.823085,-0.026202
9468548051,-0.130444,0.872085,0.022798
9468568695,0.065556,0.872085,0.022798
9468589339,0.114556,0.774085,-0.075202
9468609982,-0.032444,0.774085,-0.026202
9468630624,-0.032444,0.823085,-0.026202
9468651266,0.016556,0.921085,-0.124202
9468671907,0.065556,0.872085,0.022798
9468692549,-0.032444,0.872085,-0.026202
9468713192,0.065556,0.823085,-0.075202
9468733834,0.016556,0.872085,-0.075202
9468754477,-0.032444,0.823085,-0.124202
9468775119,0.016556,0.872085,-0.173202
9468795762,0.016556,0.872085,-0.222202
9468816404,-0.032444,0.872085,-0.173202
9468837046,-0.032444,0.872085,-0.173202
9468857688,-0.081444,0.970085,-0.222202
9468878332,-0.081444,0.970085,-0.320202
9468898975,-0.081444,0.970085,-0.320202
9468919619,-0.081444,0.970085,-0.320202
9468940263,-0.130444,0.921085,-0.320202
9468960906,-0.130444,1.019085,-0.369202
9468981550,-0.130444,0.872085,-0.369202
9469002194,-0.081444,0.921085,-0.369202
9469022837,-0.081444,0.872085,-0.369202
9469043480,-0.032444,0.823085,-0.369202
9469064123,0.016556,0.823085,-0.320202
9469084767,-0.032444,0.872085,-0.418202
9469105411,-0.032444,0.872085,-0.418202
9469126055,-0.081444,0.823085,-0.320202
9469146699,-0.081444,0.872085,-0.271202
9469167343,0.016556,0.823085,-0.369202
9469187989,-0.032444,0.823085,-0.369202
9469208634,-0.032444,0.921085,-0.467202
9469229279,-0.130444,0.921085,-0.320202
9469249922,-0.081444,1.019085,-0.320202
9469270566,0.065556,0.921085,-0.516202
9469291208,-0.032444,0.921085,-0.418202
9469311852,-0.081444,0.921085,-0.369202
9469332495,-0.081444,0.921085,-0.418202
9469353138,0.016556,1.019085,-0.369202
9469373782,-0.032444,0.970085,-0.467202
9469394427,-0.081444,0.921085,-0.418202
9469415075,-0.032444,0.872085,-0.173202
9469435714,0.016556,0.872085,-0.124202
9469456358,0.016556,0.921085,-0.222202
9469477001,-0.032444,0.872085,-0.124202
9469497644,-0.032444,0.872085,-0.124202
9469518287,-0.081444,0.970085,-0.173202
9469538931,0.016556,0.921085,-0.124202
9469559575,-0.032444,0.823085,-0.124202
9469580219,-0.032444,0.872085,-0.075202
9469600863,-0.032444,0.823085,-0.173202
9469621507,-0.032444,0.872085,-0.124202
9469642150,-0.081444,0.823085,-0.173202
9469662793,-0.032444,0.823085,-0.173202
9469683436,-0.032444,0.872085,-0.173202
9469704080,0.065556,0.872085,-0.222202
9469724724,-0.081444,0.921085,-0.271202
9469745368,-0.032444,0.823085,-0.222202
9469766011,-0.081444,0.921085,-0.222202
9469786655,0.016556,0.872085,-0.271202
9469807298,0.016556,0.823085,-0.222202
9469827942,-0.081444,0.872085,-0.173202
9469848586,0.016556,0.823085,-0.271202
9469869230,-0.081444,0.921085,-0.271202
9469889872,0.016556,0.823085,-0.173202
9469910516,0.016556,0.872085,-0.222202
9469931159,0.016556,0.872085,-0.124202
9469951802,-0.032444,0.921085,-0.222202
9469972446,-0.032444,0.872085,-0.173202
9469993090,0.065556,0.774085,-0.222202
9470013735,0.016556,0.872085,-0.173202
9470034380,-0.032444,0.823085,-0.124202
9470055024,-0.081444,0.921085,-0.271202
9470075667,-0.081444,0.872085,-0.222202
9470096310,-0.081444,0.872085,-0.173202
9470116954,-0.130444,0.921085,-0.124202
9470137597,-0.032444,0.970085,-0.222202
9470158241,0.016556,0.921085,-0.222202
9470178884,-0.032444,0.823085,-0.369202
9470199527,-0.081444,0.921085,-0.271202
9470220170,-0.081444,0.823085,-0.271202
9470240813,-0.032444,0.921085,-0.369202
9470261456,0.016556,0.921085,-0.467202
9470282099,-0.032444,0.921085,-0.418202
9470302742,-0.032444,1.019085,-0.516202
9470323385,0.016556,0.921085,-0.467202
9470344028,-0.032444,0.921085,-0.467202
9470364672,-0.081444,0.921085,-0.516202
9470385315,-0.179444,0.921085,-0.516202
9470405959,-0.081444,0.872085,-0.418202
9470426602,-0.130444,0.823085,-0.467202
9470447246,-0.130444,0.823085,-0.418202
9470467890,-0.081444,0.823085,-0.516202
9470488533,-0.081444,0.823085,-0.467202
9470509176,-0.032444,0.872085,-0.369202
9470529820,-0.032444,0.921085,-0.369202
9470550463,0.016556,0.872085,-0.369202
9470571105,-0.032444,0.774085,-0.467202
9470591747,-0.081444,0.921085,-0.418202
9470612388,0.016556,0.872085,-0.320202
9470633029,-0.130444,0.970085,-0.320202
9470653670,-0.032444,0.872085,-0.565202
9470674312,-0.032444,0.921085,-0.467202
9470694954,-0.032444,0.921085,-0.418202
9470715595,-0.081444,1.019085,-0.320202
9470736255,-0.032444,0.921085,-0.418202
9470756877,0.016556,0.872085,-0.271202
9470777518,-0.081444,0.921085,-0.222202
9470798159,-0.081444,0.970085,-0.369202
9470818801,0.016556,0.872085,-0.320202
9470839443,0.016556,0.823085,-0.271202
9470860083,-0.032444,0.921085,-0.124202
9470880723,-0.081444,0.872085,-0.222202
9470901364,0.065556,0.823085,-0.173202
9470922005,0.016556,0.823085,-0.124202
9470942646,-0.081444,0.872085,-0.173202
9470963288,-0.032444,0.921085,-0.124202
9470983929,-0.032444,0.872085,-0.173202
9471004571,-0.032444,0.921085,-0.075202
9471025212,-0.130444,0.872085,-0.222202
9471045854,-0.081444,0.774085,-0.124202
9471066495,-0.081444,0.823085,-0.222202
9471087135,0.016556,0.872085,-0.222202
9471107776,-0.130444,0.774085,-0.173202
9471128418,-0.081444,0.823085,-0.173202
9471149059,-0.081444,0.872085,-0.124202
9471169700,-0.081444,0.921085,-0.173202
9471190341,-0.032444,0.872085,-0.271202
9471210982,-0.081444,0.872085,-0.124202
9471231622,-0.081444,0.774085,-0.124202
9471252262,0.016556,0.823085,-0.271202
9471272904,-0.032444,0.823085,-0.222202
9471293547,0.065556,0.921085,-0.222202
9471314192,-0.032444,0.970085,-0.124202
9471334836,-0.081444,0.823085,-0.173202
9471355479,0.016556,0.823085,-0.222202
9471376123,0.016556,0.823085,-0.173202
9471396767,-0.081444,0.970085,-0.026202
9471417410,0.016556,0.774085,-0.124202
9471438054,0.065556,0.774085,-0.173202
9471458697,0.065556,0.823085,-0.222202
9471479340,0.016556,0.872085,-0.026202
9471499985,0.065556,0.823085,-0.124202
9471520629,-0.032444,0.823085,-0.124202
9471541273,-0.130444,0.921085,-0.271202
9471561916,-0.179444,0.921085,-0.173202
9471582559,-0.032444,0.872085,-0.222202
9471603202,0.065556,0.921085,-0.222202
9471623845,0.016556,0.872085,-0.320202
9471644488,-0.130444,0.970085,-0.418202
9471665131,-0.081444,0.970085,-0.418202
9471685774,-0.081444,1.019085,-0.369202
9471706416,-0.081444,1.068085,-0.516202
9471727059,0.016556,0.970085,-0.467202
9471747743,-0.032444,0.921085,-0.418202
9471768343,-0.032444,0.921085,-0.418202
9471788986,-0.081444,0.872085,-0.369202
9471809628,-0.081444,1.019085,-0.369202
9471830271,-0.130444,0.921085,-0.467202
9471850913,0.016556,0.823085,-0.271202
9471871556,-0.130444,0.872085,-0.369202
9471892199,-0.179444,0.970085,-0.418202
9471912842,-0.032444,0.872085,-0.369202
9471933486,-0.032444,0.823085,-0.320202
9471954129,-0.032444,0.823085,-0.369202
9471974773,-0.032444,0.970085,-0.320202
9471995417,0.016556,0.823085,-0.369202
9472016060,-0.081444,0.872085,-0.418202
9472036703,-0.032444,0.970085,-0.418202
9472057346,0.016556,0.921085,-0.369202
9472077990,0.016556,1.019085,-0.467202
9472098632,0.016556,0.921085,-0.467202
9472119274,0.016556,0.921085,-0.516202
9472139917,0.065556,0.774085,-0.418202
9472160559,-0.032444,0.872085,-0.418202
9472181203,-0.081444,0.970085,-0.369202
9472201847,-0.081444,1.019085,-0.467202
9472222491,-0.081444,0.921085,-0.271202
9472243134,-0.032444,0.921085,-0.222202
9472263777,-0.081444,0.921085,-0.124202
9472284420,-0.081444,0.872085,-0.320202
9472305064,-0.081444,0.823085,-0.222202
9472325705,-0.081444,0.921085,-0.124202
9472346348,-0.032444,0.823085,-0.222202
9472366990,-0.032444,0.872085,-0.222202
9472387632,-0.081444,0.872085,-0.320202
9472408276,0.065556,0.872085,-0.271202
9472428919,0.016556,0.872085,-0.173202
9472449562,-0.032444,0.872085,-0.369202
9472470205,-0.081444,0.921085,-0.320202
9472490848,-0.032444,0.872085,-0.271202
9472511493,0.016556,0.872085,-0.271202
9472532136,-0.081444,0.970085,-0.173202
9472552779,-0.032444,0.921085,-0.173202
9472573422,-0.032444,0.872085,-0.222202
9472594065,-0.032444,0.921085,-0.271202
9472614708,-0.081444,0.921085,-0.173202
9472635351,0.016556,0.823085,-0.271202
9472655994,-0.032444,0.872085,-0.173202
9472676638,-0.032444,0.872085,-0.222202
9472697282,-0.081444,0.921085,-0.222202
9472717925,-0.032444,0.823085,-0.271202
9472738569,0.016556,0.823085,-0.222202
9472759222,-0.081444,0.872085,-0.271202
9472779856,-0.130444,0.823085,-0.222202
9472800500,0.163556,0.774085,-0.271202
9472821144,-0.032444,0.872085,-0.222202
9472841787,-0.032444,0.872085,-0.173202
9472862431,0.065556,0.921085,-0.222202
9472883073,0.065556,0.921085,-0.369202
9472903716,-0.032444,0.872085,-0.320202
9472924359,-0.130444,0.970085,-0.271202
9472945003,-0.081444,0.921085,-0.271202
9472965647,-0.032444,0.872085,-0.369202
9472986290,-0.032444,0.823085,-0.369202
9473006934,-0.179444,1.019085,-0.516202
9473027578,-0.130444,0.921085,-0.369202
9473048222,-0.179444,0.921085,-0.418202
9473068866,-0.081444,0.823085,-0.565202
9473089510,0.016556,0.872085,-0.369202
9473110153,0.016556,1.019085,-0.222202
9473130796,-0.081444,1.019085,-0.173202
9473151439,-0.130444,1.019085,-0.124202
9473172084,0.016556,0.970085,-0.369202
9473192729,0.016556,0.774085,-0.369202
9473213373,-0.032444,0.676085,-0.418202
9473234018,-0.179444,0.725085,-0.369202
9473254662,-0.130444,0.823085,-0.271202
9473275305,-0.032444,0.872085,-0.369202
9473295950,0.016556,0.872085,-0.418202
9473316595,0.016556,0.921085,-0.369202
9473337239,-0.081444,0.921085,-0.320202
9473357883,-0.081444,0.970085,-0.369202
9473378527,-0.032444,0.823085,-0.271202
9473399171,-0.081444,0.872085,-0.222202
9473419816,-0.130444,0.872085,-0.320202
9473440459,-0.032444,0.921085,-0.320202
9473461103,-0.130444,0.872085,-0.271202
9473481748,-0.130444,0.921085,-0.369202
9473502391,-0.130444,0.970085,-0.320202
9473523036,-0.032444,0.921085,-0.369202
9473543680,-0.032444,0.921085,-0.271202
9473564324,-0.130444,0.872085,-0.418202
9473584966,-0.081444,0.872085,-0.467202
9473605610,0.016556,0.823085,-0.467202
9473626253,0.016556,0.725085,-0.320202
9473646896,-0.032444,1.019085,-0.320202
9473667539,-0.032444,1.068085,-0.369202
9473688182,0.016556,0.921085,-0.467202
9473708825,-0.081444,0.872085,-0.320202
9473729466,-0.032444,0.872085,-0.222202
9473750109,-0.032444,0.970085,-0.222202
9473770752,-0.130444,0.872085,-0.222202
9473791394,-0.032444,0.774085,-0.271202
9473812037,-0.130444,0.872085,-0.124202
9473832679,-0.277444,0.970085,-0.222202
9473853322,-0.032444,0.921085,-0.369202
9473873964,0.016556,0.921085,-0.320202
9473894604,0.065556,0.970085,-0.075202
9473915246,-0.179444,0.872085,-0.320202
9473935888,-0.130444,0.823085,-0.418202
9473956531,0.016556,0.872085,-0.320202
9473977173,0.065556,0.921085,-0.271202
9473997816,-0.081444,0.921085,-0.075202
9474018459,0.114556,0.872085,-0.271202
9474039103,0.065556,0.774085,-0.320202
9474059747,-0.032444,0.921085,-0.369202
9474080396,-0.081444,0.921085,-0.222202
9474101036,-0.081444,1.019085,-0.320202
9474121680,-0.032444,1.068085,-0.320202
9474142322,0.016556,0.921085,-0.418202
