Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9466987433,4.425838,-2.138319,-0.939916,-0.037914,0.987577,0.156446
9466989930,3.815953,-2.806176,-0.999141,-0.040741,0.991978,0.152088
9466992428,3.145253,-3.534832,-1.118942,-0.044335,0.993474,0.149152
9466994925,2.718328,-4.202989,-1.177512,-0.045761,0.993498,0.146230
9466997423,2.352199,-4.871141,-1.175176,-0.047907,0.993531,0.142573
9466999920,2.291192,-5.539899,-1.232436,-0.047220,0.989888,0.143280
9467002418,2.352517,-6.269860,-1.410304,-0.051358,1.003772,0.133164
9467004915,2.474847,-6.939126,-1.588286,-0.058588,1.016884,0.141178
9467007413,2.963134,-7.487402,-1.765620,-0.053139,1.007275,0.170235
9467009910,3.695026,-7.914277,-1.821367,-0.042239,1.006455,0.170349
9467012408,4.670655,-8.402245,-1.815222,-0.035465,1.009387,0.149370
9467014905,5.524160,-8.768315,-1.749488,-0.027510,1.010749,0.155282
9467017403,6.377666,-9.134388,-1.683754,-0.017487,1.012772,0.173577
9467019900,7.109217,-9.439462,-1.618788,-0.009378,1.015643,0.164967
9467022398,7.718777,-9.805133,-1.553928,-0.001278,1.021408,0.160012
9467024919,7.962248,-10.109303,-1.430021,0.008177,1.028568,0.166711
9467027395,8.083954,-10.352582,-1.367570,0.017655,1.032842,0.168302
9467029889,8.083726,-10.474069,-1.306219,0.025029,1.037165,0.161875
9467032386,7.961528,-10.595356,-1.245305,0.030901,1.037861,0.156857
9467034884,7.778152,-10.716438,-1.123920,0.038151,1.037066,0.158385
9467037381,7.594833,-10.655134,-1.003531,0.045424,1.034832,0.156268
9467039879,7.350548,-10.532933,-0.883691,0.049774,1.031893,0.154840
9467042376,7.106849,-10.350250,-0.946247,0.051188,1.028968,0.156287
9467044874,6.741007,-10.106467,-0.948883,0.052631,1.024607,0.153363
