Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9467008981,-0.055898,-1.366771,0.334995
9467058629,-0.038426,-1.367118,0.356064
9467108274,-0.029263,-1.366846,0.335286
9467157924,-0.029405,-1.357981,0.345797
9467207577,-0.047308,-1.358040,0.356003
9467257248,-0.038428,-1.358085,0.356120
9467306879,-0.038428,-1.358085,0.356120
9467356530,-0.047598,-1.349265,0.376892
9467406185,-0.047591,-1.358357,0.376902
9467455834,-0.056473,-1.349279,0.376841
9467505484,-0.065353,-1.349235,0.376721
9467555136,-0.065496,-1.349364,0.387134
9467604794,-0.065639,-1.349512,0.397570
9467654444,-0.048025,-1.349710,0.408200
9467704093,-0.056756,-1.358609,0.397657
9467753744,-0.056758,-1.349576,0.397719
9467803404,-0.065780,-1.349680,0.408033
9467853062,-0.066067,-1.340943,0.428976
9467902716,-0.065779,-1.349699,0.408061
9467952371,-0.056900,-1.349724,0.408158
9468002029,-0.065494,-1.349403,0.387183
9468051682,-0.074520,-1.340454,0.397535
9468101339,-0.056045,-1.348853,0.345542
9468150977,-0.065061,-1.367043,0.355773
9468200628,-0.082532,-1.366717,0.334720
9468250274,-0.082532,-1.366717,0.334720
9468299919,-0.064485,-1.375542,0.314014
9468349571,-0.073229,-1.357263,0.303549
9468399218,-0.055467,-1.375379,0.303646
9468448871,-0.064203,-1.375206,0.293111
9468498515,-0.082246,-1.375433,0.313778
9468548169,-0.064482,-1.384595,0.313977
9468597821,-0.055610,-1.375527,0.314083
9468647474,-0.064777,-1.357733,0.334968
9468697121,-0.038284,-1.366969,0.345627
9468746775,-0.029694,-1.358238,0.366635
9468796429,-0.021106,-1.349488,0.387619
9468846093,-0.030838,-1.332325,0.450346
9468895748,-0.039584,-1.323022,0.439714
9468945399,-0.031420,-1.305740,0.492184
9468995046,-0.031567,-1.305832,0.502500
9469044697,-0.014093,-1.297182,0.523737
9469094350,-0.031998,-1.297225,0.533844
9469143992,-0.031859,-1.288024,0.523445
9469193641,-0.023267,-1.288327,0.544366
9469243295,-0.022839,-1.287901,0.513106
9469292937,-0.013957,-1.296978,0.513167
9469342589,-0.022697,-1.287752,0.502670
9469392232,-0.022543,-1.314761,0.492125
9469441876,-0.022397,-1.314651,0.481766
9469491528,-0.031133,-1.314478,0.471230
9469541178,-0.030706,-1.323047,0.439811
9469590833,-0.057339,-1.322992,0.439552
9469640490,-0.048319,-1.322868,0.429212
9469690141,-0.057051,-1.331748,0.418641
9469739785,-0.057474,-1.341245,0.449917
9469789434,-0.066215,-1.332000,0.439386
9469839078,-0.057051,-1.331748,0.418641
9469888728,-0.057337,-1.332025,0.439483
9469938377,-0.066214,-1.332020,0.439419
9469988020,-0.057341,-1.322973,0.439520
9470037667,-0.048454,-1.341122,0.439577
9470087318,-0.048607,-1.314112,0.450123
9470136969,-0.031411,-1.314850,0.492268
9470186613,-0.040731,-1.297089,0.523401
9470236249,-0.058630,-1.297188,0.533646
9470285882,-0.041309,-1.279559,0.565179
9470335517,-0.050334,-1.270611,0.575503
9470385159,-0.032292,-1.270382,0.554875
9470434803,-0.032724,-1.261757,0.586170
9470484440,-0.023700,-1.261669,0.575936
9470534073,-0.014397,-1.270248,0.544536
9470583709,-0.023423,-1.252284,0.554995
9470633344,-0.014679,-1.270562,0.565456
9470682977,-0.005515,-1.279325,0.544597
9470732613,-0.022983,-1.269998,0.523749
9470782251,-0.031717,-1.287876,0.513009
9470831885,-0.022406,-1.287511,0.481913
9470881526,-0.022407,-1.305542,0.481687
9470931164,-0.021974,-1.314168,0.450381
9470980794,-0.039727,-1.323171,0.450150
9471030430,-0.039730,-1.314118,0.450186
9471080071,-0.057338,-1.323011,0.439585
9471129721,-0.048028,-1.340657,0.408236
9471179372,-0.056907,-1.340633,0.408139
9471229026,-0.056907,-1.340633,0.408139
9471278669,-0.065638,-1.349531,0.397596
9471328304,-0.056476,-1.349240,0.376795
9471377948,-0.047740,-1.349413,0.387328
9471427595,-0.056481,-1.340168,0.376808
9471477222,-0.065923,-1.349809,0.418442
9471526868,-0.057193,-1.331896,0.429078
9471576513,-0.057337,-1.332025,0.439483
9471626157,-0.075663,-1.332569,0.481033
9471675804,-0.075670,-1.314464,0.481106
9471725442,-0.067221,-1.305900,0.512591
9471775081,-0.076392,-1.288048,0.533395
9471824726,-0.067803,-1.279317,0.554401
9471874368,-0.067948,-1.270431,0.564924
9471924001,-0.058786,-1.270141,0.544098
9471973647,-0.058932,-1.261237,0.554570
9472023291,-0.050196,-1.261410,0.565104
9472072937,-0.050049,-1.270333,0.554681
9472122579,-0.023421,-1.252302,0.555045
9472172216,-0.041024,-1.279262,0.544304
9472221856,-0.032144,-1.279305,0.544449
9472271490,-0.049477,-1.278774,0.512851
9472321129,-0.040591,-1.287906,0.513041
9472370774,-0.022835,-1.296953,0.513069
9472420422,-0.022693,-1.296805,0.502633
9472470057,-0.031427,-1.296650,0.492140
9472519699,-0.031416,-1.314793,0.492148
9472569343,-0.031277,-1.314607,0.481630
9472618989,-0.048893,-1.314390,0.470961
9472668636,-0.048895,-1.305356,0.471035
9472718283,-0.048605,-1.323146,0.450053
9472767933,-0.039871,-1.314286,0.460658
9472817588,-0.048753,-1.305208,0.460597
9472867235,-0.049316,-1.323887,0.502233
9472916878,-0.058346,-1.296891,0.512767
9472966527,-0.067505,-1.306216,0.533512
9473016173,-0.076392,-1.288067,0.533441
9473065821,-0.076530,-1.297286,0.543891
9473115465,-0.076098,-1.305913,0.512580
9473165116,-0.067073,-1.323838,0.502039
9473214764,-0.075096,-1.322942,0.439358
9473264413,-0.065641,-1.340479,0.397632
9473314067,-0.056759,-1.349556,0.397693
9473363724,-0.056329,-1.358164,0.366344
9473413382,-0.082961,-1.367122,0.365995
9473463035,-0.074082,-1.367167,0.366113
9473512692,-0.082681,-1.348779,0.345251
9473562343,-0.092126,-1.358381,0.386855
9473611998,-0.091989,-1.349141,0.376406
9473661652,-0.092562,-1.340681,0.418187
9473711296,-0.092423,-1.331462,0.407759
9473760940,-0.092703,-1.340849,0.428653
9473810586,-0.101444,-1.331585,0.418097
9473860234,-0.092573,-1.313505,0.418266
9473909873,-0.110756,-1.313957,0.449477
9473959518,-0.092996,-1.323003,0.449534
9474009168,-0.111186,-1.305293,0.480716
9474058821,-0.111186,-1.305368,0.480870
9474108473,-0.110902,-1.305015,0.459882
9474158124,-0.093572,-1.305510,0.491384
9474207773,-0.093576,-1.296476,0.491461
9474257411,-0.057921,-1.296409,0.481373
9474307055,-0.049050,-1.278329,0.481543
9474356699,-0.039885,-1.287091,0.460696
9474406341,-0.039891,-1.269005,0.460804
9474455989,-0.031301,-1.260274,0.481809
9474505639,-0.031157,-1.260143,0.471410
9474555282,-0.031155,-1.269178,0.471337
9474604934,-0.022419,-1.269351,0.481870
9474654580,-0.048904,-1.287233,0.471070
9474704230,-0.057639,-1.287078,0.460573
9474753884,-0.066799,-1.296384,0.481276
9474803530,-0.084422,-1.269082,0.470865
9474853180,-0.093149,-1.296013,0.460112
9474902838,-0.093148,-1.296050,0.460183
9474952500,-0.101892,-1.277735,0.449652
9475002159,-0.110905,-1.295963,0.459918
9475051815,-0.101889,-1.286787,0.449616
9475101478,-0.119795,-1.268781,0.459930
9475151139,-0.119649,-1.277703,0.449492
9475200803,-0.119364,-1.277406,0.428616
9475250452,-0.137121,-1.277375,0.428453
9475300105,-0.128523,-1.286731,0.449358
9475349761,-0.128808,-1.287027,0.470233
9475399415,-0.128669,-1.277808,0.459797
9475449064,-0.119649,-1.277685,0.449458
9475498727,-0.146283,-1.277592,0.449133
9475548378,-0.164177,-1.286743,0.459337
9475598026,-0.155304,-1.277734,0.459505
9475647674,-0.172921,-1.286698,0.449042
9475697328,-0.164327,-1.277912,0.469955
9475746983,-0.163894,-1.295591,0.438593
9475796638,-0.163457,-1.313196,0.407110
9475846292,-0.172477,-1.313319,0.417451
9475895941,-0.171762,-1.321630,0.365227
9475945596,-0.145550,-1.331202,0.396794
9475995249,-0.154005,-1.321680,0.365421
9476044904,-0.162879,-1.330689,0.365266
9476094562,-0.154569,-1.340417,0.407154
9476144220,-0.145840,-1.322484,0.417764
9476193870,-0.145839,-1.322446,0.417706
9476243518,-0.128359,-1.340898,0.438703
9476293177,-0.110748,-1.332044,0.449371
9476342815,-0.119765,-1.341220,0.459675
9476392475,-0.119619,-1.350163,0.449269
9476442126,-0.119619,-1.350124,0.449201
9476491772,-0.119470,-1.368061,0.438658
9476541409,-0.110880,-1.359350,0.459699
9476591055,-0.110445,-1.377010,0.428314
9476640706,-0.110588,-1.377158,0.438752
9476690354,-0.110576,-1.404316,0.438643
9476739997,-0.110869,-1.386487,0.459555
9476789648,-0.101986,-1.395585,0.459651
9476839305,-0.101979,-1.413669,0.459543
9476888963,-0.092819,-1.404386,0.438869
9476938610,-0.101548,-1.422319,0.428260
9476988262,-0.092948,-1.440703,0.449095
9477037923,-0.074904,-1.440521,0.428510
9477087578,-0.074629,-1.422076,0.407646
9477137234,-0.083504,-1.431082,0.407485
9477186892,-0.110708,-1.431601,0.448937
9477236550,-0.119444,-1.431492,0.438501
9477286210,-0.120151,-1.441222,0.490548
9477335872,-0.146794,-1.423063,0.490369
9477385524,-0.147221,-1.423508,0.521682
9477435178,-0.138342,-1.423512,0.521735
9477484817,-0.165267,-1.414724,0.542447
9477534469,-0.182737,-1.414335,0.521285
9477584124,-0.182742,-1.405304,0.521366
9477633771,-0.200925,-1.405699,0.552485
9477683421,-0.227704,-1.396699,0.562617
9477733071,-0.218686,-1.396597,0.552327
9477782722,-0.236731,-1.387791,0.573044
9477832370,-0.254765,-1.397070,0.593634
9477882025,-0.245321,-1.396522,0.552036
9477931679,-0.254053,-1.405401,0.541465
9477981322,-0.262643,-1.423206,0.520465
9478030981,-0.262209,-1.431793,0.489071
9478080639,-0.252894,-1.449456,0.457747
9478130300,-0.252467,-1.449011,0.426439
9478179957,-0.243446,-1.448888,0.416100
9478229611,-0.252324,-1.457937,0.415996
9478279266,-0.225697,-1.449003,0.416382
9478328922,-0.234708,-1.467210,0.426622
9478378591,-0.243595,-1.440005,0.426603
9478428217,-0.217098,-1.449281,0.437296
9478477865,-0.217531,-1.440695,0.468682
9478527520,-0.208802,-1.413667,0.479250
9478577180,-0.218395,-1.405332,0.531369
9478626834,-0.209954,-1.387717,0.562898
9478676476,-0.210097,-1.378793,0.573320
9478726121,-0.211107,-1.352693,0.646544
9478775767,-0.220704,-1.335305,0.698707
9478825412,-0.212703,-1.272833,0.761604
9478875058,-0.204698,-1.219416,0.824446
9478924704,-0.187238,-1.201692,0.845767
9478974349,-0.187681,-1.156858,0.877164
9479023997,-0.179236,-1.148291,0.908707
9479073640,-0.188123,-1.121093,0.908617
9479123298,-0.206164,-1.121340,0.929295
9479172957,-0.214760,-1.121034,0.908428
9479222614,-0.214323,-1.138678,0.876945
9479272270,-0.214466,-1.129759,0.887319
9479321925,-0.206021,-1.121192,0.918859
9479371582,-0.206167,-1.112288,0.929332
9479421234,-0.179832,-1.076449,0.950640
9479470877,-0.171398,-1.049804,0.982492
9479520525,-0.189310,-1.013678,0.992770
9479570176,-0.162536,-1.004551,0.982659
9479619841,-0.224540,-1.013281,0.971503
9479669486,-0.241866,-1.012773,0.939885
9479719143,-0.196454,-1.066161,0.866994
9479768805,-0.160208,-1.119833,0.814984
9479818453,-0.159761,-1.164634,0.783411
9479868103,-0.141568,-1.191412,0.752272
9479917754,-0.140699,-1.226714,0.689441
9479967400,-0.149436,-1.226559,0.678977
9480017047,-0.140422,-1.217434,0.668873
9480066697,-0.140711,-1.199575,0.689619
9480116346,-0.150177,-1.154881,0.731448
9480165998,-0.132854,-1.137271,0.763023
9480215646,-0.107253,-1.047860,0.836730
9480265291,-0.090096,-0.976121,0.879250
9480314944,-0.081677,-0.895071,0.910589
9480364600,-0.055495,-0.832234,0.942544
9480414261,-0.038045,-0.778266,0.963828
9480463916,-0.046355,-0.777640,0.921884
9480513576,-0.099609,-0.813708,0.921259
9480563226,-0.099014,-0.876482,0.879261
9480612874,-0.054035,-0.921275,0.837821
9480662528,-0.062599,-0.993373,0.816561
9480712177,-0.052850,-1.037756,0.753782
9480761834,-0.052123,-1.073238,0.701535
