Timestamp (us),W Element,X Element,Y Element,Z Element
9466987433,0.018432,0.001408,-0.648094,-0.761496
9466989930,0.018361,0.001396,-0.648161,-0.761441
9466992428,0.018278,0.001374,-0.648217,-0.761394
9466994925,0.018184,0.001342,-0.648268,-0.761353
9466997423,0.018081,0.001300,-0.648314,-0.761317
9466999920,0.017967,0.001248,-0.648359,-0.761281
9467002418,0.017839,0.001187,-0.648409,-0.761242
9467004915,0.017697,0.001119,-0.648458,-0.761203
9467007413,0.017546,0.001043,-0.648508,-0.761164
9467009910,0.017396,0.000963,-0.648570,-0.761115
9467012408,0.017240,0.000873,-0.648654,-0.761047
9467014905,0.017082,0.000774,-0.648751,-0.760968
9467017403,0.016923,0.000666,-0.648857,-0.760881
9467019900,0.016763,0.000549,-0.648978,-0.760782
9467022398,0.016600,0.000424,-0.649111,-0.760673
9467024919,0.016437,0.000289,-0.649247,-0.760560
9467027395,0.016276,0.000148,-0.649382,-0.760448
9467029889,0.016114,0.000002,-0.649521,-0.760333
9467032386,0.015954,-0.000148,-0.649658,-0.760219
9467034884,0.015795,-0.000305,-0.649793,-0.760107
9467037381,0.015642,-0.000464,-0.649924,-0.759998
9467039879,0.015493,-0.000624,-0.650051,-0.759892
9467042376,0.015346,-0.000780,-0.650174,-0.759790
9467044874,0.015203,-0.000933,-0.650291,-0.759692
9467047371,0.015066,-0.001080,-0.650402,-0.759600
9467049869,0.014936,-0.001223,-0.650509,-0.759511
9467052366,0.014807,-0.001363,-0.650609,-0.759427
9467054864,0.014676,-0.001502,-0.650703,-0.759349
9467057361,0.014542,-0.001642,-0.650790,-0.759277
9467059859,0.014395,-0.001791,-0.650871,-0.759210
9467062357,0.014249,-0.001944,-0.650945,-0.759149
9467064854,0.014099,-0.002103,-0.651013,-0.759093
9467067351,0.013945,-0.002268,-0.651081,-0.759037
9467069849,0.013789,-0.002441,-0.651149,-0.758981
9467072346,0.013633,-0.002622,-0.651219,-0.758923
9467074844,0.013478,-0.002814,-0.651296,-0.758859
9467077341,0.013323,-0.003015,-0.651381,-0.758788
9467079839,0.013168,-0.003228,-0.651471,-0.758712
9467082337,0.013014,-0.003451,-0.651566,-0.758632
9467084834,0.012862,-0.003686,-0.651667,-0.758548
9467087331,0.012712,-0.003930,-0.651770,-0.758460
