Timestamp (us),Percentage (%),Voltage (V),Charging Status
9467460860,86.738098,3.867381,0.000000
9468461423,86.726006,3.867260,0.000000
9469461954,86.708557,3.867085,0.000000
9470462486,86.731384,3.867314,0.000000
9471463019,86.728699,3.867287,0.000000
9472463550,86.705872,3.867059,0.000000
9473464084,86.721985,3.867220,0.000000
9474464615,86.683044,3.866830,0.000000
9475465146,86.705872,3.867059,0.000000
9476465679,86.681694,3.866817,0.000000
9477466210,86.692444,3.866924,0.000000
9478466746,86.700500,3.867005,0.000000
9479467277,86.681694,3.866817,0.000000
9480467808,86.695129,3.866951,0.000000
9481468348,86.691101,3.866911,0.000000
9482468920,86.684372,3.866844,0.000000
9483469453,86.653503,3.866535,0.000000
9484469984,86.666931,3.866669,0.000000
9485470515,86.653503,3.866535,0.000000
9486471046,86.664246,3.866642,0.000000
9487471577,86.669601,3.866696,0.000000
9488472111,86.646790,3.866468,0.000000
9489472641,86.633362,3.866333,0.000000
9490473172,86.621262,3.866213,0.000000
9491473704,86.617249,3.866172,0.000000
9492474235,86.605164,3.866051,0.000000
9493474766,86.601135,3.866011,0.000000
9494475296,86.597092,3.865971,0.000000
9495475827,86.591736,3.865917,0.000000
9496476361,86.602470,3.866025,0.000000
9497476895,86.586365,3.865863,0.000000
9498477426,86.574280,3.865743,0.000000
9499477968,86.590393,3.865904,0.000000
9500478507,86.576965,3.865770,0.000000
9501479038,86.576965,3.865770,0.000000
9502479598,86.567551,3.865676,0.000000
9503480129,86.585022,3.865850,0.000000
9504480664,86.571594,3.865716,0.000000
9505481198,86.572922,3.865729,0.000000
9506481729,86.572937,3.865730,0.000000
9507482260,86.550110,3.865501,0.000000
9508482791,86.558167,3.865582,0.000000
9509483322,86.550110,3.865501,0.000000
9510483856,86.558167,3.865582,0.000000
9511484386,86.550110,3.865501,0.000000
9512484917,86.568909,3.865689,0.000000
9513485449,86.542038,3.865421,0.000000
9514485979,86.532654,3.865327,0.000000
9515486510,86.546066,3.865461,0.000000
9516487050,86.533981,3.865340,0.000000
9517487584,86.516541,3.865165,0.000000
9518488118,86.493713,3.864937,0.000000
9519488677,86.476250,3.864763,0.000000
9520489210,86.468185,3.864682,0.000000
9521489741,86.465515,3.864655,0.000000
9522490276,86.476257,3.864763,0.000000
9523490808,86.465500,3.864655,0.000000
9524491339,86.477585,3.864776,0.000000
9525491871,86.464172,3.864642,0.000000
9526492401,86.456116,3.864561,0.000000
9527492932,86.448051,3.864480,0.000000
9528493464,86.472221,3.864722,0.000000
9529493995,86.474899,3.864749,0.000000
9530494526,86.458801,3.864588,0.000000
9531495057,86.439987,3.864400,0.000000
9532495588,86.444031,3.864440,0.000000
9533496156,86.439987,3.864400,0.000000
9534496687,86.458801,3.864588,0.000000
9535497218,86.472221,3.864722,0.000000
9536497751,86.452087,3.864521,0.000000
9537498283,86.435959,3.864360,0.000000
9538498813,86.441330,3.864413,0.000000
9539499347,86.448044,3.864480,0.000000
9540499878,86.413132,3.864131,0.000000
9541500410,86.407768,3.864078,0.000000
9542500944,86.371521,3.863715,0.000000
9543501479,86.388969,3.863890,0.000000
9544502010,86.336609,3.863366,0.000000
9545502544,86.406418,3.864064,0.000000
9546503091,86.383591,3.863836,0.000000
9547503622,86.397018,3.863970,0.000000
9548504154,86.391663,3.863916,0.000000
9549504685,86.395676,3.863957,0.000000
9550505216,86.348694,3.863487,0.000000
9551505749,86.363464,3.863635,0.000000
9552506280,86.350037,3.863500,0.000000
9553506810,86.323181,3.863232,0.000000
9554507344,86.366150,3.863661,0.000000
9555507876,86.386292,3.863863,0.000000
9556508407,86.352715,3.863527,0.000000
9557508939,86.376892,3.863769,0.000000
9558509471,86.367477,3.863675,0.000000
9559510002,86.350037,3.863500,0.000000
9560510545,86.336609,3.863366,0.000000
9561511077,86.307068,3.863071,0.000000
9562511611,86.341980,3.863420,0.000000
9563512143,86.340637,3.863406,0.000000
9564512675,86.332573,3.863326,0.000000
9565513207,86.324524,3.863245,0.000000
9566513739,86.307053,3.863070,0.000000
9567514272,86.309753,3.863097,0.000000
9568514812,86.284241,3.862842,0.000000
