Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9466984180,0.127069,1.136445,-0.537987
9467004065,0.225069,1.038445,-0.586987
9467023950,0.176069,0.989445,-0.537987
9467043834,0.225069,0.940445,-0.586987
9467063718,0.176069,0.940445,-0.586987
9467083603,0.274069,0.891445,-0.586987
9467103487,0.127069,1.038445,-0.635987
9467123372,0.176069,0.940445,-0.586987
9467143257,0.127069,0.940445,-0.684987
9467163142,0.078069,0.891445,-0.586987
9467183027,0.029069,1.038445,-0.586987
9467202910,0.029069,1.087445,-0.782987
9467222795,0.029069,1.038445,-0.635987
9467242680,-0.019931,0.940445,-0.684987
9467262565,0.127069,0.989445,-0.586987
9467282450,0.225069,0.989445,-0.586987
9467302335,0.176069,1.087445,-0.537987
9467322219,0.127069,0.940445,-0.684987
9467342104,0.127069,0.989445,-0.684987
9467361989,0.127069,0.989445,-0.733987
9467381874,0.127069,1.038445,-0.635987
9467401758,0.176069,1.038445,-0.684987
9467421642,0.176069,0.989445,-0.635987
9467441525,0.127069,0.940445,-0.635987
9467461409,0.176069,0.940445,-0.635987
9467481292,0.127069,0.940445,-0.635987
9467501176,0.127069,0.989445,-0.586987
9467521060,0.127069,0.940445,-0.537987
9467540944,0.127069,0.989445,-0.635987
9467560827,0.176069,0.989445,-0.586987
9467580711,0.176069,0.989445,-0.684987
9467600596,0.078069,0.989445,-0.635987
9467620481,0.176069,0.989445,-0.684987
9467640366,0.127069,0.940445,-0.733987
9467660250,0.078069,0.989445,-0.635987
9467680135,0.078069,0.989445,-0.586987
9467700020,0.078069,1.038445,-0.586987
9467719906,0.078069,1.038445,-0.831987
9467739791,-0.019931,1.087445,-0.733987
9467759677,0.029069,1.087445,-0.831987
9467779562,0.127069,1.087445,-0.733987
9467799447,0.127069,0.989445,-0.684987
9467819331,0.176069,0.940445,-0.635987
9467839215,0.127069,0.891445,-0.733987
9467859098,0.176069,0.940445,-0.733987
9467878982,0.127069,1.038445,-0.684987
9467898864,0.127069,1.038445,-0.684987
9467918749,0.176069,1.038445,-0.684987
9467938634,0.176069,1.038445,-0.635987
9467958518,0.225069,1.087445,-0.684987
9467978402,0.225069,1.136445,-0.733987
9467998287,0.225069,0.940445,-0.684987
9468018171,0.274069,1.087445,-0.733987
9468038055,0.225069,1.038445,-0.684987
9468057940,0.176069,0.989445,-0.733987
9468077823,0.176069,0.989445,-0.733987
9468097714,0.127069,0.989445,-0.831987
9468117593,0.274069,1.038445,-0.929987
9468137477,0.323069,0.940445,-0.831987
9468157360,0.323069,0.940445,-0.782987
9468177244,0.274069,0.989445,-0.880987
9468197127,0.421069,1.038445,-0.782987
9468217011,0.372069,0.989445,-0.782987
9468236896,0.421069,0.891445,-0.684987
9468256780,0.323069,0.744445,-0.831987
9468276665,0.421069,0.891445,-0.782987
9468296548,0.519069,0.793445,-0.831987
9468316431,0.421069,0.744445,-0.782987
9468336314,0.372069,0.793445,-0.929987
9468356199,0.470069,0.744445,-0.880987
9468376085,0.519069,0.695445,-0.831987
9468395969,0.470069,0.744445,-0.831987
9468415855,0.421069,0.744445,-0.929987
9468435740,0.519069,0.695445,-0.733987
9468455624,0.519069,0.695445,-0.782987
9468475509,0.568069,0.695445,-0.880987
9468495393,0.372069,0.695445,-0.880987
9468515278,0.372069,0.744445,-0.782987
9468535164,0.372069,0.744445,-0.978987
9468555049,0.176069,0.548445,-0.978987
9468574934,0.078069,0.646445,-1.027987
9468594820,0.225069,0.891445,-0.782987
9468614705,0.225069,0.891445,-0.880987
9468634590,0.127069,0.891445,-0.929987
9468654475,0.176069,0.989445,-0.978987
9468674361,0.127069,0.989445,-0.880987
9468694246,0.225069,1.087445,-0.880987
9468714132,0.176069,1.136445,-0.831987
9468734054,0.127069,1.283445,-1.027987
9468753902,0.029069,1.381445,-0.978987
9468773787,-0.117931,1.234445,-1.076987
9468793673,-0.117931,1.136445,-0.929987
9468813558,-0.313931,1.185445,-0.880987
9468833444,-0.264931,1.185445,-1.174987
9468853330,-0.264931,1.185445,-1.027987
9468873217,-0.509931,0.891445,-0.978987
9468893102,-0.705931,0.891445,-0.929987
9468912987,-0.901931,0.989445,-0.831987
9468932871,-0.656931,0.940445,-0.880987
