Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9466972179,15.089376,-32.335510,5.012609,0.217206,0.977059,-0.110981
9466974675,15.755706,-33.130383,5.193125,0.217137,0.984901,-0.100639
9466977170,16.299791,-33.986458,5.555400,0.213481,0.989233,-0.096248
9466979665,16.843826,-34.782215,6.039306,0.205529,0.995840,-0.094801
9466982161,17.388056,-35.517101,6.523414,0.200461,1.007432,-0.088114
9466984656,18.175322,-36.314129,7.068394,0.197544,1.013929,-0.082944
9466987152,18.961895,-37.173126,7.856029,0.190363,1.022738,-0.082900
9466989647,19.809309,-38.032375,8.643755,0.187470,1.026383,-0.081423
9466992143,20.534924,-38.891403,9.492014,0.184538,1.029263,-0.077776
9466994638,21.260468,-39.811028,10.279358,0.180119,1.029961,-0.073465
9466997134,21.986029,-40.609737,11.249248,0.173609,1.034381,-0.072762
9466999629,22.711149,-41.469868,12.340364,0.173664,1.036602,-0.074906
9467002125,23.314663,-42.268909,13.492217,0.175862,1.035161,-0.077081
9467004620,23.797276,-42.823975,14.644693,0.180928,1.030767,-0.078536
9467007115,24.219879,-43.195629,15.676257,0.188204,1.024944,-0.082895
9467009611,24.521000,-43.505913,16.707840,0.191870,1.020624,-0.088013
9467012106,24.578890,-43.814930,17.678350,0.194828,1.019212,-0.092362
9467014602,24.576015,-44.063107,18.709686,0.197731,1.017739,-0.093070
9467017098,24.330471,-44.248318,19.498007,0.202721,1.008940,-0.092421
9467019593,24.146667,-44.190014,20.226507,0.205570,1.003086,-0.092481
9467022088,23.841311,-44.130939,20.894114,0.206289,0.998029,-0.095476
9467024584,23.597109,-44.010971,21.501301,0.207647,0.986388,-0.097125
9467027079,23.292263,-43.829880,22.108595,0.210536,0.981298,-0.099356
9467029575,22.988441,-43.404755,22.595270,0.213410,0.974752,-0.101615
9467032070,22.685326,-42.796741,23.021832,0.216957,0.968139,-0.100221
9467034566,22.382967,-42.066158,23.266657,0.217611,0.960850,-0.100344
9467037061,22.080925,-41.274429,23.450966,0.220517,0.956501,-0.103290
9467039556,21.779398,-40.360680,23.574965,0.220495,0.954316,-0.103330
9467042052,21.356897,-39.263550,23.638676,0.217497,0.950642,-0.099804
9467044548,20.751495,-38.287415,23.701712,0.214520,0.944832,-0.099231
9467047043,20.145386,-37.494171,23.824858,0.215207,0.944061,-0.097049
9467049538,19.355669,-37.004814,24.007441,0.210096,0.941925,-0.097172
9467052034,18.443764,-36.636971,24.250154,0.209361,0.939043,-0.098693
9467054529,17.409405,-36.512127,24.491882,0.210056,0.936839,-0.097994
9467057025,16.374023,-36.631310,24.854233,0.204956,0.936876,-0.097348
9467059520,15.459612,-36.933880,25.276873,0.204191,0.940440,-0.092196
9467062016,14.605597,-37.298119,25.820831,0.207112,0.937547,-0.095115
9467064511,13.630225,-37.600716,26.304096,0.203521,0.939791,-0.096590
9467067006,12.472019,-37.963715,26.847603,0.202736,0.938293,-0.093716
9467069502,11.131034,-38.447437,27.329723,0.205542,0.932391,-0.090865
9467071997,9.790296,-38.930607,27.690413,0.205625,0.933204,-0.095948
9467074493,8.389496,-39.170052,28.051821,0.205534,0.927342,-0.093871
9467076988,7.050239,-39.226849,28.353207,0.201939,0.928141,-0.096101
9467079484,5.772509,-39.221920,28.412029,0.198995,0.928849,-0.093222
9467081979,4.617091,-39.095192,28.350006,0.199056,0.929637,-0.096849
9467084475,3.340121,-38.967697,28.227089,0.196119,0.926752,-0.096950
9467086970,2.003405,-38.535324,28.044374,0.191016,0.927505,-0.095563
9467089466,0.667078,-37.981209,27.862062,0.186669,0.929003,-0.095607
9467091961,-0.486293,-37.366409,27.558794,0.183056,0.929062,-0.097122
9467094457,-1.700679,-36.691322,27.437778,0.169989,0.932089,-0.096552
9467096952,-2.853909,-35.955341,27.256342,0.163520,0.939434,-0.096523
9467099447,-4.067697,-34.976727,27.318478,0.158418,0.944508,-0.092143
9467101943,-5.098774,-33.937988,27.381084,0.151876,0.946731,-0.090752
9467104438,-5.886675,-32.840199,27.626396,0.140249,0.950448,-0.088689
9467106934,-6.552898,-31.742907,27.871889,0.137437,0.962103,-0.087064
9467109430,-7.097693,-30.646662,28.238989,0.135292,0.963605,-0.088529
9467111925,-7.642364,-29.550138,28.545374,0.129484,0.966550,-0.087113
9467114420,-8.186257,-28.210135,28.852566,0.126530,0.967245,-0.083506
9467116916,-8.669190,-26.870100,29.099133,0.125114,0.961542,-0.090190
9467119411,-9.151929,-25.469196,29.345903,0.125834,0.962967,-0.088695
9467121907,-9.512938,-24.129105,29.471222,0.124372,0.957932,-0.091726
9467124402,-9.752339,-22.850107,29.535807,0.124269,0.949897,-0.090418
9467126898,-9.991883,-21.692295,29.478558,0.119231,0.948562,-0.094896
9467129393,-10.170535,-20.595051,29.299772,0.118513,0.944259,-0.098629
