Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9466975623,0.360277,-1.187870,0.073393
9467026097,0.323186,-1.178801,0.093680
9467076571,0.323291,-1.197351,0.093712
9467127044,0.295887,-1.206424,0.083051
9467177517,0.268569,-1.196965,0.062074
9467227988,0.250557,-1.215233,0.041190
9467278461,0.250520,-1.205998,0.041189
9467328938,0.232366,-1.224378,0.030651
9467379412,0.241357,-1.215194,0.041089
9467429888,0.250269,-1.215439,0.061880
9467480360,0.277839,-1.215458,0.062174
9467530836,0.268705,-1.196838,0.051724
9467581311,0.286807,-1.197088,0.072617
9467631785,0.295856,-1.197205,0.083063
9467682259,0.314039,-1.188046,0.093585
9467732736,0.331860,-1.188518,0.135172
9467783215,0.350062,-1.179406,0.145727
9467833694,0.386497,-1.170401,0.166810
9467884174,0.413522,-1.143013,0.198159
9467934667,0.422263,-1.143307,0.229219
9467985158,0.403241,-1.125251,0.270427
9468035638,0.366010,-1.144189,0.311463
9468086119,0.310913,-1.153403,0.310878
9468136607,0.227676,-1.163027,0.351341
9468187087,0.145014,-1.172239,0.350507
9468237567,0.052874,-1.181650,0.370224
9468288043,-0.011639,-1.172467,0.379882
9468338518,-0.066638,-1.172319,0.368946
9468389004,-0.131007,-1.163008,0.368209
9468439485,-0.186428,-1.163193,0.388312
9468489967,-0.186103,-1.172222,0.367624
9468540456,-0.167484,-1.162761,0.347126
9468590942,-0.075361,-1.181231,0.337810
9468641428,0.034635,-1.181511,0.359634
9468691908,0.181734,-1.163028,0.350941
9468742382,0.346936,-1.116866,0.352645
9468792855,0.502021,-1.024998,0.405964
9468843325,0.657263,-0.895950,0.438794
9468893802,0.841056,-0.719602,0.378452
9468944278,0.940544,-0.553817,0.441605
9468994762,0.929681,-0.406564,0.513886
9469045235,0.928867,-0.295770,0.534473
9469095706,0.918972,-0.231335,0.565465
9469146185,0.928440,-0.203258,0.534442
9469196668,0.947574,-0.239828,0.493333
9469247143,0.967679,-0.359221,0.410898
9469297616,0.931632,-0.525720,0.410404
9469348089,0.812932,-0.729265,0.419436
9469398559,0.630945,-0.932006,0.355532
9469449034,0.420867,-1.079494,0.312108
9469499506,0.219664,-1.171400,0.268515
9469549986,0.027030,-1.217417,0.256125
9469600463,-0.156996,-1.198901,0.264505
9469650940,-0.276415,-1.180223,0.252909
9469701422,-0.350764,-1.152958,0.303819
9469751901,-0.378504,-1.115934,0.303512
9469802375,-0.415414,-1.116035,0.313508
9469852856,-0.415513,-1.125397,0.323859
9469903341,-0.369229,-1.134443,0.303616
9469953815,-0.286132,-1.162093,0.283959
9470004296,-0.202945,-1.198870,0.264015
9470054767,-0.055763,-1.198842,0.255205
9470105234,0.091274,-1.198957,0.256805
9470155691,0.274294,-1.153267,0.300138
9470206153,0.456903,-1.080045,0.364157
9470256615,0.648035,-0.923788,0.448939
9470307092,0.756498,-0.748854,0.522417
9470357563,0.828654,-0.573578,0.564599
9470408031,0.873878,-0.416334,0.565036
9470458490,0.900964,-0.342452,0.575653
9470508947,0.891402,-0.296301,0.585809
9470559409,0.919806,-0.323518,0.534385
9470609878,0.930228,-0.406120,0.472437
9470660353,0.904363,-0.525482,0.389468
9470710815,0.850194,-0.701119,0.378640
9470761285,0.694648,-0.886137,0.387285
9470811757,0.484834,-1.033376,0.323088
9470862225,0.292687,-1.125414,0.289978
9470912690,0.109427,-1.180577,0.267342
9470963148,-0.075138,-1.199656,0.327554
9471013609,-0.231822,-1.162750,0.346529
9471064079,-0.342529,-1.135173,0.366136
9471114537,-0.416575,-1.079805,0.385935
9471165001,-0.472136,-1.052249,0.406087
9471215463,-0.490376,-1.052126,0.395541
9471265925,-0.453802,-1.070862,0.416585
9471316384,-0.416442,-1.079708,0.375635
9471366854,-0.332907,-1.134831,0.335137
9471417314,-0.230926,-1.171319,0.284405
9471467777,-0.074572,-1.199211,0.286154
9471518241,0.109331,-1.189956,0.277727
9471568703,0.310925,-1.153434,0.310956
