Timestamp (us),W Element,X Element,Y Element,Z Element
9466972179,0.466009,0.583388,0.463778,0.477124
9466974675,0.466071,0.583953,0.463523,0.476620
9466977170,0.466135,0.584538,0.463257,0.476099
9466979665,0.466197,0.585138,0.462983,0.475566
9466982161,0.466258,0.585754,0.462701,0.475023
9466984656,0.466312,0.586389,0.462411,0.474468
9466987152,0.466359,0.587047,0.462112,0.473900
9466989647,0.466397,0.587729,0.461802,0.473319
9466992143,0.466426,0.588434,0.461479,0.472729
9466994638,0.466449,0.589161,0.461144,0.472127
9466997134,0.466462,0.589912,0.460797,0.471516
9466999629,0.466463,0.590689,0.460433,0.470897
9467002125,0.466451,0.591492,0.460052,0.470272
9467004620,0.466425,0.592318,0.459654,0.469648
9467007115,0.466384,0.593163,0.459242,0.469025
9467009611,0.466330,0.594025,0.458815,0.468405
9467012106,0.466267,0.594901,0.458372,0.467789
9467014602,0.466195,0.595789,0.457912,0.467180
9467017098,0.466118,0.596685,0.457435,0.466580
9467019593,0.466035,0.597585,0.456946,0.465990
9467022088,0.465947,0.598488,0.456446,0.465410
9467024584,0.465854,0.599393,0.455934,0.464839
9467027079,0.465750,0.600293,0.455420,0.464285
9467029575,0.465639,0.601192,0.454899,0.463744
9467032070,0.465521,0.602085,0.454374,0.463219
9467034566,0.465397,0.602969,0.453849,0.462708
9467037061,0.465265,0.603844,0.453326,0.462212
9467039556,0.465127,0.604708,0.452806,0.461732
9467042052,0.464983,0.605554,0.452292,0.461270
9467044548,0.464838,0.606384,0.451780,0.460827
9467047043,0.464692,0.607200,0.451267,0.460402
9467049538,0.464550,0.608004,0.450750,0.459991
9467052034,0.464414,0.608796,0.450224,0.459596
9467054529,0.464288,0.609578,0.449684,0.459215
9467057025,0.464174,0.610353,0.449129,0.458844
9467059520,0.464073,0.611123,0.448555,0.458483
9467062016,0.463979,0.611893,0.447961,0.458131
9467064511,0.463897,0.612661,0.447348,0.457787
9467067006,0.463829,0.613423,0.446712,0.457456
9467069502,0.463778,0.614181,0.446050,0.457137
9467071997,0.463745,0.614934,0.445366,0.456826
