Timestamp (us),Percentage (%),Power (dBm)
9467290906,100.000000,-49.000000
9468297387,98.000000,-51.000000
9469286121,94.000000,-53.000000
9470295385,94.000000,-53.000000
9471291953,92.000000,-54.000000
9472292616,98.000000,-51.000000
9473297427,96.000000,-52.000000
9474291496,94.000000,-53.000000
9475289666,86.000000,-57.000000
9476286211,86.000000,-57.000000
9477296017,88.000000,-56.000000
9478291708,78.000000,-61.000000
9479294911,86.000000,-57.000000
9480288083,82.000000,-59.000000
9481288762,80.000000,-60.000000
9482294433,96.000000,-52.000000
9483291816,100.000000,-49.000000
9484290806,90.000000,-55.000000
9485298989,92.000000,-54.000000
9486293624,100.000000,-50.000000
9487287876,90.000000,-55.000000
9488288571,90.000000,-55.000000
9489286759,78.000000,-61.000000
9490289088,66.000000,-67.000000
9491290589,58.000000,-71.000000
9492283786,70.000000,-65.000000
9493286429,72.000000,-64.000000
9494290169,60.000000,-70.000000
9495290824,68.000000,-66.000000
9496284018,74.000000,-63.000000
9497292188,64.000000,-68.000000
9498290375,58.000000,-71.000000
9499286080,60.000000,-70.000000
9500291738,64.000000,-68.000000
9501290092,72.000000,-64.000000
9502284381,70.000000,-65.000000
9503291285,76.000000,-62.000000
9504287001,72.000000,-64.000000
9505290166,84.000000,-58.000000
9506286595,80.000000,-60.000000
9507284057,90.000000,-55.000000
9508287231,94.000000,-53.000000
9509302858,100.000000,-50.000000
9510288593,96.000000,-52.000000
9511299229,90.000000,-55.000000
9512294916,96.000000,-52.000000
9513290608,96.000000,-52.000000
9514286323,88.000000,-56.000000
9515286983,72.000000,-64.000000
9516287663,82.000000,-59.000000
9517286736,68.000000,-66.000000
9518284024,58.000000,-71.000000
9519287207,66.000000,-67.000000
9520292872,62.000000,-69.000000
9521283571,70.000000,-65.000000
9522288351,58.000000,-71.000000
9523287456,62.000000,-69.000000
9524288134,60.000000,-70.000000
9525287969,60.000000,-70.000000
9526286997,64.000000,-68.000000
9527285533,64.000000,-68.000000
9528288354,60.000000,-70.000000
9529286526,62.000000,-69.000000
9530296852,74.000000,-63.000000
9531289302,76.000000,-62.000000
9532293566,46.000000,-77.000000
9533285943,76.000000,-62.000000
9534286954,90.000000,-55.000000
9535290579,94.000000,-53.000000
9536300459,100.000000,-50.000000
9537298229,90.000000,-55.000000
9538287005,100.000000,-50.000000
9539285806,90.000000,-55.000000
9540289006,80.000000,-60.000000
9541287048,74.000000,-63.000000
9542292851,76.000000,-62.000000
9543287069,62.000000,-69.000000
9544287082,60.000000,-70.000000
9545292365,64.000000,-68.000000
9546287107,72.000000,-64.000000
9547298712,56.000000,-72.000000
9548287133,62.000000,-69.000000
9549287145,60.000000,-70.000000
9550295753,72.000000,-64.000000
9551291440,58.000000,-71.000000
9552302109,64.000000,-68.000000
9553295323,72.000000,-64.000000
9554300958,70.000000,-65.000000
9555296643,50.000000,-75.000000
9556287246,70.000000,-65.000000
9557289681,82.000000,-59.000000
9558286197,82.000000,-59.000000
9559285397,94.000000,-53.000000
9560297547,92.000000,-54.000000
9561310689,82.000000,-59.000000
9562295349,100.000000,-49.000000
9563294602,94.000000,-53.000000
9564287818,92.000000,-54.000000
9565288468,66.000000,-67.000000
9566287363,70.000000,-65.000000
9567303885,78.000000,-61.000000
9568295461,56.000000,-72.000000
