Timestamp (us),Temperature (degC)
9467101943,37.375000
9468100128,37.375000
9469098310,37.500000
9470096494,37.400002
9471094679,37.375000
9472092862,37.375000
9473091048,37.375000
9474089231,37.375000
9475087416,37.375000
9476085602,37.424999
9477083786,37.500000
9478081971,37.500000
9479080158,37.400002
9480078343,37.450001
9481076529,37.500000
9482074716,37.500000
9483072902,37.500000
9484071088,37.500000
9485069274,37.549999
9486067460,37.625000
9487065649,37.625000
9488063834,37.625000
9489062021,37.549999
9490060209,37.549999
9491058394,37.625000
9492056581,37.500000
9493054770,37.599998
9494052955,37.625000
9495051141,37.625000
9496049329,37.625000
9497047514,37.500000
9498045702,37.500000
9499043889,37.500000
9500042073,37.500000
9501040261,37.500000
9502038460,37.500000
9503036630,37.500000
9504034818,37.500000
9505033002,37.500000
9506031187,37.500000
9507029374,37.500000
9508027558,37.424999
9509025744,37.375000
9510023930,37.375000
9511022115,37.500000
9512020301,37.424999
9513018485,37.424999
9514016671,37.474998
9515014854,37.375000
9516013039,37.375000
9517011225,37.450001
9518009408,37.500000
9519007593,37.500000
9520005779,37.375000
9521003962,37.375000
9522002147,37.375000
9523000330,37.375000
9523998514,37.375000
9524996699,37.375000
9525994882,37.375000
9526993067,37.375000
9527991250,37.375000
9528989433,37.375000
9529987617,37.375000
9530985799,37.299999
9531983982,37.250000
9532982167,37.250000
9533980348,37.375000
9534978532,37.275002
9535976713,37.250000
9536974896,37.275002
9537973080,37.375000
9538971261,37.275002
9539969443,37.325001
9540967641,37.325001
9541965807,37.250000
9542963991,37.250000
9543962171,37.349998
9544960355,37.299999
9545958535,37.275002
9546956718,37.375000
9547954901,37.375000
9548953082,37.299999
9549951264,37.250000
9550949445,37.275002
9551947627,37.375000
9552945810,37.275002
9553943990,37.250000
9554942174,37.250000
9555940354,37.250000
9556938537,37.250000
9557936717,37.250000
9558934899,37.250000
9559933082,37.250000
9560931262,37.250000
9561929443,37.250000
9562927626,37.250000
9563925806,37.250000
9564923989,37.250000
9565922168,37.250000
9566920350,37.250000
9567918532,37.250000
9568916712,37.250000
