Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9466990828,0.054034,0.830954,-0.168118
9467011266,-0.043966,0.732954,-0.511118
9467031705,-0.092966,0.781954,-0.658118
9467052145,-0.288966,0.683954,-0.756118
9467072584,-0.043966,0.683954,-0.658118
9467093023,0.054034,0.879954,-0.021118
9467113463,0.054034,0.781954,-0.070118
9467133902,0.152034,0.781954,-0.315118
9467154342,0.005034,0.928954,-0.462118
9467174781,0.201034,0.732954,-0.658118
9467195221,0.054034,0.536954,-0.756118
9467215660,0.005034,0.683954,-0.756118
9467236099,-0.043966,0.781954,-0.511118
9467256539,0.005034,0.781954,-0.364118
9467276978,-0.092966,0.830954,-0.217118
9467297418,0.054034,0.781954,-0.266118
9467317857,0.005034,0.634954,-0.364118
9467338296,-0.043966,0.732954,-0.364118
9467358735,0.005034,0.781954,-0.364118
9467379175,-0.043966,0.781954,-0.315118
9467399613,-0.043966,0.879954,-0.315118
9467420052,-0.141966,0.830954,-0.315118
9467440490,-0.043966,0.830954,-0.315118
9467460931,0.005034,0.879954,-0.511118
9467481371,-0.043966,0.732954,-0.315118
9467501809,0.054034,0.879954,-0.119118
9467522247,0.054034,0.928954,-0.315118
9467542685,0.103034,0.928954,-0.462118
9467563123,-0.043966,0.830954,-0.560118
9467583562,-0.043966,0.781954,-0.511118
9467604000,0.054034,0.781954,-0.511118
9467624439,0.054034,0.781954,-0.364118
9467644878,0.005034,0.879954,-0.266118
9467665316,-0.043966,0.928954,-0.315118
9467685755,0.054034,0.830954,-0.413118
9467706194,0.054034,0.879954,-0.315118
9467726632,0.103034,0.830954,-0.413118
9467747070,0.103034,0.830954,-0.462118
9467767509,0.103034,0.830954,-0.462118
9467787948,0.152034,0.781954,-0.511118
9467808386,0.103034,0.781954,-0.462118
9467828825,-0.043966,0.830954,-0.462118
9467849263,0.005034,0.830954,-0.462118
9467869702,0.054034,0.732954,-0.364118
9467890141,0.103034,0.634954,-0.364118
9467910581,0.103034,0.781954,-0.315118
9467931021,0.152034,0.830954,-0.462118
9467951458,0.054034,0.781954,-0.511118
9467971896,0.054034,0.732954,-0.511118
9467992335,0.152034,0.683954,-0.560118
9468012772,0.152034,0.830954,-0.560118
9468033211,0.103034,0.781954,-0.609118
9468053651,0.201034,0.732954,-0.511118
9468074089,0.152034,0.683954,-0.413118
9468094527,0.201034,0.732954,-0.462118
9468114966,0.103034,0.634954,-0.462118
9468135410,0.103034,0.634954,-0.560118
9468155843,0.103034,0.585954,-0.560118
9468176282,0.201034,0.634954,-0.511118
9468196721,0.201034,0.536954,-0.658118
9468217159,0.250034,0.634954,-0.658118
9468237599,0.299034,0.536954,-0.707118
9468258037,0.201034,0.536954,-0.707118
9468278476,0.201034,0.536954,-0.658118
9468298915,0.152034,0.487954,-0.707118
9468319353,0.152034,0.438954,-0.707118
9468339791,0.152034,0.438954,-0.658118
9468360231,0.201034,0.438954,-0.658118
9468380670,0.201034,0.487954,-0.609118
9468401109,0.299034,0.340954,-0.707118
9468421548,0.201034,0.389954,-0.707118
9468441988,0.152034,0.291954,-0.707118
9468462427,0.201034,0.340954,-0.560118
9468482867,0.250034,0.291954,-0.560118
9468503306,0.299034,0.389954,-0.609118
9468523744,0.299034,0.389954,-0.560118
9468544183,0.299034,0.340954,-0.364118
9468564622,0.201034,0.389954,-0.315118
9468585062,0.250034,0.438954,-0.413118
9468605501,0.348034,0.438954,-0.364118
9468625941,0.348034,0.487954,-0.315118
9468646380,0.299034,0.634954,-0.413118
9468666819,0.348034,0.634954,-0.413118
9468687257,0.348034,0.683954,-0.413118
9468707696,0.397034,0.781954,-0.413118
9468728134,0.446034,0.879954,-0.413118
9468748573,0.446034,0.830954,-0.364118
