Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9466989824,-28.069397,38.998043,10.401810,0.177236,0.886403,-0.152662
9466992320,-24.922466,37.708534,9.366501,0.171030,0.891701,-0.184161
9466994815,-21.647305,36.116024,8.391463,0.171412,0.893367,-0.219166
9466997311,-18.546743,34.093754,7.414608,0.168201,0.894956,-0.257134
9466999807,-15.624516,31.824640,6.436544,0.166457,0.899427,-0.298036
9467002303,-12.946892,29.551502,5.518987,0.162484,0.904670,-0.334607
9467004799,-10.455064,27.397354,4.601445,0.157855,0.907647,-0.376258
9467007294,-8.090221,25.485245,3.623430,0.151788,0.912762,-0.420144
9467009790,-6.037965,23.934273,2.523926,0.146408,0.909984,-0.456625
9467012286,-4.365225,23.048538,1.181767,0.133773,0.904248,-0.491707
9467014781,-3.253869,22.764229,-0.464672,0.121119,0.902152,-0.526838
9467017278,-2.279254,23.209843,-2.230983,0.112792,0.901574,-0.560474
9467019773,-1.499144,24.201271,-3.995853,0.110974,0.904697,-0.594070
9467022269,-0.787797,25.557446,-5.698601,0.109890,0.906370,-0.627637
9467024765,-0.144164,27.217295,-7.278403,0.105901,0.899346,-0.656752
9467027260,0.495149,29.059742,-8.674508,0.106235,0.891679,-0.682883
9467029756,1.193537,30.963718,-9.826165,0.100690,0.886226,-0.703293
9467032252,1.951392,32.929432,-10.855430,0.096536,0.876528,-0.716338
9467034748,2.640945,35.198502,-11.578664,0.096014,0.870471,-0.731570
9467037243,3.322445,37.833092,-12.117588,0.092538,0.863734,-0.741730
9467039739,3.874277,40.831554,-12.655552,0.066407,0.856286,-0.736885
9467042235,4.543728,44.076088,-13.314496,0.049017,0.843812,-0.732580
9467044731,5.152862,47.320065,-14.217684,0.064385,0.833656,-0.739520
9467047226,5.946086,50.567413,-15.364595,0.053584,0.821885,-0.740965
9467049722,6.858107,54.061474,-16.998657,-0.000022,0.802498,-0.738521
9467052218,7.818064,58.289150,-19.179401,-0.043478,0.779599,-0.733703
9467054714,8.698122,63.553661,-22.089153,-0.075185,0.757342,-0.741853
9467057210,9.374898,69.852409,-25.362003,-0.099565,0.733612,-0.755713
