Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9467015297,-0.410041,-1.476588,0.182656
9467065907,-0.388957,-1.485421,0.155153
9467116519,-0.357421,-1.503627,0.146050
9467167139,-0.388947,-1.494897,0.173452
9467217747,-0.399648,-1.486140,0.219458
9467268359,-0.399815,-1.476792,0.210362
9467318978,-0.378778,-1.495121,0.201159
9467369597,-0.357810,-1.494741,0.182958
9467420214,-0.336699,-1.503485,0.146254
9467470836,-0.326188,-1.512615,0.137052
9467521452,-0.284407,-1.521461,0.128154
9467572058,-0.284407,-1.521461,0.128154
9467622665,-0.284487,-1.521569,0.137355
9467673275,-0.315551,-1.530958,0.118544
9467723892,-0.326032,-1.521739,0.118546
9467774521,-0.367890,-1.503661,0.136748
9467825148,-0.451084,-1.495011,0.136038
9467875777,-0.451710,-1.457913,0.136451
9467926400,-0.514445,-1.439949,0.145249
9467977022,-0.556065,-1.440608,0.181646
9468027645,-0.588088,-1.404282,0.236961
9468078262,-0.598757,-1.395437,0.273767
9468128876,-0.609611,-1.368014,0.310777
9468179496,-0.620392,-1.350048,0.366083
9468230119,-0.631360,-1.332117,0.421397
9468280747,-0.652973,-1.295867,0.495215
9468331378,-0.643143,-1.268550,0.560024
9468382006,-0.633655,-1.222601,0.615847
9468432635,-0.644730,-1.195299,0.662070
9468483261,-0.665818,-1.186373,0.680382
9468533884,-0.696962,-1.176896,0.634175
9468584503,-0.716843,-1.213545,0.569142
9468635132,-0.715909,-1.249692,0.467518
9468685758,-0.725436,-1.276464,0.347495
9468736388,-0.714082,-1.312194,0.209171
9468787013,-0.692820,-1.301162,0.043858
9468837633,-0.724146,-1.243961,-0.139849
9468888261,-0.714289,-1.148873,-0.368742
9468938881,-0.663825,-1.016892,-0.541636
9468989497,-0.696965,-0.849194,-0.632063
9469040114,-0.719487,-0.719169,-0.658406
9469090731,-0.720950,-0.616916,-0.675671
9469141346,-0.732237,-0.542758,-0.674911
9469191960,-0.752635,-0.580216,-0.657144
9469242582,-0.772622,-0.645514,-0.639686
9469293195,-0.729245,-0.766084,-0.613004
9469343816,-0.768883,-0.915676,-0.532258
9469394428,-0.746231,-1.093261,-0.386829
9469445048,-0.734852,-1.215937,-0.167244
9469495667,-0.713495,-1.291924,0.034562
9469546282,-0.693018,-1.330839,0.236769
9469596901,-0.673068,-1.304145,0.375292
9469647520,-0.705584,-1.250037,0.513617
9469698136,-0.707320,-1.176889,0.624872
9469748756,-0.729074,-1.131358,0.698794
9469799371,-0.739913,-1.094308,0.699095
9469849984,-0.729978,-1.075856,0.717817
9469900602,-0.740086,-1.085117,0.708399
9469951222,-0.729076,-1.121725,0.662093
9470001830,-0.717573,-1.167235,0.578860
9470052441,-0.695474,-1.240530,0.495435
9470103049,-0.662986,-1.294977,0.393903
9470153657,-0.672409,-1.321237,0.218675
9470204269,-0.681912,-1.309886,-0.002143
9470254883,-0.713405,-1.252879,-0.167448
9470305497,-0.787656,-1.122133,-0.313937
9470356110,-0.862212,-0.992430,-0.350007
9470406719,-0.905463,-0.853190,-0.385645
9470457333,-0.917351,-0.741476,-0.430510
9470507950,-0.907720,-0.694475,-0.485123
9470558571,-0.897300,-0.685022,-0.494105
9470609183,-0.865467,-0.731265,-0.485116
9470659802,-0.853845,-0.824075,-0.476860
9470710415,-0.820787,-0.963559,-0.422898
9470761023,-0.777298,-1.122139,-0.304634
9470811632,-0.713578,-1.243687,-0.158143
9470862240,-0.671449,-1.328645,0.025352
9470912857,-0.650972,-1.348543,0.181764
9470963474,-0.672890,-1.322721,0.375089
9471014090,-0.674587,-1.249985,0.532332
9471064705,-0.697134,-1.167955,0.671072
9471115319,-0.687995,-1.094495,0.763985
9471165927,-0.710266,-1.020886,0.810638
9471216532,-0.731951,-0.965548,0.829456
9471267147,-0.742835,-0.937711,0.820477
9471317758,-0.762741,-0.984086,0.801341
9471368370,-0.730706,-1.039178,0.764235
9471418984,-0.698211,-1.112643,0.708507
9471469598,-0.696304,-1.194985,0.587945
9471520219,-0.684080,-1.276918,0.430704
9471570841,-0.682769,-1.311845,0.200274
9471621466,-0.661299,-1.309668,-0.011147
9471672091,-0.703017,-1.252548,-0.194956
9471722720,-0.808265,-1.141120,-0.286744
9471773347,-0.872709,-0.983144,-0.359206
9471823963,-0.874454,-0.843062,-0.449667
9471874582,-0.834179,-0.730407,-0.549232
9471925191,-0.855695,-0.674626,-0.576418
9471975801,-0.866491,-0.637847,-0.548474
9472026403,-0.855879,-0.665784,-0.530295
9472077022,-0.875511,-0.749729,-0.503826
9472127637,-0.884366,-0.871152,-0.431664
9472178253,-0.840988,-1.020361,-0.322500
9472228873,-0.787601,-1.151195,-0.185425
9472279494,-0.703215,-1.263209,-0.047833
9472330117,-0.661640,-1.320184,0.117565
9472380740,-0.630768,-1.340001,0.274082
9472431357,-0.652317,-1.313456,0.393798
9472481981,-0.663672,-1.277229,0.476925
9472532605,-0.685426,-1.231699,0.550847
9472583224,-0.696547,-1.195102,0.597164
9472633851,-0.675970,-1.185836,0.615873
9472684468,-0.665096,-1.213668,0.624856
9472735081,-0.623038,-1.240756,0.578957
9472785703,-0.590787,-1.295573,0.514234
9472836317,-0.589470,-1.359648,0.421500
9472886927,-0.515574,-1.404489,0.320479
9472937534,-0.483852,-1.412465,0.210270
9472988149,-0.503950,-1.439603,0.117747
9473038755,-0.482956,-1.429435,0.044447
9473089373,-0.503986,-1.430058,0.090247
9473139980,-0.451817,-1.438912,0.090653
9473190598,-0.389006,-1.465861,0.044945
9473241214,-0.430546,-1.475888,0.090442
9473291827,-0.462035,-1.467137,0.117843
9473342438,-0.430792,-1.457397,0.099851
9473393056,-0.493323,-1.448379,0.071738
9473443676,-0.503538,-1.438543,0.007334
9473494295,-0.514144,-1.400622,-0.084365
9473544906,-0.535142,-1.362782,-0.176166
9473595523,-0.566758,-1.315760,-0.267974
9473646136,-0.598848,-1.231601,-0.359362
9473696753,-0.610199,-1.137985,-0.450431
9473747371,-0.611235,-1.053683,-0.532325
9473797986,-0.622815,-0.960434,-0.586601
9473848602,-0.603004,-0.885677,-0.622376
9473899218,-0.572558,-0.819855,-0.685756
9473949839,-0.521184,-0.772783,-0.712335
9474000486,-0.479744,-0.744254,-0.748386
9474051075,-0.469252,-0.753369,-0.757607
9474101696,-0.583547,-0.763638,-0.749647
9474152322,-0.697487,-0.811986,-0.640851
9474202949,-0.800614,-0.906843,-0.514100
9474253561,-0.799492,-1.019616,-0.368120
9474304177,-0.767017,-1.141338,-0.231139
9474354796,-0.672321,-1.243658,-0.130146
9474405413,-0.630079,-1.318721,-0.010949
9474456031,-0.557110,-1.356155,0.081363
9474506641,-0.494259,-1.402597,0.136664
9474557246,-0.431516,-1.430195,0.164568
9474607857,-0.431481,-1.439897,0.210469
9474658476,-0.400426,-1.449167,0.229078
9474709083,-0.410305,-1.476981,0.219463
9474759691,-0.389597,-1.467519,0.219768
9474810297,-0.420696,-1.476906,0.200960
9474860910,-0.420772,-1.457973,0.164360
9474911526,-0.410378,-1.457891,0.164462
9474962139,-0.410453,-1.448592,0.164565
9475012761,-0.431272,-1.448843,0.173562
9475063380,-0.421019,-1.439482,0.173767
9475114000,-0.431444,-1.439494,0.164465
9475164623,-0.421124,-1.430114,0.164670
9475215238,-0.431684,-1.430321,0.173770
9475265863,-0.442079,-1.430403,0.173669
9475316486,-0.421115,-1.439432,0.164567
9475367101,-0.431790,-1.421111,0.183074
9475417717,-0.411060,-1.430442,0.201580
9475468333,-0.400469,-1.439780,0.219978
9475518956,-0.369241,-1.448923,0.229383
9475569574,-0.358572,-1.458152,0.238577
9475620233,-0.348465,-1.448918,0.247987
9475670825,-0.358836,-1.449069,0.257084
9475721445,-0.369459,-1.439977,0.266290
9475772066,-0.369217,-1.448992,0.238582
9475822682,-0.379312,-1.448436,0.174071
9475873302,-0.410216,-1.438341,0.063456
9475923917,-0.451614,-1.428591,-0.019657
9475974540,-0.514225,-1.391007,-0.121072
9476025164,-0.587577,-1.325644,-0.222275
9476075784,-0.598675,-1.240792,-0.368667
9476126400,-0.610233,-1.147040,-0.478177
9476177021,-0.673904,-1.044825,-0.542062
9476227643,-0.738089,-0.905656,-0.587115
9476278265,-0.686956,-0.820926,-0.668473
9476328883,-0.666832,-0.764641,-0.713655
9476379502,-0.708478,-0.764884,-0.723282
9476430119,-0.781204,-0.784632,-0.659791
9476480725,-0.821979,-0.859994,-0.578211
9476531331,-0.799622,-0.971460,-0.551643
9476581948,-0.778004,-1.055625,-0.469570
9476632550,-0.787270,-1.139836,-0.406178
9476683160,-0.745163,-1.195987,-0.323578
9476733762,-0.691936,-1.269718,-0.333088
9476784367,-0.733608,-1.260924,-0.314979
9476834977,-0.723498,-1.251667,-0.305582
9476885589,-0.702401,-1.269727,-0.342401
9476936205,-0.712306,-1.297721,-0.333601
9476986815,-0.608201,-1.286832,-0.415292
9477037428,-0.566093,-1.294976,-0.497787
9477088043,-0.618485,-1.276766,-0.507317
9477138652,-0.660517,-1.249339,-0.498212
9477189263,-0.681656,-1.221485,-0.516509
9477239887,-0.723579,-1.194043,-0.507390
9477290511,-0.713714,-1.165884,-0.534611
9477341129,-0.703527,-1.137684,-0.561789
9477391750,-0.651527,-1.118174,-0.616267
9477442371,-0.630976,-1.099110,-0.652679
9477492988,-0.620756,-1.080203,-0.679975
9477543610,-0.641651,-1.070997,-0.689276
9477594237,-0.589886,-1.051854,-0.706964
9477644859,-0.569272,-1.032865,-0.734158
9477695482,-0.590062,-1.033028,-0.734361
9477746109,-0.590112,-1.023737,-0.734240
9477796742,-0.611106,-1.014796,-0.715937
9477847367,-0.558913,-1.023239,-0.761557
9477898001,-0.538682,-0.976322,-0.797643
9477948638,-0.559750,-0.957924,-0.797640
9477999275,-0.528714,-0.957866,-0.778951
