Timestamp (us),W Element,X Element,Y Element,Z Element
9466989824,0.530993,0.836519,-0.133068,0.028627
9466992320,0.531550,0.836178,-0.132830,0.029343
9466994815,0.532044,0.835878,-0.132589,0.030028
9466997311,0.532529,0.835584,-0.132341,0.030669
9466999807,0.532943,0.835337,-0.132099,0.031264
9467002303,0.533291,0.835131,-0.131865,0.031813
9467004799,0.533575,0.834966,-0.131637,0.032317
9467007294,0.533799,0.834840,-0.131412,0.032779
9467009790,0.533971,0.834750,-0.131183,0.033204
9467012286,0.534100,0.834690,-0.130938,0.033598
9467014781,0.534199,0.834654,-0.130664,0.033966
9467017278,0.534275,0.834638,-0.130364,0.034314
9467019773,0.534333,0.834640,-0.130021,0.034661
9467022269,0.534425,0.834624,-0.129643,0.035043
9467024765,0.534511,0.834619,-0.129216,0.035438
9467027260,0.534591,0.834623,-0.128742,0.035852
9467029756,0.534665,0.834637,-0.128225,0.036290
9467032252,0.534731,0.834660,-0.127666,0.036752
9467034748,0.534791,0.834691,-0.127066,0.037250
9467037243,0.534846,0.834729,-0.126426,0.037790
9467039739,0.534899,0.834771,-0.125741,0.038381
9467042235,0.534949,0.834819,-0.125006,0.039024
9467044731,0.534997,0.834874,-0.124217,0.039717
9467047226,0.535040,0.834936,-0.123368,0.040457
9467049722,0.535076,0.835010,-0.122449,0.041244
9467052218,0.535108,0.835095,-0.121439,0.042085
9467054714,0.535139,0.835192,-0.120315,0.042989
9467057210,0.535176,0.835298,-0.119058,0.043971
9467059706,0.535225,0.835408,-0.117656,0.045042
9467062201,0.535292,0.835517,-0.116111,0.046202
9467064697,0.535381,0.835623,-0.114431,0.047446
9467067192,0.535491,0.835721,-0.112621,0.048771
9467069689,0.535630,0.835804,-0.110725,0.050151
9467072184,0.535795,0.835869,-0.108774,0.051562
9467074680,0.535990,0.835908,-0.106813,0.052971
9467077176,0.536214,0.835921,-0.104887,0.054335
9467079671,0.536437,0.835921,-0.103055,0.055623
9467082167,0.536716,0.835874,-0.101341,0.056786
9467084663,0.537049,0.835781,-0.099765,0.057789
9467087158,0.537355,0.835698,-0.098322,0.058596
9467089654,0.537657,0.835609,-0.097028,0.059253
9467092150,0.537929,0.835529,-0.095883,0.059784
9467094646,0.538144,0.835472,-0.094893,0.060213
9467097142,0.538285,0.835450,-0.094067,0.060553
9467099637,0.538342,0.835468,-0.093416,0.060811
9467102133,0.538312,0.835526,-0.092951,0.060985
9467104629,0.538200,0.835623,-0.092680,0.061069
9467107125,0.538013,0.835752,-0.092610,0.061057
9467109620,0.537758,0.835909,-0.092743,0.060948
9467112116,0.537437,0.836092,-0.093078,0.060744
9467114612,0.537050,0.836304,-0.093605,0.060452
9467117108,0.536594,0.836546,-0.094284,0.060099
9467119603,0.536073,0.836815,-0.095114,0.059681
9467122099,0.535493,0.837111,-0.096076,0.059202
9467124595,0.534862,0.837428,-0.097153,0.058668
9467127091,0.534195,0.837757,-0.098330,0.058081
9467129587,0.533507,0.838091,-0.099593,0.057438
9467132082,0.532813,0.838420,-0.100931,0.056733
9467134578,0.532149,0.838718,-0.102358,0.055999
9467137074,0.531495,0.839006,-0.103831,0.055179
9467139570,0.530856,0.839282,-0.105340,0.054270
9467142065,0.530225,0.839550,-0.106881,0.053274
9467144561,0.529599,0.839811,-0.108444,0.052203
9467147057,0.528974,0.840069,-0.110024,0.051076
9467149552,0.528344,0.840325,-0.111616,0.049915
9467152048,0.527700,0.840584,-0.113221,0.048743
9467154544,0.527037,0.840847,-0.114837,0.047575
9467157040,0.526351,0.841117,-0.116467,0.046425
9467159536,0.525635,0.841397,-0.118109,0.045311
9467162031,0.524888,0.841686,-0.119761,0.044250
9467164527,0.524112,0.841984,-0.121417,0.043259
9467167023,0.523310,0.842289,-0.123065,0.042348
9467169519,0.522548,0.842563,-0.124705,0.041515
9467172014,0.521783,0.842834,-0.126308,0.040780
9467174510,0.521021,0.843102,-0.127857,0.040152
9467177006,0.520274,0.843362,-0.129337,0.039638
9467179501,0.519546,0.843614,-0.130729,0.039240
9467181997,0.518839,0.843861,-0.132021,0.038961
9467184493,0.518156,0.844104,-0.133197,0.038798
9467186989,0.517500,0.844341,-0.134252,0.038751
9467189485,0.516872,0.844575,-0.135176,0.038815
9467191980,0.516276,0.844806,-0.135962,0.038988
9467194476,0.515709,0.845036,-0.136599,0.039268
9467196973,0.515177,0.845265,-0.137079,0.039658
9467199468,0.514680,0.845492,-0.137397,0.040161
9467201964,0.514218,0.845718,-0.137551,0.040780
9467204459,0.513792,0.845944,-0.137541,0.041518
9467206955,0.513400,0.846166,-0.137371,0.042377
9467209451,0.513051,0.846381,-0.137046,0.043351
9467211947,0.512747,0.846586,-0.136570,0.044434
9467214442,0.512490,0.846779,-0.135950,0.045619
9467216939,0.512281,0.846958,-0.135186,0.046897
9467219434,0.512119,0.847121,-0.134291,0.048255
9467221929,0.512003,0.847271,-0.133260,0.049689
9467224425,0.511930,0.847407,-0.132101,0.051193
9467226921,0.511895,0.847530,-0.130825,0.052759
9467229417,0.511890,0.847643,-0.129445,0.054379
9467231913,0.511872,0.847774,-0.127959,0.056009
9467234417,0.511882,0.847892,-0.126385,0.057671
9467236926,0.511920,0.847998,-0.124732,0.059353
9467239401,0.511984,0.848089,-0.123034,0.061024
9467241897,0.512078,0.848165,-0.121255,0.062714
9467244393,0.512199,0.848225,-0.119417,0.064411
9467246888,0.512349,0.848267,-0.117534,0.066112
9467249384,0.512524,0.848289,-0.115625,0.067818
9467251880,0.512717,0.848294,-0.113705,0.069517
9467254376,0.512927,0.848282,-0.111792,0.071204
9467256872,0.513148,0.848254,-0.109903,0.072864
9467259367,0.513379,0.848211,-0.108053,0.074487
9467261863,0.513614,0.848156,-0.106254,0.076059
9467264359,0.513853,0.848091,-0.104518,0.077567
9467266854,0.514091,0.848018,-0.102854,0.079001
9467269350,0.514326,0.847939,-0.101267,0.080359
9467271846,0.514558,0.847854,-0.099761,0.081645
9467274342,0.514727,0.847797,-0.098348,0.082868
9467276837,0.514888,0.847740,-0.097014,0.084018
9467279334,0.515040,0.847683,-0.095757,0.085096
9467281829,0.515181,0.847629,-0.094574,0.086096
9467284325,0.515310,0.847580,-0.093463,0.087018
9467286821,0.515426,0.847536,-0.092427,0.087858
9467289316,0.515526,0.847500,-0.091466,0.088616
9467291812,0.515613,0.847472,-0.090578,0.089294
9467294308,0.515737,0.847421,-0.089751,0.089891
