Timestamp (us),Percentage (%),Power (dBm)
9467561468,78.000000,-61.000000
9468554780,82.000000,-59.000000
9469568088,78.000000,-61.000000
9470562470,82.000000,-59.000000
9471557193,82.000000,-59.000000
9472567959,86.000000,-57.000000
9473556279,80.000000,-60.000000
9474553517,80.000000,-60.000000
9475555103,80.000000,-60.000000
9476558705,80.000000,-60.000000
9477562559,78.000000,-61.000000
9478559850,80.000000,-60.000000
9479563603,84.000000,-58.000000
9480562598,92.000000,-54.000000
9481560197,74.000000,-63.000000
9482556285,80.000000,-60.000000
9483554295,78.000000,-61.000000
9484557591,78.000000,-61.000000
9485555898,78.000000,-61.000000
9486559192,82.000000,-59.000000
9487557499,88.000000,-56.000000
9488567182,88.000000,-56.000000
9489556633,100.000000,-50.000000
9490569884,92.000000,-54.000000
9491562739,100.000000,-50.000000
9492559005,92.000000,-54.000000
9493558939,92.000000,-54.000000
9494562777,96.000000,-52.000000
9495563933,100.000000,-50.000000
9496559714,94.000000,-53.000000
9497560515,100.000000,-50.000000
9498562828,94.000000,-53.000000
9499557124,92.000000,-54.000000
9500557924,80.000000,-60.000000
9501561223,90.000000,-55.000000
9502559550,80.000000,-60.000000
9503562892,82.000000,-59.000000
9504573605,78.000000,-61.000000
9505564453,82.000000,-59.000000
9506557736,78.000000,-61.000000
9507564580,72.000000,-64.000000
9508556841,92.000000,-54.000000
9509562968,84.000000,-58.000000
9510551723,76.000000,-62.000000
9511562994,88.000000,-56.000000
9512563008,80.000000,-60.000000
9513553462,70.000000,-65.000000
9514564165,74.000000,-63.000000
9515562442,80.000000,-60.000000
9516568232,92.000000,-54.000000
9517560695,94.000000,-53.000000
9518562374,100.000000,-49.000000
9519558155,100.000000,-49.000000
9520563110,94.000000,-53.000000
9521552266,96.000000,-52.000000
9522558056,100.000000,-49.000000
9523558855,94.000000,-53.000000
9524559653,98.000000,-51.000000
9525555470,94.000000,-53.000000
9526548951,96.000000,-52.000000
9527557089,90.000000,-55.000000
9528560353,46.000000,-77.000000
9529553666,84.000000,-58.000000
9530554487,86.000000,-57.000000
9531552769,76.000000,-62.000000
9532558557,82.000000,-59.000000
9533554365,80.000000,-60.000000
9534558173,74.000000,-63.000000
9535558458,74.000000,-63.000000
9536563315,74.000000,-63.000000
9537560053,82.000000,-59.000000
9538551638,80.000000,-60.000000
9539556658,64.000000,-68.000000
9540559953,86.000000,-57.000000
9541570732,92.000000,-54.000000
9542561549,92.000000,-54.000000
9543554874,98.000000,-51.000000
9544553162,98.000000,-51.000000
9545561460,96.000000,-52.000000
9546552261,98.000000,-51.000000
9547563040,96.000000,-52.000000
9548568856,100.000000,-49.000000
9549562140,94.000000,-53.000000
9550550487,98.000000,-51.000000
9551571740,90.000000,-55.000000
9552554576,98.000000,-51.000000
9553567825,90.000000,-55.000000
9554573612,88.000000,-56.000000
9555559464,80.000000,-60.000000
9556550248,78.000000,-61.000000
9557560333,78.000000,-61.000000
9558551841,78.000000,-61.000000
9559560126,80.000000,-60.000000
9560555930,76.000000,-62.000000
9561560849,82.000000,-59.000000
9562567505,76.000000,-62.000000
9563563660,82.000000,-59.000000
9564563673,86.000000,-57.000000
9565562406,98.000000,-51.000000
9566563202,94.000000,-53.000000
9567570625,84.000000,-58.000000
9568567311,100.000000,-50.000000
