Timestamp (us),Temperature (degC)
9467246888,39.500000
9468245190,39.500000
9469243493,39.400002
9470241797,39.450001
9471240098,39.500000
9472238412,39.500000
9473236707,39.500000
9474235009,39.500000
9475233314,39.500000
9476231616,39.500000
9477229920,39.500000
9478228225,39.599998
9479226528,39.549999
9480224833,39.500000
9481223138,39.500000
9482221441,39.625000
9483219747,39.525002
9484218051,39.500000
9485216356,39.500000
9486214662,39.500000
9487212966,39.500000
9488211271,39.575001
9489209577,39.625000
9490207880,39.625000
9491206187,39.625000
9492204490,39.525002
9493202796,39.549999
9494201109,39.599998
9495199405,39.500000
9496197711,39.599998
9497196017,39.625000
9498194321,39.625000
9499192626,39.625000
9500190932,39.500000
9501189236,39.599998
9502187542,39.625000
9503185845,39.625000
9504184151,39.625000
9505182455,39.500000
9506180761,39.500000
9507179064,39.500000
9508177368,39.500000
9509175673,39.500000
9510173977,39.500000
9511172282,39.500000
9512170586,39.525002
9513168890,39.625000
9514167194,39.625000
9515165498,39.625000
9516163804,39.575001
9517162107,39.500000
9518160412,39.500000
9519158715,39.599998
9520157020,39.575001
9521155322,39.525002
9522153628,39.625000
9523151930,39.500000
9524150235,39.500000
9525148536,39.500000
9526146841,39.500000
9527145142,39.500000
9528143447,39.500000
9529141749,39.500000
9530140053,39.474998
9531138354,39.375000
9532136657,39.500000
9533134961,39.500000
9534133263,39.500000
9535131567,39.500000
9536129868,39.500000
9537128172,39.500000
9538126473,39.500000
9539124777,39.500000
9540123078,39.500000
9541121382,39.500000
9542119682,39.500000
9543117986,39.450001
9544116287,39.375000
9545114589,39.500000
9546112891,39.400002
9547111193,39.375000
9548109496,39.400002
9549107796,39.500000
9550106099,39.500000
9551104399,39.424999
9552102702,39.375000
9553101001,39.375000
9554099304,39.375000
9555097604,39.375000
9556095906,39.375000
9557094205,39.375000
9558092506,39.375000
9559090808,39.375000
9560089108,39.375000
9561087410,39.375000
9562085709,39.375000
9563084011,39.375000
9564082310,39.375000
9565080611,39.375000
9566078910,39.375000
9567077211,39.375000
9568075510,39.375000
9569073811,39.375000
