Timestamp (us),Percentage (%),Voltage (V),Charging Status
9467164853,73.661957,3.736619,0.000000
9468165382,73.640488,3.736405,0.000000
9469165914,73.657944,3.736579,0.000000
9470166444,73.656601,3.736566,0.000000
9471166974,73.643166,3.736432,0.000000
9472167506,73.643166,3.736432,0.000000
9473168037,73.613625,3.736136,0.000000
9474168568,73.625710,3.736257,0.000000
9475169100,73.616318,3.736163,0.000000
9476169630,73.604233,3.736042,0.000000
9477170160,73.610939,3.736109,0.000000
9478170710,73.588112,3.735881,0.000000
9479171239,73.594833,3.735948,0.000000
9480171769,73.572006,3.735720,0.000000
9481172301,73.578720,3.735787,0.000000
9482172831,73.561256,3.735612,0.000000
9483173362,73.598854,3.735989,0.000000
9484173892,73.578712,3.735787,0.000000
9485174422,73.572006,3.735720,0.000000
9486174954,73.534401,3.735344,0.000000
9487175484,73.558571,3.735586,0.000000
9488176017,73.550514,3.735505,0.000000
9489176547,73.534401,3.735344,0.000000
9490177078,73.538429,3.735384,0.000000
9491177609,73.527687,3.735277,0.000000
9492178162,73.519630,3.735196,0.000000
9493178691,73.538437,3.735384,0.000000
9494179222,73.523666,3.735237,0.000000
9495179751,73.518288,3.735183,0.000000
9496180283,73.526337,3.735263,0.000000
9497180814,73.529030,3.735290,0.000000
9498181345,73.515610,3.735156,0.000000
9499181878,73.491440,3.734914,0.000000
9500182407,73.507553,3.735075,0.000000
9501182939,73.467262,3.734673,0.000000
9502183473,73.494118,3.734941,0.000000
9503184005,73.464569,3.734646,0.000000
9504184535,73.496811,3.734968,0.000000
9505185067,73.463234,3.734632,0.000000
9506185621,73.487411,3.734874,0.000000
9507186150,73.482040,3.734821,0.000000
9508186680,73.498146,3.734982,0.000000
9509187210,73.491432,3.734914,0.000000
9510187742,73.459206,3.734592,0.000000
9511188272,73.465919,3.734659,0.000000
9512188802,73.435028,3.734350,0.000000
9513189332,73.476662,3.734767,0.000000
9514189863,73.420265,3.734203,0.000000
9515190395,73.425636,3.734256,0.000000
9516190927,73.456528,3.734565,0.000000
9517191458,73.437721,3.734377,0.000000
9518191989,73.432350,3.734324,0.000000
9519192520,73.402802,3.734028,0.000000
9520193068,73.405495,3.734055,0.000000
9521193598,73.426979,3.734270,0.000000
9522194128,73.397438,3.733974,0.000000
9523194657,73.418922,3.734189,0.000000
9524195189,73.396095,3.733961,0.000000
9525195720,73.397446,3.733974,0.000000
9526196251,73.404144,3.734042,0.000000
9527197129,73.369232,3.733693,0.000000
9528197659,73.400124,3.734001,0.000000
9529198189,73.385353,3.733854,0.000000
9530198755,73.384010,3.733840,0.000000
9531199286,73.378639,3.733786,0.000000
9532199816,73.354462,3.733545,0.000000
9533200346,73.371925,3.733719,0.000000
9534200876,73.373260,3.733733,0.000000
9535201407,73.327606,3.733276,0.000000
9536201937,73.361183,3.733612,0.000000
9537202467,73.353127,3.733531,0.000000
9538202998,73.354462,3.733545,0.000000
9539203559,73.323578,3.733236,0.000000
9540204089,73.310158,3.733102,0.000000
9541204620,73.324928,3.733249,0.000000
9542205150,73.318214,3.733182,0.000000
9543205681,73.294044,3.732941,0.000000
9544206217,73.328957,3.733289,0.000000
9545206749,73.323586,3.733236,0.000000
9546207280,73.318214,3.733182,0.000000
9547207810,73.339691,3.733397,0.000000
9548208342,73.306129,3.733061,0.000000
9549208874,73.310158,3.733102,0.000000
9550209405,73.283302,3.732833,0.000000
9551209935,73.312836,3.733128,0.000000
9552210464,73.303436,3.733035,0.000000
9553210994,73.302094,3.733021,0.000000
9554211535,73.292694,3.732927,0.000000
9555212067,73.298080,3.732981,0.000000
9556212600,73.290016,3.732900,0.000000
9557213131,73.272552,3.732726,0.000000
9558213661,73.260475,3.732605,0.000000
9559214192,73.288673,3.732887,0.000000
9560214724,73.283302,3.732833,0.000000
9561215255,73.260483,3.732605,0.000000
9562215786,73.290009,3.732900,0.000000
9563216317,73.251076,3.732511,0.000000
9564216847,73.260483,3.732605,0.000000
9565217379,73.259132,3.732591,0.000000
9566217909,73.229584,3.732296,0.000000
9567218441,73.251083,3.732511,0.000000
9568218971,73.256447,3.732564,0.000000
9569219501,73.255096,3.732551,0.000000
