Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9467000241,0.289051,-0.171671,0.711502
9467019872,0.289051,-0.122671,0.711502
9467039502,0.191051,-0.122671,0.760502
9467059132,0.191051,-0.171671,0.662502
9467078763,0.289051,-0.220671,0.662502
9467098392,0.338051,-0.171671,0.662502
9467118023,0.289051,-0.122671,0.760502
9467137655,0.289051,-0.171671,0.760502
9467157285,0.240051,-0.122671,0.662502
9467176918,0.289051,-0.171671,0.613502
9467196551,0.289051,-0.171671,0.662502
9467216184,0.240051,-0.171671,0.662502
9467235818,0.240051,-0.122671,0.662502
9467255452,0.289051,-0.171671,0.711502
9467275086,0.338051,-0.171671,0.662502
9467294719,0.338051,-0.171671,0.564502
9467314350,0.191051,-0.024671,0.711502
9467333981,0.289051,-0.122671,0.662502
9467353609,0.289051,-0.073671,0.613502
9467373242,0.289051,-0.122671,0.711502
9467392873,0.240051,-0.171671,0.564502
9467412504,0.240051,-0.122671,0.662502
9467432134,0.240051,-0.122671,0.760502
9467451777,0.289051,-0.122671,0.662502
9467471394,0.289051,-0.171671,0.613502
9467491025,0.289051,-0.220671,0.711502
9467510655,0.289051,-0.073671,0.711502
9467530286,0.289051,-0.073671,0.662502
9467549918,0.289051,-0.220671,0.760502
9467569550,0.387051,-0.171671,0.760502
9467589181,0.289051,-0.171671,0.711502
9467608810,0.289051,-0.122671,0.711502
9467628441,0.338051,-0.171671,0.662502
9467648071,0.289051,-0.122671,0.711502
9467667702,0.240051,-0.122671,0.711502
9467687333,0.338051,-0.122671,0.613502
9467706965,0.240051,-0.122671,0.662502
9467726596,0.289051,-0.073671,0.760502
9467746225,0.289051,-0.171671,0.760502
9467765855,0.240051,-0.171671,0.760502
9467785487,0.191051,-0.122671,0.613502
9467805118,0.289051,-0.171671,0.613502
9467824750,0.289051,-0.171671,0.711502
9467844382,0.289051,-0.122671,0.711502
9467864014,0.240051,-0.171671,0.662502
9467883645,0.289051,-0.122671,0.711502
9467903278,0.191051,-0.122671,0.760502
9467922909,0.338051,-0.171671,0.662502
9467942538,0.289051,-0.122671,0.662502
9467962169,0.289051,-0.220671,0.711502
9467981800,0.338051,-0.171671,0.760502
9468001431,0.191051,-0.122671,0.711502
9468021064,0.289051,-0.171671,0.662502
9468040695,0.387051,-0.122671,0.662502
9468060326,0.240051,-0.171671,0.613502
9468079955,0.289051,-0.171671,0.662502
9468099585,0.289051,-0.122671,0.564502
9468119215,0.289051,-0.171671,0.613502
9468138845,0.338051,-0.171671,0.613502
9468158476,0.338051,-0.171671,0.662502
9468178107,0.240051,-0.220671,0.613502
9468197738,0.338051,-0.122671,0.809502
9468217367,0.240051,-0.171671,0.760502
9468236998,0.289051,-0.122671,0.760502
9468256629,0.240051,-0.073671,0.662502
9468276260,0.240051,-0.122671,0.711502
9468295892,0.338051,-0.171671,0.809502
9468315524,0.338051,-0.220671,0.711502
9468335160,0.240051,-0.122671,0.662502
9468354786,0.289051,-0.122671,0.613502
9468374418,0.289051,-0.171671,0.760502
9468394049,0.240051,-0.171671,0.662502
9468413681,0.289051,-0.122671,0.662502
9468433313,0.191051,-0.122671,0.564502
9468452944,0.338051,-0.171671,0.711502
9468472574,0.289051,-0.171671,0.711502
9468492205,0.289051,-0.171671,0.711502
9468511836,0.289051,-0.171671,0.662502
9468531468,0.191051,-0.171671,0.662502
9468551099,0.240051,-0.220671,0.711502
9468570731,0.240051,-0.171671,0.711502
9468590363,0.338051,-0.171671,0.662502
9468609994,0.387051,-0.171671,0.760502
9468629626,0.289051,-0.122671,0.711502
9468649257,0.240051,-0.220671,0.711502
9468668888,0.289051,-0.122671,0.662502
9468688518,0.387051,-0.220671,0.662502
9468708149,0.387051,-0.122671,0.711502
9468727781,0.338051,-0.220671,0.711502
9468747411,0.289051,-0.171671,0.662502
9468767043,0.289051,-0.171671,0.711502
9468786675,0.338051,-0.122671,0.711502
9468806306,0.289051,-0.122671,0.711502
9468825935,0.289051,-0.171671,0.662502
9468845565,0.289051,-0.171671,0.662502
9468865194,0.240051,-0.171671,0.711502
9468884824,0.338051,-0.220671,0.760502
9468904455,0.289051,-0.171671,0.760502
9468924083,0.387051,-0.220671,0.711502
9468943713,0.338051,-0.220671,0.760502
9468963342,0.289051,-0.171671,0.564502
9468982973,0.289051,-0.220671,0.711502
9469002602,0.289051,-0.171671,0.711502
9469022231,0.338051,-0.220671,0.711502
9469041860,0.289051,-0.122671,0.613502
9469061490,0.240051,-0.220671,0.564502
9469081121,0.289051,-0.171671,0.711502
9469100752,0.338051,-0.171671,0.711502
9469120383,0.289051,-0.220671,0.711502
9469140013,0.338051,-0.171671,0.662502
9469159643,0.191051,-0.171671,0.662502
9469179274,0.240051,-0.220671,0.662502
9469198905,0.289051,-0.171671,0.613502
9469218536,0.289051,-0.171671,0.711502
9469238166,0.289051,-0.171671,0.711502
9469257799,0.338051,-0.122671,0.613502
9469277430,0.289051,-0.171671,0.662502
9469297063,0.338051,-0.171671,0.662502
9469316694,0.240051,-0.122671,0.711502
9469336327,0.289051,-0.171671,0.662502
9469355959,0.289051,-0.122671,0.662502
9469375592,0.289051,-0.171671,0.711502
9469395226,0.289051,-0.122671,0.613502
9469414859,0.289051,-0.171671,0.711502
9469434491,0.191051,-0.122671,0.662502
9469454122,0.289051,-0.073671,0.809502
9469473753,0.240051,-0.122671,0.613502
9469493383,0.338051,-0.073671,0.760502
9469513013,0.289051,-0.073671,0.711502
9469532644,0.338051,-0.024671,0.760502
9469552277,0.142051,-0.073671,0.760502
9469571909,0.289051,-0.073671,0.662502
9469591554,0.191051,-0.073671,0.711502
9469611174,0.387051,-0.024671,0.711502
9469630807,0.240051,-0.073671,0.760502
9469650441,0.338051,0.073329,0.760502
9469670073,0.289051,-0.122671,0.613502
9469689705,0.191051,-0.073671,0.711502
9469709335,0.240051,-0.073671,0.711502
9469728968,0.240051,-0.024671,0.662502
9469748601,0.289051,-0.024671,0.711502
9469768235,0.338051,-0.073671,0.711502
9469787868,0.289051,-0.122671,0.662502
9469807501,0.240051,-0.073671,0.613502
9469827135,0.240051,-0.073671,0.711502
9469846773,0.289051,-0.171671,0.662502
9469866401,0.240051,-0.073671,0.760502
9469886033,0.289051,-0.122671,0.662502
9469905664,0.289051,-0.122671,0.662502
9469925296,0.240051,-0.122671,0.711502
9469944929,0.240051,-0.122671,0.711502
9469964562,0.240051,-0.122671,0.711502
9469984196,0.240051,-0.122671,0.662502
9470003830,0.240051,-0.122671,0.662502
9470023462,0.338051,-0.171671,0.711502
9470043095,0.240051,-0.122671,0.711502
9470062728,0.191051,-0.073671,0.662502
9470082361,0.338051,-0.171671,0.662502
9470101993,0.289051,-0.122671,0.711502
9470121625,0.289051,-0.171671,0.662502
9470141258,0.289051,-0.171671,0.760502
9470160890,0.240051,-0.171671,0.711502
9470180524,0.289051,-0.220671,0.613502
9470200155,0.289051,-0.122671,0.760502
9470219786,0.338051,-0.171671,0.711502
9470239418,0.240051,-0.220671,0.711502
9470259051,0.240051,-0.171671,0.711502
9470278682,0.289051,-0.122671,0.711502
9470298314,0.240051,-0.122671,0.711502
9470317944,0.240051,-0.171671,0.613502
9470337575,0.240051,-0.122671,0.711502
9470357207,0.289051,-0.171671,0.662502
9470376839,0.240051,-0.122671,0.662502
9470396470,0.240051,-0.171671,0.662502
9470416101,0.338051,-0.171671,0.613502
9470435732,0.338051,-0.171671,0.711502
9470455362,0.338051,-0.171671,0.662502
9470474999,0.240051,-0.073671,0.711502
9470494625,0.338051,-0.220671,0.711502
9470514256,0.289051,-0.122671,0.711502
9470533887,0.289051,-0.171671,0.760502
9470553519,0.240051,-0.122671,0.613502
9470573152,0.338051,-0.171671,0.613502
9470592784,0.289051,-0.171671,0.613502
9470612417,0.240051,-0.171671,0.662502
9470632049,0.191051,-0.073671,0.760502
9470651680,0.240051,-0.122671,0.613502
9470671312,0.289051,-0.171671,0.711502
9470690945,0.338051,-0.171671,0.711502
9470710579,0.289051,-0.122671,0.711502
9470730210,0.289051,-0.122671,0.662502
9470749843,0.240051,-0.073671,0.613502
9470769474,0.289051,-0.073671,0.711502
9470789105,0.289051,-0.122671,0.711502
9470808735,0.338051,-0.122671,0.711502
9470828363,0.289051,-0.073671,0.711502
9470847992,0.240051,-0.073671,0.662502
9470867622,0.289051,-0.073671,0.662502
9470887253,0.289051,-0.024671,0.711502
9470906884,0.338051,-0.073671,0.613502
