Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9466991208,0.445703,0.189220,-0.280401,0.270428,-0.138260,0.948664
9466993716,0.445581,0.188568,-0.401558,0.269693,-0.138254,0.949385
9466996212,0.506065,0.127330,-0.400976,0.268942,-0.139705,0.950095
9466998715,0.505808,0.065767,-0.521742,0.268174,-0.141888,0.951528
9467001217,0.444561,-0.116795,-0.520627,0.268174,-0.141160,0.952264
9467003720,0.444314,-0.177985,-0.580734,0.268892,-0.140443,0.953736
9467006223,0.444291,-0.116999,-0.580903,0.265267,-0.140399,0.952967
9467008725,0.565863,0.004400,-0.581216,0.264589,-0.138926,0.950053
9467011228,0.626550,0.064783,-0.641904,0.268915,-0.136802,0.955224
9467013730,0.626353,0.064763,-0.641702,0.271929,-0.133903,0.948715
9467016233,0.565542,0.125624,-0.702579,0.272709,-0.137537,0.940670
9467018736,0.565365,0.125585,-0.702358,0.272568,-0.141204,0.949394
9467021239,0.504340,0.064567,-0.762512,0.268853,-0.133178,0.964007
9467023741,0.503968,-0.057906,-0.882813,0.271029,-0.125931,0.971383
9467026244,0.382330,-0.057391,-0.882743,0.276157,-0.124526,0.969263
9467028747,0.382336,0.003260,-0.943440,0.274771,-0.124495,0.963411
9467031250,0.382197,0.003853,-0.821899,0.274177,-0.121549,0.954673
9467033752,0.382077,0.003851,-0.821641,0.273483,-0.120079,0.953218
9467036255,0.199720,0.005189,-0.700450,0.271310,-0.118597,0.953935
9467038758,0.138908,0.005733,-0.639712,0.265447,-0.120722,0.956042
9467041260,0.017269,-0.054702,-0.639367,0.258930,-0.117732,0.956722
9467043763,0.017263,-0.054685,-0.639166,0.258143,-0.115554,0.964026
9467046265,-0.043472,-0.054716,-0.699692,0.255830,-0.118467,0.972732
9467048768,-0.104208,-0.054153,-0.638954,0.257161,-0.124328,0.977807
9467051271,-0.225770,-0.114569,-0.638609,0.256354,-0.130156,0.979212
9467053773,-0.286439,-0.114284,-0.638512,0.251988,-0.133743,0.976217
9467056276,-0.347098,-0.113703,-0.577793,0.245369,-0.142412,0.974616
9467058779,-0.286249,-0.113916,-0.577508,0.238782,-0.149619,0.971567
9467061281,-0.164680,-0.114377,-0.577119,0.235219,-0.153926,0.961280
9467063784,-0.104005,-0.175520,-0.576481,0.233142,-0.157516,0.948827
9467066287,-0.043348,-0.236643,-0.575845,0.234631,-0.160434,0.942984
9467068789,0.017163,-0.358380,-0.514234,0.239740,-0.168490,0.933493
9467071301,0.138628,-0.358468,-0.453242,0.252741,-0.174478,0.935050
9467073795,0.381418,-0.419982,-0.391710,0.255729,-0.170857,0.931464
9467076297,0.624150,-0.482071,-0.451441,0.255859,-0.163556,0.927146
9467078800,0.745451,-0.483010,-0.572336,0.262389,-0.159270,0.932359
9467081303,0.806073,-0.422177,-0.572404,0.263832,-0.156380,0.936046
9467083805,0.805936,-0.361115,-0.572576,0.268310,-0.143313,0.938387
9467086308,0.805566,-0.421931,-0.572044,0.269833,-0.133860,0.941396
9467088811,0.744458,-0.482480,-0.571617,0.270680,-0.124387,0.940021
9467091314,0.744215,-0.482031,-0.510815,0.277471,-0.108408,0.933657
9467093816,0.683223,-0.481038,-0.389514,0.281224,-0.097515,0.933784
9467096319,0.622357,-0.418818,-0.207981,0.274805,-0.089412,0.930858
9467098822,0.379166,-0.416505,0.034158,0.273504,-0.078453,0.928012
9467101324,0.136052,-0.414193,0.276220,0.282180,-0.074927,0.935432
9467103827,-0.228573,-0.472612,0.457728,0.284294,-0.075694,0.940556
9467106330,-0.471603,-0.531509,0.639387,0.290062,-0.070679,0.949414
9467108832,-0.775172,-0.529506,0.759911,0.295880,-0.064927,0.954631
9467111335,-0.957166,-0.528000,0.880605,0.291527,-0.062693,0.956059
9467113838,-1.199851,-0.525950,1.061779,0.289291,-0.067771,0.955994
9467116340,-1.381605,-0.463219,1.242648,0.287169,-0.065551,0.953070
9467118843,-1.684906,-0.460644,1.484227,0.278351,-0.072017,0.955110
9467121346,-1.927256,-0.397388,1.725482,0.277667,-0.072726,0.950719
9467123848,-2.230144,-0.273271,1.905583,0.276896,-0.069818,0.957299
9467126351,-2.411690,-0.271549,2.086539,0.275404,-0.074173,0.956519
9467128854,-2.654035,-0.330509,2.267686,0.277570,-0.079293,0.952855
9467131356,-2.835680,-0.450630,2.449232,0.270941,-0.085782,0.954189
9467133859,-3.017142,-0.510079,2.569747,0.270887,-0.092340,0.952678
9467136362,-3.199273,-0.447513,2.750950,0.271557,-0.096724,0.953380
9467138864,-3.442250,-0.445926,2.871779,0.261252,-0.101726,0.959792
9467141367,-3.685217,-0.444635,2.931985,0.276339,-0.120123,0.957627
9467143869,-3.806706,-0.443841,2.992400,0.283501,-0.126049,0.961308
9467146374,-3.928194,-0.443047,3.052814,0.281319,-0.123842,0.963489
9467148876,-3.867455,-0.443296,3.052918,0.276923,-0.132527,0.958265
9467151379,-3.867464,-0.442999,3.113540,0.283970,-0.145023,0.965541
9467153882,-3.806501,-0.321091,3.173563,0.289861,-0.147257,0.956834
9467156384,-3.745664,-0.259816,3.294559,0.294877,-0.154604,0.956103
9467158887,-3.624078,-0.199086,3.355037,0.293362,-0.163329,0.953099
9467161390,-3.624078,-0.199086,3.355037,0.294697,-0.175009,0.952292
9467163893,-3.563087,-0.078069,3.233193,0.294693,-0.182283,0.945669
9467166395,-3.441348,0.042404,3.050831,0.295486,-0.180095,0.942047
9467168898,-3.198121,0.162082,2.808054,0.293268,-0.186624,0.939053
9467171400,-3.015651,0.282603,2.686418,0.293147,-0.195378,0.941172
9467173903,-2.894037,0.342442,2.565029,0.287328,-0.200403,0.936690
9467176406,-2.651176,0.279925,2.444553,0.285932,-0.197465,0.934509
9467178909,-2.468939,0.278586,2.323620,0.281540,-0.201057,0.933702
9467181411,-2.165445,0.154593,2.142977,0.279336,-0.203219,0.933661
9467183914,-1.922343,0.213638,1.961174,0.282228,-0.205438,0.932946
9467186416,-1.739855,0.333566,1.718294,0.279294,-0.203955,0.936573
9467188919,-1.496520,0.514471,1.535787,0.274222,-0.200984,0.937999
9467191422,-1.375013,0.513083,1.354128,0.271995,-0.206060,0.937204
9467193925,-1.131902,0.571832,1.111703,0.271292,-0.203864,0.937214
9467196427,-0.949530,0.630829,0.869175,0.264798,-0.197232,0.939382
9467198930,-0.645670,0.689033,0.566231,0.258993,-0.197163,0.938589
9467201432,-0.341935,0.686603,0.324262,0.253237,-0.195628,0.934889
9467203935,-0.099162,0.562266,0.022271,0.251119,-0.187589,0.937118
9467206438,0.022354,0.560582,-0.220010,0.248209,-0.183192,0.941497
9467208940,0.143754,0.497968,-0.461940,0.245227,-0.184628,0.946559
9467211443,0.204405,0.435899,-0.643350,0.246017,-0.178077,0.947349
9467213946,0.386768,0.495193,-0.825257,0.243135,-0.176584,0.946599
9467216448,0.508275,0.493806,-1.006916,0.244571,-0.175877,0.948809
9467218951,0.569158,0.553597,-1.189030,0.241743,-0.167098,0.950306
9467221454,0.690665,0.552209,-1.370689,0.238899,-0.160505,0.951056
9467223956,0.812065,0.489596,-1.612618,0.245366,-0.164233,0.954017
9467226459,0.872716,0.427527,-1.794029,0.248150,-0.169385,0.959844
9467228961,0.993874,0.243350,-1.974632,0.252470,-0.173080,0.959862
9467231464,1.054525,0.181281,-2.156043,0.255345,-0.175303,0.960607
9467233967,1.236763,0.179942,-2.276976,0.256030,-0.176775,0.962791
9467236470,1.358502,0.300415,-2.459338,0.263297,-0.175405,0.964342
9467238972,1.419251,0.299869,-2.519857,0.265478,-0.176885,0.962895
9467241475,1.419269,0.299276,-2.641101,0.264767,-0.176145,0.962164
9467243978,1.479911,0.237504,-2.761890,0.267691,-0.176176,0.960737
9467246482,1.540669,0.236662,-2.883030,0.270631,-0.174748,0.959322
9467248982,1.723032,0.295956,-3.064937,0.269888,-0.175470,0.960038
9467251484,1.844762,0.416725,-3.186677,0.270614,-0.174751,0.960781
9467253987,1.966367,0.476861,-3.247443,0.270688,-0.171826,0.957157
9467256490,2.087962,0.537294,-3.247587,0.266409,-0.167394,0.954226
9467258992,2.209441,0.536797,-3.247380,0.265681,-0.165204,0.956424
9467261495,2.391544,0.475122,-3.246716,0.268610,-0.160869,0.958679
9467263997,2.452284,0.474873,-3.246612,0.269344,-0.159421,0.959428
9467266500,2.512917,0.413398,-3.306778,0.269369,-0.157961,0.958710
9467269003,2.513167,0.534664,-3.428726,0.270192,-0.151403,0.956583
9467271506,2.452678,0.656179,-3.550778,0.269620,-0.143361,0.950803
9467274008,2.452571,0.594952,-3.611049,0.268247,-0.137508,0.949375
9467276511,2.513204,0.533477,-3.671215,0.264603,-0.134558,0.953005
9467279014,2.513088,0.472547,-3.670863,0.264635,-0.131642,0.953029
9467281516,2.452357,0.472499,-3.731590,0.264757,-0.124343,0.949440
9467284019,2.452232,0.411866,-3.670615,0.264853,-0.117049,0.948039
9467286521,2.330395,0.229870,-3.609146,0.266340,-0.117059,0.945137
9467289024,2.208791,0.169734,-3.548379,0.262763,-0.113368,0.943668
9467291527,2.087418,0.231458,-3.488317,0.259968,-0.103127,0.943717
9467294030,2.087650,0.353317,-3.489021,0.262187,-0.098053,0.945241
9467296532,2.027018,0.414793,-3.428854,0.265044,-0.099552,0.948179
9467299035,1.966134,0.355002,-3.246740,0.270163,-0.097422,0.947523
9467301538,1.723023,0.296253,-3.004315,0.273838,-0.095274,0.946122
9467304040,1.479939,0.236614,-2.943756,0.273126,-0.092353,0.947596
9467306543,1.297720,0.237359,-2.944068,0.269500,-0.090854,0.948297
9467309046,1.176357,0.298786,-2.944628,0.269499,-0.089400,0.949767
9467311549,1.054859,0.299877,-2.823591,0.271007,-0.083586,0.950560
9467314051,0.872496,0.240583,-2.641685,0.273946,-0.081431,0.949880
9467316554,0.629394,0.181537,-2.459882,0.275335,-0.085098,0.952055
9467319056,0.447031,0.122243,-2.277976,0.275301,-0.085105,0.954973
9467321559,0.204027,0.124721,-1.975280,0.276036,-0.084385,0.954987
9467324062,0.021887,0.187584,-1.733455,0.278251,-0.085858,0.950622
9467326564,-0.160369,0.189516,-1.491278,0.275270,-0.089476,0.953479
9467329067,-0.342741,0.130519,-1.248749,0.274462,-0.093122,0.957089
9467331570,-0.524987,0.132155,-1.067194,0.274398,-0.098227,0.957778
9467334072,-0.646369,0.194175,-0.946510,0.272952,-0.097481,0.957767
9467336575,-0.828597,0.195217,-0.886199,0.275164,-0.094590,0.957815
9467339078,-1.071699,0.136172,-0.704397,0.270846,-0.094531,0.954119
9467341580,-1.193313,0.076333,-0.583008,0.268659,-0.096689,0.952619
9467344083,-1.314945,0.017087,-0.340375,0.267909,-0.099595,0.951858
9467346586,-1.436336,0.079404,-0.159068,0.267060,-0.106886,0.955439
9467349089,-1.618466,0.141970,0.022135,0.267022,-0.111985,0.953939
9467351591,-1.800829,0.082676,0.204041,0.270673,-0.112751,0.951785
