Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9467020294,-1.004901,0.543089,-0.257007
9467071260,-1.004840,0.551951,-0.257209
9467122233,-1.004815,0.551711,-0.266886
9467173207,-1.004947,0.542521,-0.286422
9467224187,-1.013640,0.560585,-0.276944
9467275172,-1.004789,0.560410,-0.276955
9467326154,-1.004927,0.542704,-0.276602
9467377127,-1.004967,0.542338,-0.296243
9467428104,-1.004865,0.551567,-0.276803
9467479084,-1.013737,0.551559,-0.286612
9467530042,-1.013677,0.552108,-0.257151
9467580999,-1.004887,0.543070,-0.256961
9467631965,-1.013640,0.560585,-0.276944
9467682904,-1.004870,0.551365,-0.286573
9467733869,-1.013650,0.560807,-0.267221
9467784837,-1.004900,0.551403,-0.286674
9467835802,-0.995962,0.560475,-0.267292
9467886763,-1.022492,0.560760,-0.276932
9467937724,-1.004763,0.560795,-0.257364
9467988673,-1.013692,0.552127,-0.257197
9468039631,-1.004819,0.560448,-0.277054
9468090592,-1.004824,0.560246,-0.286825
9468141546,-1.004845,0.551749,-0.266983
9468192512,-1.004855,0.551971,-0.257256
9468243453,-0.996014,0.551391,-0.276815
9468294400,-1.004834,0.560468,-0.277104
9468345353,-1.013814,0.542715,-0.286461
9468396313,-1.022584,0.551936,-0.276829
9468447268,-1.004880,0.551586,-0.276853
9468498221,-0.995876,0.569097,-0.277169
9468549179,-1.004840,0.551951,-0.257209
9468600141,-1.013697,0.551925,-0.266971
9468651107,-1.004900,0.551403,-0.286674
9468702078,-1.022568,0.551917,-0.276780
9468753038,-1.013732,0.551761,-0.276841
9468804002,-1.022528,0.561223,-0.257528
9468854959,-1.004825,0.551932,-0.257162
9468905907,-1.013650,0.560807,-0.267221
9468956862,-1.013645,0.561009,-0.257446
9469007818,-1.013712,0.551944,-0.267019
9469058774,-0.995967,0.560273,-0.277066
9469109733,-1.013660,0.561028,-0.257493
9469160687,-1.004845,0.551749,-0.266983
9469211638,-1.004860,0.551769,-0.267031
9469262596,-0.996075,0.542529,-0.276613
9469313551,-1.013922,0.524971,-0.286007
9469364507,-1.005064,0.533312,-0.305915
9469415461,-1.005125,0.524449,-0.305713
9469466422,-1.005237,0.515440,-0.315443
9469517378,-1.014202,0.497671,-0.324740
9469568335,-0.987571,0.505989,-0.324921
9469619300,-1.005479,0.479569,-0.334113
9469670265,-0.996464,0.497485,-0.314887
9469721222,-1.005392,0.488815,-0.314729
9469772176,-0.996437,0.506183,-0.324965
9469823130,-1.005310,0.497861,-0.305108
9469874085,-0.996306,0.515375,-0.305416
9469925039,-1.005172,0.515568,-0.305458
9469975992,-1.005105,0.524632,-0.295891
9470026943,-1.005069,0.533110,-0.315682
9470077897,-1.013896,0.533670,-0.296081
9470128852,-0.996110,0.542365,-0.286485
9470179801,-1.004997,0.542376,-0.296347
9470230755,-1.005024,0.533677,-0.286271
9470281712,-1.013896,0.533670,-0.296081
9470332670,-0.996202,0.533540,-0.286385
9470383629,-1.013819,0.542514,-0.296231
9470434577,-1.005029,0.533476,-0.296041
9470485534,-0.996239,0.524438,-0.295851
9470536496,-1.005105,0.524632,-0.295891
9470587454,-1.005095,0.524412,-0.305606
9470638411,-1.005141,0.524468,-0.305767
9470689369,-1.005192,0.515385,-0.315279
9470740340,-0.996469,0.497284,-0.324652
9470791295,-0.996442,0.505982,-0.334730
9470842254,-0.996627,0.479394,-0.334125
9470893212,-1.005514,0.479404,-0.343992
9470944171,-1.005663,0.461296,-0.363171
9470995133,-0.996688,0.478846,-0.363586
9471046087,-1.005652,0.461696,-0.343648
9471097046,-0.996632,0.479194,-0.343887
9471148002,-1.014289,0.488425,-0.344124
9471198963,-0.996489,0.497101,-0.334471
9471249919,-1.005274,0.506340,-0.324898
9471300880,-1.005233,0.515020,-0.334920
9471351825,-0.996335,0.515411,-0.305523
9471402786,-1.005146,0.524266,-0.315535
9471453743,-0.996115,0.542163,-0.296254
9471504700,-0.996069,0.551045,-0.296508
9471555668,-0.996164,0.542642,-0.276910
9471606623,-0.987218,0.542555,-0.266852
9471657578,-1.004880,0.551586,-0.276853
9471708528,-0.996110,0.542365,-0.286485
9471759477,-1.013767,0.551597,-0.286714
9471810429,-1.004921,0.551220,-0.296496
9471861384,-0.996081,0.542327,-0.286383
9471912335,-1.004967,0.542338,-0.296243
9471963288,-1.004962,0.542540,-0.286473
9472014244,-0.996177,0.533301,-0.296053
9472065202,-0.996365,0.515448,-0.305630
9472116152,-0.996279,0.524073,-0.315492
9472167103,-0.996442,0.505982,-0.334730
9472218056,-0.996544,0.496754,-0.354169
9472269013,-0.996831,0.460938,-0.373004
9472319974,-0.996826,0.461138,-0.363245
9472370930,-1.005791,0.443371,-0.372526
9472421883,-0.988246,0.425130,-0.382029
9472472838,-0.997118,0.425122,-0.391838
9472523794,-0.997077,0.425488,-0.372197
9472574752,-0.997060,0.434400,-0.372587
9472625709,-1.005929,0.425663,-0.372186
9472676665,-1.005918,0.434376,-0.382336
9472727621,-0.996806,0.461321,-0.353423
9472778578,-0.996662,0.479229,-0.344004
9472829536,-0.987805,0.479254,-0.334251
9472880492,-0.996477,0.505817,-0.344609
9472931438,-0.987627,0.497328,-0.314954
9472982386,-0.987387,0.524263,-0.295863
9473033336,-0.987457,0.523934,-0.315613
9473084281,-0.996232,0.532954,-0.315748
9473135233,-0.978532,0.533025,-0.296284
9473186184,-0.996279,0.524073,-0.315492
9473237143,-0.987449,0.515400,-0.295661
9473288093,-0.987524,0.514870,-0.325179
9473339054,-0.996621,0.487909,-0.354028
9473390004,-0.987892,0.470008,-0.353636
9473440961,-0.979431,0.433518,-0.402150
9473491911,-0.971033,0.370507,-0.439766
9473542865,-0.953911,0.298736,-0.467790
9473593825,-0.954450,0.227272,-0.495566
9473644773,-0.937456,0.137573,-0.532946
9473695730,-0.938317,0.021807,-0.559794
9473746674,-0.930314,-0.102454,-0.556894
9473797623,-0.904531,-0.217825,-0.534751
9473848600,-0.905251,-0.332311,-0.492837
9473899533,-0.870482,-0.446767,-0.411677
9473950488,-0.853630,-0.578972,-0.349987
9474001446,-0.836148,-0.648205,-0.240093
9474052398,-0.818837,-0.735173,-0.130045
9474103353,-0.792459,-0.795539,-0.010774
9474154310,-0.774781,-0.837643,0.127716
9474205272,-0.757041,-0.870885,0.266005
9474256231,-0.738963,-0.859453,0.422971
9474307188,-0.703161,-0.840046,0.550163
9474358138,-0.675998,-0.793690,0.686472
9474409089,-0.657623,-0.738125,0.832527
9474460043,-0.639065,-0.639163,0.928808
9474510996,-0.629367,-0.540385,1.005043
9474561943,-0.619783,-0.450451,1.082378
9474612886,-0.618818,-0.342472,1.167566
9474663844,-0.600164,-0.218022,1.203859
9474714805,-0.590459,-0.102425,1.230840
9474765752,-0.589617,0.021470,1.218196
9474816702,-0.597648,0.137043,1.225408
9474867664,-0.605822,0.243023,1.193535
9474918616,-0.605245,0.339598,1.142208
9474969580,-0.613479,0.445029,1.080870
9475020538,-0.639507,0.541786,1.010058
9475071520,-0.656993,0.602143,0.900506
9475122499,-0.656703,0.671216,0.800675
9475173474,-0.674138,0.740225,0.681062
9475224451,-0.674061,0.782551,0.572109
9475275432,-0.682929,0.815800,0.443648
9475326420,-0.691957,0.823112,0.345394
9475377403,-0.683510,0.802649,0.208224
9475428379,-0.692803,0.765288,0.100952
9475479364,-0.684552,0.709948,-0.005902
9475530346,-0.676374,0.637224,-0.092709
9475581321,-0.685839,0.565399,-0.150024
9475632302,-0.686728,0.457782,-0.216408
9475683280,-0.705211,0.351624,-0.223875
9475734250,-0.705868,0.262414,-0.251247
9475785234,-0.715499,0.155867,-0.268464
9475836221,-0.716269,0.049135,-0.285642
9475887209,-0.716855,-0.039319,-0.273752
9475938186,-0.744006,-0.127237,-0.261879
9475989177,-0.735811,-0.224719,-0.249851
9476040164,-0.745279,-0.321297,-0.208419
9476091151,-0.719332,-0.427268,-0.156805
9476142136,-0.728781,-0.531982,-0.075860
9476193120,-0.729357,-0.636696,0.014941
9476244107,-0.729609,-0.705758,0.114812
9476295091,-0.729798,-0.773742,0.273596
9476346077,-0.721227,-0.842815,0.383288
9476397066,-0.738753,-0.865933,0.550815
9476448053,-0.747455,-0.880929,0.688812
9476499034,-0.738291,-0.878356,0.836051
9476550013,-0.737792,-0.840533,0.963043
9476601001,-0.746022,-0.784806,1.089677
9476651987,-0.754160,-0.711715,1.196145
9476702976,-0.753414,-0.630118,1.292735
9476753962,-0.761469,-0.539665,1.379162
9476804944,-0.751737,-0.432393,1.435327
9476855926,-0.768478,-0.307048,1.481644
9476906920,-0.758816,-0.200128,1.518696
9476957905,-0.757945,-0.076262,1.505480
9477008881,-0.757299,0.012742,1.523297
9477059868,-0.765648,0.084016,1.531711
9477110840,-0.747430,0.163065,1.510227
9477161814,-0.738229,0.215885,1.499182
9477212784,-0.702309,0.286270,1.507346
9477263747,-0.710873,0.330576,1.496526
9477314720,-0.675177,0.374007,1.485649
9477365685,-0.683607,0.436243,1.484437
9477416658,-0.656824,0.470987,1.473771
9477467625,-0.638819,0.523288,1.443247
9477518594,-0.629753,0.558177,1.422597
9477569563,-0.620621,0.602158,1.411932
9477620532,-0.611384,0.663427,1.380682
9477671490,-0.593413,0.707284,1.370348
9477722445,-0.584306,0.750851,1.339677
9477773406,-0.584176,0.777128,1.319754
9477824370,-0.583984,0.803427,1.308659
9477875338,-0.574905,0.846835,1.268347
9477926292,-0.583551,0.882096,1.247905
9477977248,-0.583535,0.898936,1.198537
9478028211,-0.592222,0.933832,1.158445
9478079166,-0.609857,0.943016,1.158121
9478130130,-0.592016,0.968918,1.137989
9478181102,-0.618400,1.004134,1.097782
9478232073,-0.618544,0.994813,1.068915
9478283042,-0.636081,1.021296,1.048286
9478334009,-0.635950,1.038990,1.047752
9478384981,-0.636019,1.038473,1.018414
9478435951,-0.635957,1.047336,1.018212
9478486913,-0.635976,1.055467,0.978718
9478537883,-0.635833,1.073376,0.988138
9478588856,-0.644679,1.082112,0.968542
9478639820,-0.653584,1.081707,0.938960
9478690782,-0.653547,1.090140,0.918882
9478741748,-0.644710,1.098343,0.889422
9478792704,-0.653484,1.107317,0.889013
9478843664,-0.662323,1.116022,0.869287
9478894625,-0.653553,1.106801,0.859654
9478945585,-0.644648,1.107206,0.889221
9478996553,-0.653547,1.090140,0.918882
9479047508,-0.644697,1.073337,0.978205
9479098465,-0.644728,1.048243,1.057516
9479149434,-0.645041,0.995888,1.098431
9479200406,-0.654154,0.943768,1.148644
9479251374,-0.645645,0.873939,1.218873
9479302336,-0.645898,0.813306,1.298552
9479353300,-0.655344,0.708643,1.379907
9479404269,-0.647134,0.602795,1.421252
9479455239,-0.638929,0.488889,1.502627
9479506208,-0.631050,0.338795,1.545532
9479557189,-0.632123,0.179412,1.558591
9479608161,-0.641935,0.038176,1.581872
9479659136,-0.660840,-0.121933,1.536209
9479710112,-0.671127,-0.309158,1.471692
9479761086,-0.690216,-0.470520,1.358141
9479812064,-0.700476,-0.641313,1.223635
9479863041,-0.728215,-0.759477,1.039677
9479914016,-0.737964,-0.842174,0.874532
9479964981,-0.738551,-0.872247,0.688676
9480015940,-0.747562,-0.848764,0.511136
9480066906,-0.765486,-0.833624,0.353671
9480117876,-0.765317,-0.773960,0.224541
9480168851,-0.765219,-0.715024,0.056121
9480219817,-0.773668,-0.636543,-0.024248
9480270796,-0.764217,-0.523513,-0.134855
9480321775,-0.790092,-0.400374,-0.216283
9480372747,-0.789125,-0.242125,-0.288665
9480423728,-0.787773,-0.046947,-0.283383
9480474700,-0.759688,0.165595,-0.268559
9480525670,-0.757937,0.388979,-0.175331
9480576640,-0.747662,0.567906,-0.081180
9480627608,-0.737317,0.739281,0.081970
9480678573,-0.753963,0.823739,0.315935
9480729546,-0.788937,0.819940,0.551876
9480780512,-0.789089,0.735518,0.779794
9480831475,-0.780962,0.579288,0.970026
9480882438,-0.737682,0.403554,1.101821
9480933401,-0.685759,0.217511,1.165213
9480984358,-0.642722,0.031043,1.198717
9481035338,-0.635298,-0.164859,1.163701
9481086322,-0.654231,-0.325137,1.108414
9481137268,-0.690920,-0.485617,1.023558
9481188236,-0.709697,-0.603041,0.888592
9481239203,-0.755098,-0.720308,0.734311
9481290172,-0.800317,-0.811169,0.569391
9481341135,-0.845284,-0.858436,0.364105
9481392108,-0.880922,-0.834809,0.167143
9481443076,-0.925203,-0.792722,-0.000762
9481494042,-0.933734,-0.698171,-0.169955
9481545011,-0.950742,-0.558397,-0.300952
9481595997,-0.958531,-0.382609,-0.393326
9481646971,-0.939519,-0.188529,-0.427183
9481697954,-0.920346,0.015320,-0.412130
9481748934,-0.909846,0.238223,-0.338853
9481799909,-0.908197,0.435340,-0.225208
9481850890,-0.906834,0.589152,-0.061727
9481901868,-0.914631,0.698402,0.083213
9481952834,-0.931452,0.773335,0.278085
9482003798,-0.957665,0.776969,0.445114
9482054766,-0.984302,0.727085,0.593774
9482105726,-1.028915,0.650023,0.693892
9482156689,-1.055936,0.546344,0.814045
9482207650,-1.083126,0.441633,0.875536
9482258615,-1.102047,0.257208,0.949016
9482309573,-1.120708,0.107204,0.971770
9482360522,-1.139723,-0.078559,0.976146
9482411480,-1.149954,-0.265621,0.921217
9482462439,-1.169007,-0.435125,0.846585
9482513392,-1.152491,-0.570982,0.711963
9482564349,-1.153491,-0.671399,0.557010
9482615306,-1.136436,-0.718993,0.400863
9482666260,-1.101560,-0.740545,0.234268
9482717211,-1.066055,-0.699296,0.105429
9482768175,-1.056957,-0.630941,-0.023913
9482819148,-1.038965,-0.554083,-0.163256
9482870116,-1.020510,-0.422769,-0.235159
9482921083,-1.001823,-0.264866,-0.307536
9482972046,-1.000857,-0.114925,-0.350262
9483023008,-0.990447,0.098344,-0.315814
9483073971,-0.997798,0.294983,-0.241688
9483124934,-1.005229,0.465536,-0.137362
9483175896,-1.003832,0.627832,0.006345
9483226860,-0.993736,0.746900,0.219851
9483277835,-0.984174,0.786383,0.444996
9483328804,-0.974809,0.790546,0.680611
9483379777,-0.992630,0.723701,0.878898
9483430750,-0.975390,0.602720,1.068230
9483481728,-0.940871,0.427870,1.239210
9483532702,-0.924628,0.190050,1.342862
9483583673,-0.891121,-0.085206,1.359058
9483634641,-0.875401,-0.352922,1.286169
9483685613,-0.842306,-0.640338,1.125603
9483736582,-0.835338,-0.848387,0.914364
9483787537,-0.810013,-0.959834,0.671062
9483838504,-0.792988,-0.982856,0.406256
9483889459,-0.792960,-0.916158,0.178680
9483940423,-0.748231,-0.796432,-0.010884
9483991384,-0.720766,-0.622797,-0.181910
9484042360,-0.675365,-0.430703,-0.294404
9484093332,-0.665223,-0.219622,-0.378025
9484144304,-0.645970,0.009913,-0.412699
9484195267,-0.644618,0.188272,-0.357785
9484246233,-0.660727,0.393903,-0.283701
9484297207,-0.677157,0.547373,-0.159556
9484348176,-0.693485,0.701078,-0.015512
9484399139,-0.683409,0.819960,0.188141
9484450100,-0.673641,0.894528,0.392803
9484501066,-0.673003,0.933426,0.578569
9484552029,-0.637200,0.936410,0.775053
9484602997,-0.610640,0.886476,0.973171
9484653962,-0.557913,0.790198,1.102539
9484704927,-0.514273,0.667436,1.223182
9484755899,-0.479751,0.517529,1.305148
9484806870,-0.454293,0.349378,1.348575
9484857846,-0.446729,0.163060,1.352628
9484908805,-0.465725,-0.014399,1.327211
9484959760,-0.485089,-0.228407,1.243653
9485010720,-0.521761,-0.388709,1.168590
9485061678,-0.567623,-0.576695,1.025658
9485112637,-0.639788,-0.720394,0.852137
9485163600,-0.667570,-0.847243,0.678154
9485214569,-0.721580,-0.920923,0.473427
9485265523,-0.766438,-0.950132,0.287543
9485316491,-0.784393,-0.943837,0.130151
9485367458,-0.811047,-0.919282,-0.007962
9485418446,-0.810756,-0.841892,-0.137495
9485469394,-0.845975,-0.781345,-0.256754
9485520358,-0.880908,-0.684979,-0.357170
9485571328,-0.898178,-0.589330,-0.477258
9485622290,-0.888700,-0.484064,-0.528898
9485673254,-0.896593,-0.325816,-0.611025
9485724221,-0.904136,-0.122511,-0.655153
9485775179,-0.885002,0.080986,-0.659712
9485826150,-0.892128,0.304178,-0.585951
9485877115,-0.872831,0.509537,-0.492537
9485928094,-0.880137,0.689699,-0.349112
9485979081,-0.869998,0.825761,-0.175308
9486030051,-0.851344,0.908627,0.009530
9486081027,-0.859599,0.947572,0.185565
9486132008,-0.832618,0.959202,0.362170
9486182995,-0.859159,0.918338,0.520404
9486233975,-0.841715,0.840754,0.659661
9486284953,-0.850903,0.755094,0.809231
9486335934,-0.833869,0.615653,0.959703
9486386918,-0.808558,0.404407,1.072444
9486437894,-0.792355,0.174749,1.136883
9486488870,-0.785338,-0.083018,1.113105
9486539845,-0.796198,-0.341883,1.010894
9486590833,-0.833549,-0.566416,0.819492
9486641824,-0.861588,-0.720405,0.616708
9486692812,-0.915657,-0.786152,0.362718
9486743799,-0.933854,-0.798683,0.146771
9486794783,-0.969275,-0.739964,-0.070732
9486845767,-0.995436,-0.636191,-0.240133
9486896750,-0.994499,-0.470170,-0.371552
9486947735,-1.029052,-0.320261,-0.453659
9486998728,-1.045810,-0.170154,-0.506185
9487049710,-1.080131,-0.010101,-0.519593
9487100703,-1.096478,0.177117,-0.484584
9487151691,-1.130249,0.383683,-0.381091
9487202687,-1.146341,0.564571,-0.208196
9487253680,-1.162409,0.737732,0.023776
9487304668,-1.196704,0.814592,0.307098
9487355661,-1.231668,0.811210,0.562813
9487406649,-1.267229,0.719173,0.820513
9487457633,-1.286108,0.509757,0.982688
9487508619,-1.287877,0.219649,1.117077
9487559603,-1.316548,-0.090057,1.123893
9487610588,-1.354253,-0.392148,1.052465
9487661565,-1.409580,-0.668418,0.921333
9487712533,-1.428853,-0.840487,0.708830
9487763503,-1.456551,-0.941661,0.485120
9487814477,-1.483732,-0.971922,0.259778
9487865446,-1.466259,-0.932013,0.042596
9487916414,-1.421554,-0.821310,-0.156579
9487967385,-1.367343,-0.630288,-0.318123
9488018360,-1.295190,-0.394587,-0.441819
9488069329,-1.249325,-0.148386,-0.506486
9488120303,-1.212053,0.108103,-0.502309
9488171266,-1.156928,0.374797,-0.410332
9488222226,-1.128498,0.616017,-0.288228
9488273198,-1.091264,0.805565,-0.066342
9488324171,-1.072008,0.960458,0.175819
9488375143,-1.062088,1.027752,0.469025
