Timestamp (us),Percentage (%),Power (dBm)
9467834706,94.000000,-53.000000
9468848287,94.000000,-53.000000
9469846915,92.000000,-54.000000
9470837909,98.000000,-51.000000
9471853993,96.000000,-52.000000
9472835040,94.000000,-53.000000
9473841113,70.000000,-65.000000
9474829669,82.000000,-59.000000
9475835774,78.000000,-61.000000
9476849324,76.000000,-62.000000
9477836821,76.000000,-62.000000
9478848959,80.000000,-60.000000
9479852529,88.000000,-56.000000
9480840474,80.000000,-60.000000
9481852195,96.000000,-52.000000
9482840719,80.000000,-60.000000
9483849296,70.000000,-65.000000
9484852868,94.000000,-53.000000
9485846788,92.000000,-54.000000
9486832479,88.000000,-56.000000
9487851099,84.000000,-58.000000
9488834647,82.000000,-59.000000
9489848233,88.000000,-56.000000
9490844368,80.000000,-60.000000
9491840326,90.000000,-55.000000
9492833887,74.000000,-63.000000
9493839993,82.000000,-59.000000
9494839190,76.000000,-62.000000
9495840510,82.000000,-59.000000
9496840666,78.000000,-61.000000
9497834227,76.000000,-62.000000
9498835296,80.000000,-60.000000
9499836365,80.000000,-60.000000
9500847479,90.000000,-55.000000
9501848548,88.000000,-56.000000
9502839572,80.000000,-60.000000
9503838138,88.000000,-56.000000
9504846748,76.000000,-62.000000
9505835302,82.000000,-59.000000
9506848853,78.000000,-61.000000
9507847452,80.000000,-60.000000
9508840980,86.000000,-57.000000
9509839365,90.000000,-55.000000
9510840633,84.000000,-58.000000
9511834174,98.000000,-51.000000
9512847766,86.000000,-57.000000
9513846356,88.000000,-56.000000
9514842385,80.000000,-60.000000
9515835945,90.000000,-55.000000
9516834512,86.000000,-57.000000
9517848126,90.000000,-55.000000
9518849160,80.000000,-60.000000
9519840217,92.000000,-54.000000
9520848793,94.000000,-53.000000
9521842353,92.000000,-54.000000
9522840917,94.000000,-53.000000
9523839513,88.000000,-56.000000
9524840581,82.000000,-59.000000
9525844225,76.000000,-62.000000
9526841413,90.000000,-55.000000
9527836591,80.000000,-60.000000
9528847702,76.000000,-62.000000
9529846266,72.000000,-64.000000
9530847310,80.000000,-60.000000
9531843364,74.000000,-63.000000
9532839421,74.000000,-63.000000
9533845598,80.000000,-60.000000
9534851120,78.000000,-61.000000
9535845241,88.000000,-56.000000
9536838679,76.000000,-62.000000
9537849756,74.000000,-63.000000
9538848351,88.000000,-56.000000
9539851886,80.000000,-60.000000
9540838185,92.000000,-54.000000
9541844003,72.000000,-64.000000
9542845174,78.000000,-61.000000
9543846238,74.000000,-63.000000
9544842820,92.000000,-54.000000
9545848271,88.000000,-56.000000
9546846856,86.000000,-57.000000
9547848465,82.000000,-59.000000
9548851452,84.000000,-58.000000
9549848584,92.000000,-54.000000
9550846176,86.000000,-57.000000
9551842129,84.000000,-58.000000
9552848232,92.000000,-54.000000
9553849262,78.000000,-61.000000
9554847856,82.000000,-59.000000
9555850618,78.000000,-61.000000
9556836812,82.000000,-59.000000
9557857583,74.000000,-63.000000
9558839594,80.000000,-60.000000
9559838122,98.000000,-51.000000
9560841100,86.000000,-57.000000
9561842119,98.000000,-51.000000
9562833831,98.000000,-51.000000
9563844155,70.000000,-65.000000
9564840932,96.000000,-52.000000
9565840829,92.000000,-54.000000
9566848097,86.000000,-57.000000
9567836611,90.000000,-55.000000
9568840175,80.000000,-60.000000
