Timestamp (us),Percentage (%),Voltage (V),Charging Status
9770110719,81.275620,3.812756,0.000000
9771111250,81.254128,3.812541,0.000000
9772111781,81.267548,3.812675,0.000000
9773112327,81.270248,3.812703,0.000000
9774112858,81.247406,3.812474,0.000000
9775113388,81.262184,3.812622,0.000000
9776113921,81.242035,3.812420,0.000000
9777114470,81.232635,3.812326,0.000000
9778115001,81.251434,3.812514,0.000000
9779115532,81.244736,3.812447,0.000000
9780116065,81.239365,3.812394,0.000000
9781116611,81.254120,3.812541,0.000000
9782117144,81.219208,3.812192,0.000000
9783117675,81.216522,3.812165,0.000000
9784118206,81.227264,3.812273,0.000000
9785118744,81.212494,3.812125,0.000000
9786119275,81.192352,3.811924,0.000000
9787119805,81.192360,3.811924,0.000000
9788120366,81.197723,3.811977,0.000000
9789120897,81.199066,3.811991,0.000000
9790121429,81.207123,3.812071,0.000000
9791121960,81.203102,3.812031,0.000000
9792122511,81.195045,3.811950,0.000000
9793123042,81.197723,3.811977,0.000000
9794123572,81.180275,3.811803,0.000000
9795124103,81.176239,3.811762,0.000000
9796124651,81.172211,3.811722,0.000000
9797125185,81.180275,3.811803,0.000000
9798125716,81.173561,3.811736,0.000000
9799126247,81.166847,3.811668,0.000000
9800126802,81.148041,3.811480,0.000000
9801127336,81.158791,3.811588,0.000000
9802127867,81.144028,3.811440,0.000000
9803128398,81.146698,3.811467,0.000000
9804128941,81.152069,3.811521,0.000000
9805129472,81.139992,3.811400,0.000000
9806130003,81.134613,3.811346,0.000000
9807130567,81.127899,3.811279,0.000000
9808131098,81.139984,3.811400,0.000000
9809131629,81.103737,3.811038,0.000000
9810132160,81.106415,3.811064,0.000000
9811132710,81.125214,3.811252,0.000000
9812133241,81.126564,3.811265,0.000000
9813133772,81.103729,3.811037,0.000000
9814134303,81.091652,3.810916,0.000000
9815134859,81.110443,3.811105,0.000000
9816135390,81.095680,3.810957,0.000000
9817135921,81.088966,3.810889,0.000000
9818136452,81.098358,3.810984,0.000000
9819137000,81.078217,3.810782,0.000000
9820137531,81.071503,3.810715,0.000000
9821138064,81.111786,3.811118,0.000000
9822138595,81.074188,3.810742,0.000000
9823139151,81.083588,3.810836,0.000000
9824139684,81.060760,3.810607,0.000000
9825140215,81.063446,3.810635,0.000000
9826140779,81.082245,3.810822,0.000000
9827141309,81.039276,3.810393,0.000000
9828141840,81.015106,3.810151,0.000000
9829142371,81.040627,3.810406,0.000000
9830142925,81.036598,3.810366,0.000000
9831143456,81.047333,3.810473,0.000000
9832143988,81.037933,3.810380,0.000000
9833144519,81.050018,3.810500,0.000000
9834145075,81.037941,3.810380,0.000000
9835145606,81.019135,3.810191,0.000000
9836146139,81.029884,3.810299,0.000000
9837146671,81.031227,3.810312,0.000000
9838147225,81.008392,3.810084,0.000000
9839147757,80.997650,3.809977,0.000000
