Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9769430832,-0.140634,0.919460,-0.823036
9769451462,-0.091634,0.870460,-0.774036
9769472091,-0.140634,0.821460,-0.725036
9769492722,-0.140634,0.821460,-0.823036
9769513352,-0.140634,0.821460,-0.774036
9769533982,-0.140634,0.821460,-0.921036
9769554613,-0.189634,0.870460,-0.676036
9769575242,-0.189634,0.821460,-0.774036
9769595872,-0.140634,0.919460,-0.725036
9769616502,-0.140634,0.772460,-0.774036
9769637128,-0.091634,0.772460,-0.774036
9769657754,-0.140634,0.821460,-0.872036
9769678382,-0.091634,0.870460,-0.627036
9769699013,-0.091634,0.821460,-0.725036
9769719643,-0.091634,0.821460,-0.676036
9769740274,-0.189634,0.919460,-0.725036
9769760905,-0.140634,0.772460,-0.676036
9769781536,-0.091634,0.821460,-0.725036
9769802167,-0.091634,0.821460,-0.725036
9769822797,-0.140634,0.870460,-0.676036
9769843427,-0.189634,0.870460,-0.676036
9769864058,-0.091634,0.821460,-0.676036
9769884689,-0.091634,0.870460,-0.676036
9769905319,-0.140634,0.870460,-0.774036
9769925950,-0.140634,0.821460,-0.774036
9769946580,-0.091634,0.821460,-0.774036
9769967210,-0.091634,0.821460,-0.774036
9769987842,-0.091634,0.870460,-0.725036
9770008473,-0.091634,0.821460,-0.725036
9770029104,-0.140634,0.870460,-0.774036
9770049735,-0.042634,0.821460,-0.676036
9770070363,-0.091634,0.821460,-0.676036
9770090988,-0.140634,0.821460,-0.725036
9770111614,-0.091634,0.772460,-0.774036
9770132240,-0.042634,0.870460,-0.676036
9770152866,-0.140634,0.870460,-0.774036
9770173493,-0.091634,0.772460,-0.676036
9770194120,-0.189634,0.870460,-0.725036
9770214746,-0.140634,0.919460,-0.627036
9770235371,-0.091634,0.919460,-0.872036
9770255996,-0.091634,0.821460,-0.725036
9770276622,-0.140634,0.870460,-0.725036
9770297247,-0.091634,0.821460,-0.627036
9770317872,-0.091634,0.821460,-0.676036
9770338499,-0.140634,0.919460,-0.774036
9770359125,-0.091634,0.772460,-0.823036
9770379752,-0.140634,0.870460,-0.725036
9770400378,-0.189634,0.870460,-0.676036
9770421004,-0.042634,0.821460,-0.774036
9770441629,-0.140634,0.870460,-0.774036
9770462255,-0.091634,0.821460,-0.774036
9770482881,-0.140634,0.821460,-0.725036
9770503511,-0.042634,0.772460,-0.676036
9770524140,-0.042634,0.821460,-0.774036
9770544769,-0.140634,0.919460,-0.725036
9770565400,-0.042634,0.772460,-0.627036
9770586030,-0.091634,0.870460,-0.872036
9770606659,-0.091634,0.919460,-0.872036
9770627290,-0.091634,0.919460,-0.676036
9770647917,-0.140634,0.821460,-0.823036
9770668543,-0.189634,0.870460,-0.774036
9770689170,-0.140634,0.870460,-0.872036
9770709798,-0.140634,0.821460,-0.676036
9770730425,-0.140634,0.674460,-0.725036
9770751056,-0.042634,0.772460,-0.725036
9770771686,-0.091634,0.772460,-0.529036
9770792316,-0.238634,0.870460,-0.872036
9770812946,-0.140634,0.772460,-1.019036
9770833575,-0.042634,0.772460,-0.970036
9770854205,0.006366,0.821460,-0.970036
9770874835,-0.140634,0.870460,-0.823036
9770895465,-0.189634,0.723460,-0.872036
9770916095,-0.140634,0.625460,-0.970036
9770936725,-0.091634,0.576460,-0.921036
9770957356,-0.091634,0.576460,-1.019036
9770977986,-0.042634,0.674460,-0.774036
9770998615,-0.140634,0.674460,-0.872036
9771019245,-0.238634,0.821460,-0.676036
9771039879,-0.189634,0.968460,-0.578036
9771060505,-0.091634,0.919460,-0.480036
9771081134,-0.042634,0.968460,-0.431036
9771101764,-0.140634,1.115460,-0.382036
9771122394,-0.042634,1.066460,-0.382036
9771143025,0.006366,1.115460,-0.382036
9771163656,-0.091634,1.017460,-0.431036
9771184287,0.006366,0.919460,-0.382036
9771204931,0.055366,0.870460,-0.382036
9771225549,0.006366,0.968460,-0.333036
9771246179,-0.042634,0.968460,-0.284036
9771266809,0.006366,0.919460,-0.284036
9771287434,0.006366,0.919460,-0.382036
9771308059,0.006366,0.919460,-0.382036
9771328685,0.006366,0.968460,-0.333036
9771349311,0.006366,0.821460,-0.382036
9771369937,-0.091634,0.821460,-0.431036
9771390564,-0.091634,0.919460,-0.431036
9771411191,-0.091634,0.968460,-0.284036
9771431819,-0.091634,0.919460,-0.284036
9771452446,-0.091634,0.870460,-0.431036
9771473076,-0.042634,0.968460,-0.382036
9771493705,-0.042634,0.919460,-0.431036
9771514335,-0.091634,0.870460,-0.431036
9771534965,-0.042634,0.821460,-0.382036
9771555594,-0.140634,0.870460,-0.284036
9771576222,-0.091634,0.870460,-0.431036
9771596853,-0.091634,1.017460,-0.431036
9771617482,0.006366,0.968460,-0.382036
9771638112,0.006366,0.919460,-0.529036
9771658741,0.006366,0.821460,-0.578036
9771679370,-0.091634,0.870460,-0.676036
9771699999,-0.091634,0.919460,-0.725036
9771720627,-0.140634,0.772460,-0.774036
9771741255,-0.140634,0.821460,-0.921036
9771761884,-0.189634,0.821460,-1.019036
9771782512,-0.189634,0.772460,-1.019036
9771803141,-0.140634,0.772460,-0.970036
9771823769,-0.091634,0.821460,-0.872036
9771844397,-0.140634,0.919460,-0.725036
9771865026,-0.042634,0.870460,-0.872036
9771885655,0.006366,0.772460,-0.774036
9771906282,-0.042634,0.625460,-0.578036
9771926908,-0.091634,0.625460,-0.627036
