Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9769427571,-0.738610,-0.075810,-0.549942,-0.051572,0.910460,-0.409753
9769430071,-0.799729,-0.014856,-0.549934,-0.054456,0.908257,-0.408290
9769432571,-0.860864,0.045905,-0.488852,-0.057355,0.907506,-0.407554
9769435071,-0.921753,0.045714,-0.488866,-0.055195,0.909703,-0.408288
9769437570,-0.921539,-0.015625,-0.427815,-0.054455,0.907528,-0.411200
9769440070,-0.921523,-0.015432,-0.488889,-0.054445,0.906804,-0.409017
9769442570,-0.922197,0.168198,-0.549894,-0.057355,0.907506,-0.407554
9769445069,-0.861539,0.229535,-0.549857,-0.056632,0.907511,-0.409739
9769447569,-0.800896,0.290678,-0.488747,-0.055912,0.908973,-0.406103
9769450069,-0.861571,0.229148,-0.427710,-0.058833,0.910398,-0.407550
9769452569,-0.921769,0.045520,-0.427793,-0.063181,0.908906,-0.408994
9769455068,-0.982181,-0.076768,-0.488926,-0.061014,0.910378,-0.408999
9769457568,-0.981705,-0.198866,-0.550044,-0.056650,0.910420,-0.405373
9769460068,-0.981737,-0.199253,-0.427898,-0.057356,0.907505,-0.408282
9769462568,-1.042888,-0.138685,-0.305742,-0.060255,0.906754,-0.408274
9769465067,-1.104253,-0.016779,-0.244638,-0.058077,0.906772,-0.409008
9769467567,-1.226014,-0.016968,-0.305739,-0.055920,0.908968,-0.411196
9769470066,-1.286427,-0.139256,-0.366872,-0.058114,0.910400,-0.412645
9769472566,-1.286181,-0.200209,-0.427968,-0.058841,0.911123,-0.409005
9769475066,-1.285982,-0.261741,-0.305844,-0.055913,0.908972,-0.406831
9769477566,-1.347578,-0.078689,-0.244717,-0.060268,0.908206,-0.408274
9769480065,-1.347578,-0.078689,-0.244717,-0.064658,0.911799,-0.408262
9769482565,-1.347578,-0.078689,-0.244717,-0.061765,0.914007,-0.404632
9769485064,-1.286459,-0.139643,-0.244725,-0.056648,0.909691,-0.408284
9769487564,-1.286475,-0.139837,-0.183652,-0.057369,0.908957,-0.409009
9769490064,-1.286459,-0.139643,-0.244725,-0.057348,0.906780,-0.407554
9769492564,-1.225324,-0.200404,-0.305807,-0.053743,0.909716,-0.408292
9769495063,-1.103547,-0.200022,-0.305779,-0.055209,0.911155,-0.409015
9769497563,-1.042412,-0.260783,-0.366861,-0.057372,0.909686,-0.406827
9769500063,-0.981293,-0.321737,-0.366870,-0.058117,0.911859,-0.406097
9769502562,-1.041951,-0.383074,-0.366907,-0.058848,0.912579,-0.405367
9769505062,-0.980602,-0.505174,-0.366938,-0.058864,0.914030,-0.407550
9769507562,-0.980618,-0.505367,-0.305864,-0.057412,0.914042,-0.408281
9769510061,-0.858380,-0.627275,-0.305882,-0.061008,0.910381,-0.405362
9769512561,-0.797492,-0.627084,-0.305867,-0.058870,0.914756,-0.407550
9769515061,-0.736587,-0.626700,-0.366927,-0.058163,0.916941,-0.407552
9769517560,-0.736785,-0.565168,-0.489051,-0.055969,0.915509,-0.406102
9769520060,-0.675896,-0.564976,-0.489037,-0.053031,0.911174,-0.409749
9769522560,-0.675896,-0.564976,-0.489037,-0.053742,0.908987,-0.411930
9769525060,-0.675912,-0.565170,-0.427963,-0.053741,0.909717,-0.407564
9769527559,-0.736833,-0.565748,-0.305831,-0.057378,0.909682,-0.410464
9769530059,-0.737079,-0.504796,-0.244735,-0.058829,0.909671,-0.409005
9769532559,-0.797968,-0.504987,-0.244749,-0.059592,0.914023,-0.408275
9769535059,-0.737095,-0.504989,-0.183661,-0.062504,0.914723,-0.408268
9769537558,-0.737325,-0.443843,-0.183638,-0.063219,0.913264,-0.408993
9769540058,-0.798460,-0.383083,-0.122556,-0.063928,0.911077,-0.410447
9769542557,-0.859777,-0.260596,-0.244672,-0.063185,0.909634,-0.407539
9769545057,-0.921126,-0.138496,-0.244641,-0.063875,0.905998,-0.404627
9769547557,-0.982721,0.044556,-0.183513,-0.062426,0.906739,-0.403175
9769550057,-0.983198,0.166653,-0.122394,-0.063141,0.905279,-0.403901
9769552556,-0.983428,0.227799,-0.122371,-0.063162,0.907457,-0.405356
9769555056,-0.922539,0.227990,-0.122357,-0.063184,0.910364,-0.403173
9769557556,-0.983658,0.288944,-0.122349,-0.062440,0.908191,-0.403903
9769560055,-1.044547,0.288753,-0.122363,-0.061716,0.908925,-0.401722
9769562555,-1.044531,0.288946,-0.183436,-0.063912,0.911086,-0.400261
9769565055,-0.983872,0.350283,-0.183399,-0.063172,0.909641,-0.399535
9769567554,-0.923198,0.411813,-0.244436,-0.060983,0.907476,-0.405362
9769570054,-0.862079,0.350859,-0.244445,-0.059542,0.908212,-0.409004
9769572554,-0.861619,0.228568,-0.244490,-0.053747,0.911174,-0.403198
9769575058,-0.861388,0.167422,-0.244513,-0.056673,0.913326,-0.403918
9769577553,-0.861142,0.106470,-0.305609,-0.060985,0.908205,-0.402451
9769580057,-0.922015,0.106472,-0.366696,-0.061002,0.910385,-0.400996
9769582562,-1.043578,0.044751,-0.305674,-0.058816,0.909678,-0.401002
9769585052,-1.104237,-0.016585,-0.305711,-0.057357,0.909694,-0.397368
9769587552,-0.982031,-0.138881,-0.183581,-0.058144,0.916222,-0.399548
9769590052,-0.798674,-0.321744,-0.183607,-0.056672,0.914056,-0.399552
9769592551,-0.676206,-0.504798,-0.183647,-0.051596,0.914826,-0.401021
9769595051,-0.614825,-0.626511,-0.305825,-0.053733,0.909722,-0.402471
9769597551,-0.675944,-0.565557,-0.305816,-0.055898,0.908251,-0.401010
9769600050,-0.676404,-0.443266,-0.305771,-0.056655,0.911147,-0.404646
9769602550,-0.615992,-0.320977,-0.244638,-0.059571,0.913305,-0.398817
9769605050,-0.615992,-0.320977,-0.244638,-0.060308,0.914022,-0.401725
9769607549,-0.615516,-0.443074,-0.305757,-0.058804,0.907495,-0.405368
9769610049,-0.615500,-0.442881,-0.366830,-0.058081,0.907500,-0.407552
9769612549,-0.676865,-0.320975,-0.305726,-0.059577,0.912571,-0.406820
9769615049,-0.799349,-0.138114,-0.244612,-0.061051,0.914736,-0.408271
9769617549,-0.921817,0.044940,-0.244572,-0.061775,0.914731,-0.406814
9769620048,-1.044039,0.167042,-0.305629,-0.061022,0.911103,-0.409727
9769622548,-1.044943,0.411818,-0.366611,-0.057359,0.907503,-0.410465
9769625047,-1.106522,0.595063,-0.366557,-0.058860,0.913302,-0.409005
9769627547,-1.107213,0.778499,-0.366489,-0.059603,0.914746,-0.411186
9769630047,-1.046554,0.839836,-0.366452,-0.057387,0.911137,-0.408282
