Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9769428025,0.208148,-0.709723,0.573173
9769477435,0.217218,-0.700837,0.583996
9769526848,0.208239,-0.691328,0.573345
9769576254,0.199187,-0.691188,0.573236
9769625661,0.208215,-0.691503,0.583998
9769675064,0.208182,-0.700515,0.573179
9769724471,0.217160,-0.710024,0.583829
9769773885,0.199078,-0.709766,0.583771
9769823292,0.217160,-0.710024,0.583829
9769872702,0.217110,-0.719219,0.583716
9769922113,0.199145,-0.691546,0.594595
9769971533,0.199163,-0.691364,0.583887
9770020945,0.208165,-0.700697,0.583885
9770070358,0.199071,-0.700916,0.605135
9770119766,0.199096,-0.700741,0.594482
9770169190,0.199170,-0.691371,0.583942
9770218612,0.199145,-0.691546,0.594595
9770268036,0.190044,-0.700601,0.594370
9770317457,0.208165,-0.691855,0.605304
9770366879,0.190076,-0.700432,0.583773
9770416300,0.199145,-0.691546,0.594595
9770465720,0.208115,-0.701049,0.605191
9770515134,0.199145,-0.691546,0.594595
9770564554,0.208215,-0.682661,0.605417
9770613972,0.208240,-0.682485,0.594764
9770663391,0.217235,-0.691812,0.594707
9770712810,0.217185,-0.701006,0.594594
9770762226,0.199128,-0.691729,0.605306
9770811649,0.217160,-0.701182,0.605247
9770861072,0.199245,-0.682001,0.573402
9770910486,0.199128,-0.700572,0.583884
9770959903,0.208148,-0.709723,0.573173
9771009316,0.198996,-0.736814,0.551419
9771058724,0.189841,-0.772948,0.519043
9771108138,0.180724,-0.790827,0.497322
9771157550,0.171594,-0.826786,0.454280
9771206970,0.162400,-0.863080,0.432464
9771256396,0.162350,-0.881117,0.410929
9771305809,0.153205,-0.899373,0.410647
9771355217,0.153329,-0.889651,0.378796
9771404628,0.171536,-0.862499,0.389875
9771454035,0.171394,-0.898935,0.368141
9771503453,0.207598,-0.890447,0.379132
9771552867,0.189483,-0.890358,0.389675
9771602279,0.207673,-0.854548,0.432857
9771651702,0.207805,-0.827150,0.443884
9771701113,0.225913,-0.800702,0.497574
9771750523,0.207874,-0.773557,0.540419
9771799943,0.208048,-0.728112,0.572947
9771849360,0.208081,-0.719101,0.583769
9771898782,0.199095,-0.709583,0.573063
9771948203,0.217267,-0.691643,0.584109
9771997619,0.226304,-0.682926,0.605529
9772047031,0.208223,-0.691510,0.584053
9772096438,0.208148,-0.709723,0.573173
9772145850,0.189959,-0.727847,0.572835
9772195267,0.198904,-0.755211,0.551243
9772244682,0.189801,-0.773107,0.529605
9772294103,0.180739,-0.790844,0.497406
9772343523,0.162568,-0.808783,0.486373
9772392935,0.144535,-0.808175,0.464993
9772442360,0.135334,-0.835616,0.464561
9772491781,0.144329,-0.844943,0.464504
9772541200,0.135315,-0.853487,0.432409
9772590626,0.144342,-0.853806,0.443154
9772640039,0.153448,-0.844548,0.432601
9772689461,0.153323,-0.871955,0.421609
9772738872,0.153362,-0.854114,0.453866
9772788282,0.171413,-0.863378,0.443140
9772837691,0.171437,-0.863202,0.432487
9772887099,0.180482,-0.863335,0.432543
9772936506,0.207706,-0.836697,0.465084
9772985913,0.198804,-0.791285,0.508173
9773035331,0.235058,-0.764760,0.540700
9773084740,0.235157,-0.737528,0.562348
9773134149,0.253437,-0.692166,0.584278
9773183555,0.235457,-0.664676,0.605869
9773232964,0.235432,-0.664852,0.616524
9773282381,0.244642,-0.628377,0.627625
9773331788,0.244576,-0.637753,0.638227
9773381201,0.226454,-0.637658,0.648706
9773430619,0.226536,-0.637136,0.616806
9773480031,0.226470,-0.655355,0.605984
9773529445,0.226387,-0.682405,0.573623
9773578848,0.235382,-0.691732,0.573567
9773628253,0.217118,-0.728069,0.562348
9773677668,0.189951,-0.736682,0.551363
9773727075,0.180881,-0.754410,0.519122
9773776489,0.180838,-0.772455,0.497632
9773825908,0.180789,-0.781650,0.497519
9773875322,0.180707,-0.791011,0.508017
9773924740,0.189701,-0.809181,0.486542
9773974151,0.198753,-0.809323,0.486638
9774023569,0.216826,-0.827459,0.454597
9774072986,0.235031,-0.809150,0.444244
9774122398,0.216718,-0.845838,0.454335
9774171819,0.234957,-0.827363,0.433364
9774221240,0.225904,-0.809536,0.476113
9774270656,0.216893,-0.800393,0.486863
9774320066,0.225988,-0.773646,0.529876
9774369474,0.199053,-0.718785,0.573004
9774418888,0.208182,-0.691672,0.594595
9774468300,0.199228,-0.673340,0.605532
9774517711,0.208355,-0.646423,0.637953
9774567129,0.217467,-0.628336,0.648827
9774616547,0.226628,-0.609899,0.638391
9774665955,0.226636,-0.609904,0.638454
9774715374,0.226587,-0.619099,0.638341
9774764780,0.226487,-0.637488,0.638115
9774814192,0.226395,-0.664726,0.616527
9774863610,0.208280,-0.673479,0.605646
9774913031,0.199203,-0.682359,0.594764
9774962443,0.208297,-0.673297,0.594933
9775011851,0.226395,-0.673568,0.595102
9775061266,0.217325,-0.682455,0.584277
9775110687,0.226312,-0.682932,0.605587
9775160113,0.217325,-0.673612,0.605702
9775209530,0.235498,-0.646633,0.627343
9775258940,0.208373,-0.637398,0.648658
9775308351,0.235690,-0.592356,0.681423
9775357759,0.244885,-0.556062,0.703243
9775407165,0.254178,-0.510221,0.703863
9775456571,0.254285,-0.482809,0.714711
9775505980,0.254378,-0.464600,0.725740
9775555390,0.263556,-0.437326,0.736868
9775604790,0.263746,-0.400546,0.737243
9775654190,0.263837,-0.373314,0.758814
9775703597,0.255017,-0.327385,0.769977
9775753005,0.246295,-0.271910,0.759943
9775802406,0.255474,-0.235789,0.792499
9775851821,0.264684,-0.208166,0.782155
9775901239,0.264842,-0.180578,0.782576
9775950655,0.273903,-0.171696,0.793317
9776000065,0.292092,-0.162416,0.772233
9776049480,0.273937,-0.180359,0.761320
9776098901,0.246644,-0.198706,0.782156
9776148320,0.255847,-0.171251,0.782633
9776197739,0.201570,-0.170460,0.782214
9776247148,0.183587,-0.142958,0.803836
9776296568,0.156670,-0.096768,0.814801
9776345982,0.130077,0.004760,0.815786
9776395398,0.139701,0.105950,0.806517
9776444815,0.131060,0.170807,0.786025
9776494226,0.131253,0.207573,0.786394
9776543633,0.131278,0.216592,0.797161
9776593047,0.148994,0.151789,0.807138
9776642474,0.175879,0.105419,0.806741
9776691894,0.202723,0.049864,0.806319
9776741312,0.220456,-0.014771,0.805554
9776790726,0.238305,-0.061002,0.805188
9776840148,0.247092,-0.107113,0.804594
9776889565,0.273828,-0.189909,0.782436
9776938979,0.300688,-0.245298,0.771273
9776988399,0.291320,-0.318193,0.738350
9777037817,0.282175,-0.336450,0.738068
9777087234,0.281876,-0.400459,0.715969
9777136659,0.299841,-0.428132,0.705088
9777186071,0.281652,-0.446255,0.704750
9777235479,0.281628,-0.446431,0.715404
9777284890,0.299766,-0.446345,0.694207
9777334305,0.299791,-0.437326,0.704975
9777383726,0.299856,-0.419112,0.715781
9777433136,0.318130,-0.391619,0.705651
9777482561,0.336394,-0.355283,0.716869
9777531985,0.327335,-0.346483,0.748968
9777581405,0.336603,-0.318504,0.717395
9777630827,0.345737,-0.300249,0.717603
9777680253,0.336678,-0.300290,0.728276
9777729673,0.336703,-0.282429,0.760471
9777779085,0.345738,-0.282563,0.760447
9777828489,0.336653,-0.309309,0.717507
9777877898,0.354483,-0.355548,0.716982
9777927306,0.372385,-0.401434,0.695290
9777976717,0.372124,-0.465092,0.651811
9778026130,0.390139,-0.474727,0.662465
9778075538,0.390188,-0.465533,0.662578
