Timestamp (us),W Element,X Element,Y Element,Z Element
9769427571,-0.168867,-0.211177,-0.812181,-0.517197
9769430071,-0.168887,-0.211181,-0.812171,-0.517205
9769432571,-0.168906,-0.211184,-0.812160,-0.517215
9769435071,-0.168925,-0.211187,-0.812148,-0.517226
9769437570,-0.168943,-0.211193,-0.812136,-0.517237
9769440070,-0.168963,-0.211197,-0.812125,-0.517247
9769442570,-0.168981,-0.211197,-0.812114,-0.517258
9769445069,-0.168997,-0.211197,-0.812104,-0.517268
9769447569,-0.169011,-0.211198,-0.812094,-0.517279
9769450069,-0.169026,-0.211199,-0.812083,-0.517290
9769452569,-0.169046,-0.211202,-0.812072,-0.517300
9769455068,-0.169069,-0.211205,-0.812059,-0.517311
9769457568,-0.169093,-0.211209,-0.812046,-0.517323
9769460068,-0.169116,-0.211215,-0.812032,-0.517334
9769462568,-0.169138,-0.211222,-0.812018,-0.517346
9769465067,-0.169156,-0.211229,-0.812004,-0.517361
9769467567,-0.169175,-0.211234,-0.811988,-0.517377
9769470066,-0.169197,-0.211240,-0.811972,-0.517392
9769472566,-0.169222,-0.211244,-0.811955,-0.517409
9769475066,-0.169245,-0.211252,-0.811937,-0.517426
9769477566,-0.169266,-0.211258,-0.811920,-0.517444
9769480065,-0.169289,-0.211263,-0.811902,-0.517463
9769482565,-0.169310,-0.211268,-0.811883,-0.517483
9769485064,-0.169331,-0.211276,-0.811866,-0.517500
9769487564,-0.169351,-0.211284,-0.811849,-0.517518
9769490064,-0.169372,-0.211291,-0.811831,-0.517535
9769492564,-0.169393,-0.211299,-0.811815,-0.517551
9769495063,-0.169414,-0.211306,-0.811799,-0.517565
9769497563,-0.169437,-0.211314,-0.811785,-0.517577
9769500063,-0.169462,-0.211321,-0.811770,-0.517589
9769502562,-0.169488,-0.211329,-0.811755,-0.517601
9769505062,-0.169515,-0.211339,-0.811740,-0.517612
9769507562,-0.169542,-0.211350,-0.811725,-0.517622
9769510061,-0.169571,-0.211362,-0.811711,-0.517630
9769512561,-0.169599,-0.211374,-0.811697,-0.517637
9769515061,-0.169627,-0.211386,-0.811684,-0.517643
9769517560,-0.169655,-0.211395,-0.811672,-0.517649
9769520060,-0.169682,-0.211406,-0.811661,-0.517653
9769522560,-0.169708,-0.211416,-0.811651,-0.517656
9769525060,-0.169734,-0.211427,-0.811640,-0.517661
9769527559,-0.169757,-0.211435,-0.811629,-0.517666
9769530059,-0.169779,-0.211444,-0.811618,-0.517673
9769532559,-0.169802,-0.211452,-0.811606,-0.517681
9769535059,-0.169825,-0.211461,-0.811595,-0.517688
9769537558,-0.169846,-0.211469,-0.811584,-0.517695
9769540058,-0.169866,-0.211477,-0.811572,-0.517703
9769542557,-0.169886,-0.211481,-0.811561,-0.517713
