Timestamp (us),Percentage (%),Power (dBm)
9769797643,90.000000,-55.000000
9770797529,88.000000,-56.000000
9771803225,88.000000,-56.000000
9772802273,90.000000,-55.000000
9773792152,90.000000,-55.000000
9774799530,88.000000,-56.000000
9775799408,90.000000,-55.000000
9776795328,96.000000,-52.000000
9777806264,90.000000,-55.000000
9778801541,98.000000,-51.000000
9779807225,100.000000,-50.000000
9780792692,100.000000,-50.000000
9781796174,100.000000,-50.000000
9782798574,84.000000,-58.000000
9783795931,84.000000,-58.000000
9784793308,90.000000,-55.000000
9785795686,76.000000,-62.000000
9786789743,70.000000,-65.000000
9787797944,66.000000,-67.000000
9788792822,76.000000,-62.000000
9789797715,88.000000,-56.000000
9790800077,88.000000,-56.000000
9791797458,84.000000,-58.000000
9792797337,84.000000,-58.000000
9793794486,92.000000,-54.000000
9794801541,88.000000,-56.000000
9795796995,78.000000,-61.000000
9796796852,74.000000,-63.000000
9797796734,72.000000,-64.000000
9798796609,78.000000,-61.000000
9799791488,88.000000,-56.000000
9800803866,84.000000,-58.000000
9801788746,84.000000,-58.000000
9802796124,100.000000,-48.000000
9803806003,100.000000,-50.000000
9804798405,100.000000,-49.000000
9805795791,92.000000,-54.000000
9806793141,86.000000,-57.000000
9807802540,80.000000,-60.000000
9808797900,78.000000,-61.000000
9809790296,80.000000,-60.000000
9810793965,86.000000,-57.000000
9811800037,94.000000,-53.000000
9812792418,96.000000,-52.000000
9813799796,100.000000,-50.000000
9814794678,88.000000,-56.000000
9815787087,88.000000,-56.000000
9816811933,86.000000,-57.000000
9817799330,82.000000,-59.000000
9818789197,80.000000,-60.000000
9819796575,72.000000,-64.000000
9820799766,86.000000,-57.000000
9821803849,78.000000,-61.000000
9822791213,78.000000,-61.000000
9823788595,90.000000,-55.000000
9824793490,84.000000,-58.000000
9825800851,88.000000,-56.000000
9826803540,70.000000,-65.000000
9827793113,74.000000,-63.000000
9828792995,86.000000,-57.000000
9829790376,78.000000,-61.000000
9830792773,82.000000,-59.000000
9831790135,78.000000,-61.000000
9832802531,94.000000,-53.000000
9833792397,100.000000,-48.000000
9834797288,96.000000,-52.000000
9835798885,90.000000,-55.000000
9836789585,82.000000,-59.000000
9837791920,80.000000,-60.000000
9838804317,84.000000,-58.000000
