Timestamp (us),Temperature (degC)
9770409950,46.625000
9771409828,46.625000
9772409705,46.625000
9773409584,46.625000
9774409460,46.575001
9775409338,46.500000
9776409216,46.625000
9777409095,46.625000
9778408973,46.625000
9779408849,46.625000
9780408727,46.625000
9781408607,46.625000
9782408484,46.625000
9783408361,46.625000
9784408239,46.625000
9785408117,46.500000
9786407997,46.500000
9787407874,46.549999
9788407752,46.625000
9789407631,46.625000
9790407510,46.625000
9791407388,46.625000
9792407266,46.625000
9793407145,46.625000
9794407026,46.625000
9795406904,46.625000
9796406782,46.625000
9797406661,46.625000
9798406541,46.625000
9799406420,46.625000
9800406297,46.625000
9801406176,46.625000
9802406055,46.625000
9803405935,46.625000
9804405814,46.625000
9805405692,46.700001
9806405571,46.724998
9807405451,46.625000
9808405331,46.625000
9809405209,46.625000
9810405089,46.674999
9811404969,46.724998
9812404849,46.625000
9813404729,46.724998
9814404606,46.674999
9815404486,46.650002
9816404366,46.750000
9817404247,46.750000
9818404126,46.674999
9819404005,46.625000
9820403884,46.650002
9821403764,46.750000
9822403645,46.750000
9823403524,46.750000
9824403403,46.724998
9825403283,46.625000
9826403163,46.750000
9827403046,46.750000
9828402926,46.750000
9829402805,46.750000
9830402685,46.750000
9831402565,46.750000
9832402447,46.750000
9833402328,46.750000
9834402207,46.750000
9835402088,46.750000
9836401969,46.750000
9837401852,46.799999
9838401733,46.849998
9839401613,46.750000
