Timestamp (us),Percentage (%),Voltage (V),Charging Status
9770099112,78.530930,3.785310,0.000000
9771099644,78.534973,3.785350,0.000000
9772100175,78.559143,3.785591,0.000000
9773100706,78.541679,3.785417,0.000000
9774101238,78.540329,3.785403,0.000000
9775101769,78.530945,3.785309,0.000000
9776102304,78.524231,3.785243,0.000000
9777102835,78.500061,3.785001,0.000000
9778103369,78.517517,3.785175,0.000000
9779103900,78.509453,3.785094,0.000000
9780104431,78.498703,3.784987,0.000000
9781104962,78.500046,3.785001,0.000000
9782105493,78.479912,3.784799,0.000000
9783106034,78.522888,3.785229,0.000000
9784106564,78.489319,3.784893,0.000000
9785107095,78.496033,3.784960,0.000000
9786107626,78.471848,3.784718,0.000000
9787108158,78.483948,3.784840,0.000000
9788108689,78.478577,3.784786,0.000000
9789109224,78.475891,3.784759,0.000000
9790109755,78.469162,3.784692,0.000000
9791110286,78.462463,3.784625,0.000000
9792110817,78.443649,3.784436,0.000000
9793111348,78.450363,3.784503,0.000000
9794111882,78.461121,3.784611,0.000000
9795112413,78.463806,3.784638,0.000000
9796112946,78.440979,3.784410,0.000000
9797113481,78.415451,3.784154,0.000000
9798114011,78.412781,3.784128,0.000000
9799114545,78.415466,3.784155,0.000000
9800115076,78.410088,3.784101,0.000000
9801115607,78.418152,3.784182,0.000000
9802116140,78.432915,3.784329,0.000000
9803116675,78.376526,3.783765,0.000000
9804117211,78.422165,3.784222,0.000000
9805117743,78.450378,3.784504,0.000000
9806118276,78.412773,3.784128,0.000000
9807118807,78.402039,3.784020,0.000000
9808119339,78.361740,3.783617,0.000000
9809119870,78.498711,3.784987,0.000000
9810120401,78.408752,3.784087,0.000000
9811120932,78.392632,3.783926,0.000000
9812121466,78.363083,3.783631,0.000000
9813122001,78.404724,3.784047,0.000000
9814122533,78.364433,3.783644,0.000000
9815123065,78.379196,3.783792,0.000000
9816123596,78.389946,3.783899,0.000000
9817124132,78.353683,3.783537,0.000000
9818124663,78.361740,3.783617,0.000000
9819125194,78.346970,3.783470,0.000000
9820125728,78.337578,3.783376,0.000000
9821126258,78.368462,3.783684,0.000000
9822126792,78.360405,3.783604,0.000000
9823127323,78.348312,3.783483,0.000000
9824127854,78.330856,3.783309,0.000000
9825128388,78.316086,3.783161,0.000000
9826128919,78.317429,3.783174,0.000000
9827129450,78.312065,3.783121,0.000000
9828129981,78.291931,3.782919,0.000000
9829130513,78.314743,3.783147,0.000000
9830131048,78.299980,3.783000,0.000000
9831131580,78.304001,3.783040,0.000000
9832132114,78.352341,3.783524,0.000000
9833132645,78.304001,3.783040,0.000000
9834133179,78.295952,3.782959,0.000000
9835133710,78.285210,3.782852,0.000000
9836134244,78.266403,3.782664,0.000000
9837134776,78.306686,3.783067,0.000000
9838135308,78.266403,3.782664,0.000000
9839135840,78.254333,3.782544,0.000000
