Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9769439880,-0.103808,0.888749,-0.296792
9769460676,-0.054807,1.035749,-0.345792
9769481472,-0.054807,0.986749,-0.394792
9769502269,-0.005808,0.937749,-0.296792
9769523067,-0.054807,0.937749,-0.296792
9769543866,-0.054807,0.986749,-0.345792
9769564658,-0.005808,0.986749,-0.345792
9769585450,-0.005808,0.888749,-0.296792
9769606243,-0.005808,0.937749,-0.296792
9769627039,-0.152808,0.937749,-0.296792
9769647835,-0.054807,0.986749,-0.394792
9769668632,-0.054807,0.986749,-0.247792
9769689428,-0.005808,0.937749,-0.394792
9769710223,-0.054807,0.986749,-0.296792
9769731017,-0.054807,0.888749,-0.345792
9769751812,-0.103808,0.937749,-0.394792
9769772606,-0.103808,0.937749,-0.345792
9769793401,-0.005808,0.937749,-0.394792
9769814196,-0.103808,1.035749,-0.394792
9769834993,-0.054807,0.986749,-0.394792
9769855790,-0.054807,0.888749,-0.394792
9769876583,-0.054807,0.986749,-0.345792
9769897376,-0.005808,0.937749,-0.296792
9769918169,-0.152808,0.937749,-0.345792
9769938962,-0.103808,0.937749,-0.345792
9769959754,-0.005808,0.937749,-0.345792
9769980549,-0.005808,0.937749,-0.345792
9770001345,-0.054807,0.888749,-0.345792
9770022141,-0.054807,0.937749,-0.394792
9770042935,-0.054807,0.986749,-0.296792
9770063730,-0.054807,0.937749,-0.296792
9770084522,-0.054807,0.986749,-0.345792
9770105315,-0.103808,0.986749,-0.247792
9770126110,-0.152808,0.937749,-0.247792
9770146904,-0.054807,0.986749,-0.345792
9770167697,-0.054807,0.937749,-0.296792
9770188491,-0.054807,0.986749,-0.247792
9770209283,-0.054807,0.986749,-0.394792
9770230077,-0.054807,0.888749,-0.345792
9770250871,-0.005808,0.839749,-0.247792
9770271664,-0.054807,0.888749,-0.345792
9770292456,-0.103808,0.986749,-0.296792
9770313249,-0.054807,0.937749,-0.296792
9770334043,-0.152808,0.986749,-0.345792
9770354837,-0.005808,0.937749,-0.345792
9770375635,-0.054807,0.986749,-0.296792
9770396429,0.043193,0.888749,-0.296792
9770417225,0.043193,0.986749,-0.345792
9770438022,-0.005808,0.937749,-0.345792
9770458817,-0.005808,0.937749,-0.394792
9770479613,-0.054807,0.937749,-0.345792
9770500408,-0.103808,0.937749,-0.296792
9770521203,-0.054807,0.986749,-0.247792
9770541998,-0.005808,0.937749,-0.296792
9770562795,-0.054807,0.986749,-0.296792
9770583592,-0.005808,0.888749,-0.247792
9770604388,-0.005808,0.986749,-0.296792
9770625186,-0.054807,0.986749,-0.247792
9770645982,-0.005808,0.937749,-0.296792
9770666777,-0.005808,0.888749,-0.345792
9770687574,-0.054807,0.888749,-0.296792
9770708372,-0.005808,0.986749,-0.345792
9770729168,-0.054807,0.986749,-0.394792
9770749963,-0.103808,0.937749,-0.394792
9770770761,-0.054807,0.986749,-0.296792
9770791560,-0.005808,0.937749,-0.198792
9770812359,-0.054807,0.986749,-0.345792
9770833157,-0.054807,0.986749,-0.443792
