Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9769439095,-0.026334,-0.579126,-0.178294,-0.012911,1.001680,-0.016538
9769441598,0.034660,-0.518183,-0.178358,-0.013640,0.999514,-0.018731
9769444100,0.095512,-0.518076,-0.117589,-0.012976,0.992248,-0.018022
9769446602,0.034577,-0.456722,-0.117686,-0.011564,0.990049,-0.014384
9769449104,-0.087246,-0.334194,-0.117916,-0.013002,0.991515,-0.015117
9769451606,-0.087221,-0.211977,-0.057426,-0.013728,0.992968,-0.013664
9769454109,-0.026251,-0.090013,0.003052,-0.013743,0.992963,-0.011483
9769456611,0.095730,0.031538,0.002812,-0.016632,0.993718,-0.013683
9769459113,0.095700,0.031528,0.002811,-0.015861,0.996623,-0.016576
9769461616,0.095670,0.031518,0.002810,-0.012229,0.996591,-0.015822
9769464118,0.034654,-0.029253,0.002929,-0.012982,0.995864,-0.012922
9769466620,-0.087452,-0.211585,0.063999,-0.012221,0.998765,-0.014362
9769469122,-0.148328,-0.272439,0.003393,-0.012225,0.995145,-0.018008
9769471625,-0.209310,-0.271979,0.064090,-0.014439,0.990086,-0.019494
9769474127,-0.209204,-0.210917,0.063944,-0.015159,0.991541,-0.018768
9769476629,-0.148276,-0.210907,0.124636,-0.012216,0.994425,-0.020191
9769479131,-0.087160,-0.150238,0.063772,-0.011499,0.994415,-0.018732
9769481634,-0.026104,-0.150565,0.003053,-0.015895,0.992992,-0.015861
9769484136,0.034890,-0.089756,0.002933,-0.015873,0.994447,-0.017310
9769486638,0.095785,-0.150920,0.003065,-0.011495,0.992969,-0.020917
9769489140,0.034849,-0.089681,0.002931,-0.009318,0.992949,-0.020174
9769491643,-0.026108,-0.089437,0.002923,-0.012240,0.995140,-0.015827
9769494145,-0.147991,-0.088979,0.002908,-0.013709,0.995870,-0.012928
9769496647,-0.208931,-0.149713,0.003027,-0.011524,0.994406,-0.015097
9769499149,-0.148082,-0.271675,0.063991,-0.011497,0.995863,-0.017273
9769501652,-0.026141,-0.394133,0.003532,-0.015141,0.994443,-0.018031
9769504154,0.095716,-0.333304,0.064124,-0.014429,0.994431,-0.015845
9769506656,0.156672,-0.272437,0.063985,-0.012214,0.996597,-0.018003
9769509158,0.095717,-0.211160,0.063831,-0.014404,0.993717,-0.020209
9769511661,0.034864,-0.150060,0.002972,-0.012921,0.996610,-0.020916
9769514163,0.034893,-0.089037,0.002845,-0.011481,0.996593,-0.018725
9769516665,0.035088,-0.028349,-0.118694,-0.014419,0.993711,-0.018028
9769519167,0.096063,0.032421,-0.118776,-0.018046,0.994468,-0.018780
9769521670,0.096073,0.093388,-0.118865,-0.015153,0.992991,-0.018036
9769524172,0.095960,0.093517,-0.058122,-0.012965,0.993699,-0.018018
9769526674,0.095767,-0.028307,0.002855,-0.012247,0.993690,-0.016559
9769529176,0.034670,-0.211013,0.003226,-0.012245,0.995138,-0.015100
9769531678,-0.026284,-0.332844,-0.057235,-0.012942,0.995879,-0.018738
9769534181,-0.026316,-0.393716,-0.057090,-0.015097,0.998078,-0.020201
9769536683,-0.026390,-0.393434,0.003633,-0.013675,0.995159,-0.018745
9769539185,-0.026425,-0.332174,0.064211,-0.012216,0.994425,-0.020191
9769541688,0.095638,-0.210706,0.003247,-0.012190,0.995882,-0.022367
9769544190,0.156511,-0.149719,0.063832,-0.012213,0.997321,-0.017274
9769546692,0.217488,-0.027934,0.063566,-0.012230,0.995143,-0.017281
9769549194,0.156514,0.033267,0.063412,-0.014416,0.992265,-0.020214
9769551696,0.034653,0.155640,0.063126,-0.014447,0.991530,-0.016582
9769554199,0.034848,0.216250,-0.058432,-0.014440,0.992980,-0.015850
9769556701,-0.026068,0.277374,-0.058547,-0.010093,0.990767,-0.015825
9769559203,-0.087169,0.155708,0.002423,-0.010771,0.995133,-0.017997
9769561706,-0.087305,0.033864,0.063381,-0.010805,0.991502,-0.017282
9769564208,-0.148346,-0.026749,0.124186,-0.011476,0.996594,-0.019452
9769566710,-0.148094,0.033918,0.002609,-0.012223,0.997317,-0.015820
9769569212,-0.026155,0.033477,0.002622,-0.012979,0.994418,-0.015108
9769571715,0.217553,0.032765,0.063355,-0.012222,0.993699,-0.020193
9769574217,0.339294,0.032483,0.124055,-0.015167,0.993710,-0.015126
9769576719,0.339187,0.032473,0.124016,-0.014419,0.993711,-0.018028
9769579221,0.217312,0.093711,0.063131,-0.010788,0.992956,-0.018004
9769581724,0.095312,0.033135,0.063223,-0.014443,0.990808,-0.018038
9769584226,0.034253,0.033498,0.123902,-0.012267,0.993683,-0.013651
9769586728,0.095148,-0.027704,0.123997,-0.017351,0.992280,-0.016601
9769589230,0.034092,-0.149433,0.124204,-0.011473,0.995148,-0.021637
9769591733,-0.026864,-0.149171,0.124158,-0.010771,0.995133,-0.017997
