Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9769469070,0.164906,-1.107337,1.167354
9769519248,0.173902,-1.107406,1.176848
9769569378,0.164972,-1.098453,1.176652
9769619531,0.173979,-1.098548,1.186538
9769669693,0.165041,-1.098505,1.186763
9769719853,0.173928,-1.098534,1.177022
9769770011,0.165122,-1.098584,1.197279
9769820168,0.165021,-1.107390,1.186788
9769870334,0.173876,-1.098520,1.167500
9769920496,0.164958,-1.107351,1.176874
9769970657,0.165053,-1.098531,1.187162
9770020816,0.165097,-1.107456,1.197103
9770070976,0.164995,-1.098504,1.177444
9770121136,0.173972,-1.107459,1.186961
9770171291,0.164900,-1.107324,1.167157
9770221451,0.173991,-1.098573,1.186937
9770271614,0.165053,-1.098531,1.187162
9770321771,0.165027,-1.107403,1.186987
9770371928,0.164888,-1.107298,1.166764
9770422084,0.156083,-1.107348,1.187013
9770472249,0.156014,-1.107295,1.176900
9770522410,0.164894,-1.107311,1.166960
9770572566,0.182872,-1.098589,1.176996
9770622738,0.165097,-1.107456,1.197103
9770672891,0.173965,-1.107445,1.186762
9770723049,0.156039,-1.098423,1.177074
9770773205,0.156097,-1.098450,1.186789
9770823360,0.173934,-1.098547,1.177220
9770873516,0.173894,-1.116317,1.177269
9770923683,0.165047,-1.098518,1.186963
9770973830,0.165053,-1.098531,1.187162
9771023979,0.156126,-1.098515,1.187787
9771074133,0.173916,-1.098508,1.176626
9771124285,0.165091,-1.107443,1.196902
9771174438,0.156186,-1.089617,1.196879
9771224593,0.156033,-1.098410,1.176876
9771274750,0.165021,-1.089632,1.177617
9771324906,0.165021,-1.107390,1.186788
9771375060,0.156166,-1.098503,1.196904
9771425215,0.173888,-1.116304,1.177071
9771475367,0.173888,-1.116304,1.177071
9771525519,0.173934,-1.098547,1.177220
9771575666,0.164975,-1.107390,1.177468
9771625810,0.173723,-1.107313,1.147495
9771675955,0.173850,-1.107392,1.167328
9771726107,0.173717,-1.107300,1.147301
9771776275,0.182719,-1.107382,1.156995
9771826420,0.182789,-1.107435,1.167105
9771876573,0.182821,-1.098575,1.167474
9771926733,0.191784,-1.107503,1.176598
9771976895,0.191713,-1.116375,1.167103
9772027054,0.182929,-1.098616,1.186711
9772077213,0.182910,-1.107501,1.186736
9772127369,0.182807,-1.107474,1.167695
9772177518,0.173793,-1.107366,1.157607
9772227671,0.164920,-1.098439,1.167132
9772277825,0.173997,-1.098586,1.187136
9772327981,0.165067,-1.089633,1.186938
9772378135,0.165041,-1.098505,1.186763
9772428288,0.174132,-1.089755,1.206540
9772478439,0.164964,-1.107364,1.177072
9772528585,0.156097,-1.098450,1.186789
9772578729,0.165116,-1.098571,1.197078
9772628873,0.165116,-1.098571,1.197078
9772679023,0.165111,-1.098558,1.196877
9772729174,0.155976,-1.098384,1.167159
9772779325,0.165180,-1.098610,1.206995
