Timestamp (us),W Element,X Element,Y Element,Z Element
9769439095,0.055287,0.047695,0.713338,0.697181
9769441598,0.055294,0.047695,0.713338,0.697180
9769444100,0.055300,0.047697,0.713338,0.697179
9769446602,0.055305,0.047698,0.713336,0.697181
9769449104,0.055308,0.047697,0.713333,0.697183
9769451606,0.055309,0.047694,0.713330,0.697187
9769454109,0.055307,0.047691,0.713327,0.697190
9769456611,0.055304,0.047685,0.713327,0.697191
9769459113,0.055300,0.047680,0.713327,0.697191
9769461616,0.055295,0.047675,0.713328,0.697192
9769464118,0.055292,0.047671,0.713326,0.697194
9769466620,0.055290,0.047671,0.713323,0.697197
9769469122,0.055291,0.047671,0.713319,0.697201
9769471625,0.055291,0.047672,0.713316,0.697205
9769474127,0.055291,0.047671,0.713312,0.697209
9769476629,0.055289,0.047672,0.713309,0.697212
9769479131,0.055286,0.047672,0.713307,0.697214
9769481634,0.055286,0.047669,0.713305,0.697216
9769484136,0.055285,0.047666,0.713305,0.697217
9769486638,0.055283,0.047664,0.713306,0.697215
9769489140,0.055280,0.047663,0.713306,0.697215
9769491643,0.055277,0.047660,0.713305,0.697218
9769494145,0.055276,0.047657,0.713300,0.697223
9769496647,0.055274,0.047655,0.713296,0.697228
9769499149,0.055274,0.047657,0.713292,0.697231
9769501652,0.055277,0.047658,0.713290,0.697232
9769504154,0.055278,0.047660,0.713290,0.697232
9769506656,0.055277,0.047661,0.713292,0.697231
9769509158,0.055276,0.047661,0.713293,0.697230
9769511661,0.055275,0.047659,0.713293,0.697230
9769514163,0.055273,0.047657,0.713293,0.697230
9769516665,0.055272,0.047651,0.713293,0.697231
9769519167,0.055271,0.047644,0.713294,0.697230
9769521670,0.055270,0.047638,0.713295,0.697230
9769524172,0.055267,0.047633,0.713296,0.697229
9769526674,0.055266,0.047632,0.713296,0.697229
9769529176,0.055267,0.047633,0.713295,0.697230
9769531678,0.055271,0.047635,0.713294,0.697231
9769534181,0.055277,0.047637,0.713293,0.697232
9769536683,0.055281,0.047640,0.713291,0.697232
9769539185,0.055284,0.047644,0.713290,0.697233
9769541688,0.055285,0.047646,0.713292,0.697231
9769544190,0.055284,0.047647,0.713293,0.697230
9769546692,0.055281,0.047646,0.713295,0.697228
9769549194,0.055278,0.047644,0.713297,0.697226
9769551696,0.055273,0.047640,0.713297,0.697227
9769554199,0.055269,0.047633,0.713296,0.697229
9769556701,0.055263,0.047627,0.713295,0.697231
9769559203,0.055259,0.047623,0.713293,0.697234
9769561706,0.055255,0.047621,0.713291,0.697236
9769564208,0.055251,0.047621,0.713288,0.697240
9769566710,0.055249,0.047619,0.713284,0.697244
9769569212,0.055247,0.047616,0.713282,0.697246
9769571715,0.055241,0.047612,0.713286,0.697243
9769574217,0.055235,0.047609,0.713289,0.697240
9769576719,0.055229,0.047607,0.713294,0.697236
9769579221,0.055222,0.047603,0.713296,0.697234
9769581724,0.055217,0.047599,0.713297,0.697234
9769584226,0.055211,0.047596,0.713296,0.697236
9769586728,0.055207,0.047593,0.713296,0.697236
9769589230,0.055203,0.047593,0.713297,0.697236
9769591733,0.055200,0.047594,0.713295,0.697238
9769594235,0.055197,0.047593,0.713293,0.697241
9769596737,0.055198,0.047591,0.713289,0.697245
9769599239,0.055201,0.047587,0.713285,0.697249
9769601741,0.055202,0.047587,0.713280,0.697254
9769604244,0.055203,0.047586,0.713277,0.697257
9769606746,0.055200,0.047584,0.713275,0.697260
9769609248,0.055195,0.047580,0.713273,0.697262
9769611751,0.055187,0.047576,0.713272,0.697264
9769614253,0.055179,0.047570,0.713272,0.697265
9769616755,0.055170,0.047565,0.713273,0.697265
9769619257,0.055162,0.047560,0.713275,0.697264
9769621760,0.055158,0.047557,0.713276,0.697264
9769624262,0.055158,0.047553,0.713277,0.697263
9769626764,0.055157,0.047551,0.713278,0.697262
9769629266,0.055153,0.047551,0.713277,0.697263
9769631769,0.055148,0.047550,0.713277,0.697264
9769634271,0.055144,0.047549,0.713276,0.697266
9769636773,0.055141,0.047548,0.713273,0.697268
9769639275,0.055142,0.047549,0.713269,0.697272
9769641778,0.055146,0.047551,0.713265,0.697276
9769644280,0.055149,0.047553,0.713264,0.697277
9769646782,0.055149,0.047554,0.713264,0.697276
9769649284,0.055147,0.047550,0.713266,0.697275
9769651786,0.055147,0.047547,0.713267,0.697274
9769654289,0.055148,0.047546,0.713267,0.697274
9769656791,0.055151,0.047546,0.713266,0.697275
9769659293,0.055155,0.047544,0.713264,0.697277
9769661795,0.055157,0.047545,0.713264,0.697277
9769664298,0.055158,0.047546,0.713265,0.697276
9769666801,0.055158,0.047549,0.713265,0.697275
9769669304,0.055159,0.047554,0.713265,0.697275
9769671806,0.055160,0.047557,0.713263,0.697277
9769674308,0.055160,0.047560,0.713259,0.697280
9769676810,0.055159,0.047563,0.713256,0.697283
9769679313,0.055157,0.047564,0.713256,0.697284
9769681815,0.055151,0.047563,0.713255,0.697286
9769684317,0.055145,0.047560,0.713256,0.697285
9769686820,0.055141,0.047555,0.713257,0.697285
9769689322,0.055141,0.047551,0.713256,0.697286
9769691824,0.055143,0.047548,0.713255,0.697287
9769694326,0.055145,0.047547,0.713253,0.697288
9769696828,0.055146,0.047545,0.713254,0.697288
9769699331,0.055148,0.047543,0.713256,0.697286
9769701833,0.055148,0.047541,0.713258,0.697284
9769704335,0.055144,0.047539,0.713262,0.697280
9769706837,0.055139,0.047539,0.713265,0.697277
9769709340,0.055136,0.047538,0.713266,0.697277
9769711842,0.055137,0.047535,0.713268,0.697275
9769714344,0.055138,0.047532,0.713266,0.697277
9769716846,0.055139,0.047529,0.713262,0.697281
9769719348,0.055139,0.047527,0.713260,0.697284
9769721851,0.055139,0.047529,0.713259,0.697284
9769724353,0.055142,0.047531,0.713257,0.697286
9769726855,0.055144,0.047534,0.713255,0.697288
9769729358,0.055148,0.047541,0.713254,0.697288
9769731860,0.055150,0.047549,0.713255,0.697286
9769734362,0.055151,0.047558,0.713255,0.697285
9769736864,0.055153,0.047566,0.713254,0.697286
9769739367,0.055155,0.047570,0.713251,0.697288
9769741869,0.055155,0.047574,0.713249,0.697290
9769744371,0.055156,0.047575,0.713246,0.697293
9769746874,0.055157,0.047574,0.713244,0.697295
9769749375,0.055157,0.047572,0.713242,0.697297
9769751878,0.055157,0.047569,0.713240,0.697299
9769754380,0.055158,0.047566,0.713236,0.697304
9769756882,0.055156,0.047565,0.713233,0.697307
9769759385,0.055156,0.047568,0.713229,0.697311
9769761887,0.055157,0.047572,0.713228,0.697312
9769764389,0.055160,0.047573,0.713227,0.697312
9769766891,0.055163,0.047574,0.713228,0.697311
9769769394,0.055168,0.047577,0.713229,0.697309
9769771896,0.055170,0.047580,0.713229,0.697309
9769774398,0.055171,0.047582,0.713228,0.697310
9769776901,0.055171,0.047581,0.713224,0.697314
9769779403,0.055169,0.047580,0.713222,0.697316
9769781905,0.055169,0.047577,0.713223,0.697316
9769784407,0.055169,0.047576,0.713223,0.697316
9769786909,0.055170,0.047578,0.713220,0.697318
9769789412,0.055172,0.047582,0.713216,0.697322
9769791914,0.055174,0.047585,0.713213,0.697325
9769794416,0.055175,0.047586,0.713212,0.697325
9769796918,0.055174,0.047586,0.713212,0.697326
9769799420,0.055173,0.047584,0.713211,0.697327
9769801923,0.055172,0.047580,0.713209,0.697329
9769804425,0.055170,0.047577,0.713206,0.697333
9769806928,0.055167,0.047574,0.713203,0.697336
9769809429,0.055165,0.047573,0.713201,0.697338
9769811932,0.055164,0.047574,0.713200,0.697340
9769814434,0.055163,0.047573,0.713199,0.697341
9769816936,0.055161,0.047570,0.713199,0.697341
9769819438,0.055157,0.047569,0.713198,0.697343
9769821941,0.055154,0.047569,0.713196,0.697344
9769824443,0.055155,0.047572,0.713195,0.697346
9769826945,0.055159,0.047576,0.713193,0.697347
9769829448,0.055166,0.047583,0.713190,0.697349
9769831950,0.055173,0.047588,0.713187,0.697351
9769834452,0.055179,0.047591,0.713185,0.697353
9769836954,0.055180,0.047592,0.713184,0.697353
9769839457,0.055177,0.047590,0.713185,0.697352
9769841959,0.055173,0.047587,0.713187,0.697351
9769844461,0.055168,0.047583,0.713190,0.697349
9769846984,0.055164,0.047580,0.713192,0.697348
9769849477,0.055159,0.047578,0.713193,0.697347
9769851967,0.055155,0.047577,0.713195,0.697346
9769854469,0.055152,0.047575,0.713195,0.697345
9769856971,0.055152,0.047575,0.713193,0.697347
9769859473,0.055153,0.047578,0.713190,0.697351
9769861975,0.055157,0.047583,0.713187,0.697353
9769864477,0.055164,0.047587,0.713188,0.697351
9769866980,0.055169,0.047590,0.713190,0.697348
9769869482,0.055171,0.047592,0.713192,0.697346
9769871984,0.055173,0.047595,0.713193,0.697345
9769874487,0.055175,0.047598,0.713192,0.697346
9769876989,0.055177,0.047602,0.713192,0.697345
9769879491,0.055181,0.047609,0.713191,0.697345
9769881993,0.055186,0.047616,0.713191,0.697344
9769884496,0.055194,0.047618,0.713191,0.697343
9769886998,0.055199,0.047619,0.713191,0.697343
9769889500,0.055200,0.047616,0.713188,0.697346
9769892002,0.055200,0.047613,0.713185,0.697349
9769894505,0.055201,0.047612,0.713180,0.697354
9769897007,0.055203,0.047613,0.713176,0.697359
9769899509,0.055206,0.047614,0.713173,0.697362
9769902011,0.055208,0.047617,0.713171,0.697363
9769904514,0.055210,0.047620,0.713171,0.697363
9769907016,0.055208,0.047620,0.713172,0.697362
9769909518,0.055209,0.047621,0.713172,0.697361
9769912020,0.055209,0.047622,0.713170,0.697363
9769914523,0.055210,0.047625,0.713166,0.697367
9769917025,0.055210,0.047626,0.713162,0.697371
9769919527,0.055213,0.047625,0.713158,0.697375
9769922030,0.055215,0.047620,0.713155,0.697378
9769924532,0.055218,0.047619,0.713152,0.697382
9769927034,0.055221,0.047621,0.713147,0.697386
9769929536,0.055226,0.047626,0.713143,0.697389
9769932038,0.055229,0.047630,0.713139,0.697393
9769934540,0.055230,0.047633,0.713135,0.697397
9769937043,0.055229,0.047632,0.713132,0.697400
9769939545,0.055226,0.047630,0.713130,0.697403
9769942047,0.055223,0.047627,0.713129,0.697404
9769944550,0.055220,0.047622,0.713126,0.697407
9769947052,0.055217,0.047618,0.713124,0.697411
9769949554,0.055215,0.047613,0.713121,0.697414
9769952057,0.055213,0.047612,0.713119,0.697416
9769954559,0.055212,0.047613,0.713117,0.697418
9769957061,0.055211,0.047616,0.713115,0.697420
9769959563,0.055211,0.047620,0.713115,0.697420
9769962066,0.055211,0.047623,0.713111,0.697423
9769964568,0.055211,0.047626,0.713106,0.697428
9769967070,0.055208,0.047626,0.713105,0.697430
9769969572,0.055205,0.047623,0.713103,0.697432
9769972074,0.055203,0.047618,0.713102,0.697434
9769974577,0.055202,0.047610,0.713102,0.697435
9769977079,0.055202,0.047608,0.713103,0.697433
9769979581,0.055201,0.047608,0.713104,0.697432
9769982083,0.055199,0.047611,0.713103,0.697434
9769984585,0.055196,0.047612,0.713101,0.697435
9769987088,0.055194,0.047612,0.713101,0.697436
9769989590,0.055190,0.047612,0.713100,0.697437
9769992092,0.055185,0.047613,0.713099,0.697439
9769994595,0.055181,0.047613,0.713098,0.697440
9769997097,0.055180,0.047613,0.713097,0.697441
9769999599,0.055177,0.047613,0.713097,0.697441
9770002102,0.055176,0.047613,0.713097,0.697442
9770004604,0.055174,0.047610,0.713096,0.697443
9770007106,0.055170,0.047608,0.713095,0.697444
9770009608,0.055164,0.047604,0.713095,0.697445
9770012110,0.055157,0.047601,0.713095,0.697446
9770014612,0.055154,0.047598,0.713094,0.697447
9770017115,0.055153,0.047599,0.713093,0.697448
9770019617,0.055153,0.047600,0.713093,0.697448
9770022119,0.055153,0.047601,0.713093,0.697448
9770024622,0.055150,0.047601,0.713094,0.697447
9770027124,0.055147,0.047599,0.713098,0.697443
9770029626,0.055144,0.047596,0.713101,0.697441
9770032128,0.055141,0.047590,0.713103,0.697439
9770034630,0.055137,0.047589,0.713104,0.697439
9770037133,0.055136,0.047589,0.713105,0.697437
9770039635,0.055134,0.047592,0.713106,0.697437
9770042137,0.055133,0.047594,0.713106,0.697436
9770044639,0.055135,0.047595,0.713106,0.697437
9770047142,0.055137,0.047595,0.713103,0.697439
9770049644,0.055139,0.047594,0.713101,0.697441
9770052146,0.055141,0.047591,0.713101,0.697442
9770054649,0.055141,0.047588,0.713102,0.697441
9770057151,0.055139,0.047586,0.713102,0.697441
9770059653,0.055138,0.047586,0.713100,0.697443
9770062155,0.055135,0.047588,0.713098,0.697445
9770064658,0.055132,0.047587,0.713097,0.697447
9770067160,0.055130,0.047586,0.713097,0.697447
9770069662,0.055130,0.047584,0.713095,0.697449
9770072164,0.055132,0.047584,0.713093,0.697451
9770074666,0.055131,0.047585,0.713093,0.697451
9770077169,0.055129,0.047584,0.713094,0.697450
9770079671,0.055126,0.047586,0.713094,0.697450
9770082174,0.055122,0.047589,0.713093,0.697452
9770084675,0.055119,0.047594,0.713092,0.697452
9770087178,0.055119,0.047600,0.713090,0.697454
9770089680,0.055120,0.047607,0.713088,0.697455
9770092182,0.055123,0.047611,0.713085,0.697458
9770094684,0.055128,0.047614,0.713083,0.697460
9770097187,0.055132,0.047617,0.713080,0.697462
9770099689,0.055136,0.047620,0.713078,0.697463
9770102192,0.055141,0.047623,0.713077,0.697464
9770104693,0.055144,0.047624,0.713076,0.697465
9770107196,0.055144,0.047623,0.713073,0.697468
9770109698,0.055144,0.047620,0.713070,0.697471
9770112200,0.055143,0.047615,0.713069,0.697473
9770114703,0.055140,0.047612,0.713071,0.697471
9770117205,0.055139,0.047610,0.713073,0.697469
9770119707,0.055136,0.047609,0.713076,0.697466
9770122209,0.055135,0.047612,0.713077,0.697465
9770124711,0.055136,0.047615,0.713076,0.697466
9770127215,0.055136,0.047617,0.713071,0.697470
9770129717,0.055137,0.047620,0.713066,0.697476
9770132220,0.055138,0.047620,0.713062,0.697479
9770134722,0.055139,0.047619,0.713061,0.697480
9770137224,0.055139,0.047619,0.713060,0.697482
9770139727,0.055141,0.047622,0.713059,0.697482
9770142229,0.055144,0.047628,0.713058,0.697483
9770144731,0.055147,0.047632,0.713054,0.697486
9770147233,0.055148,0.047632,0.713051,0.697490
9770149736,0.055147,0.047629,0.713049,0.697491
9770152238,0.055144,0.047627,0.713049,0.697492
9770154740,0.055141,0.047625,0.713051,0.697491
9770157242,0.055139,0.047624,0.713051,0.697490
9770159745,0.055139,0.047627,0.713050,0.697492
9770162247,0.055141,0.047630,0.713049,0.697492
9770164749,0.055146,0.047635,0.713047,0.697493
9770167251,0.055150,0.047642,0.713046,0.697493
9770169753,0.055154,0.047647,0.713046,0.697493
9770172256,0.055157,0.047648,0.713049,0.697490
9770174758,0.055160,0.047649,0.713051,0.697487
9770177260,0.055165,0.047648,0.713055,0.697483
9770179763,0.055169,0.047649,0.713058,0.697480
9770182265,0.055171,0.047651,0.713058,0.697479
9770184767,0.055171,0.047655,0.713057,0.697480
9770187269,0.055174,0.047660,0.713054,0.697482
9770189771,0.055180,0.047664,0.713053,0.697483
9770192274,0.055188,0.047668,0.713052,0.697483
9770194776,0.055194,0.047669,0.713049,0.697485
9770197278,0.055200,0.047671,0.713046,0.697488
9770199780,0.055205,0.047678,0.713044,0.697489
9770202283,0.055209,0.047687,0.713043,0.697488
9770204785,0.055212,0.047695,0.713044,0.697487
9770207287,0.055214,0.047702,0.713044,0.697487
9770209789,0.055215,0.047707,0.713046,0.697484
9770212292,0.055216,0.047711,0.713048,0.697481
9770214794,0.055217,0.047715,0.713050,0.697480
9770217296,0.055219,0.047715,0.713052,0.697477
9770219799,0.055220,0.047716,0.713054,0.697475
9770222301,0.055223,0.047720,0.713055,0.697473
9770224803,0.055226,0.047728,0.713056,0.697472
9770227305,0.055230,0.047736,0.713058,0.697468
9770229807,0.055234,0.047742,0.713060,0.697466
9770232310,0.055235,0.047743,0.713061,0.697464
9770234821,0.055234,0.047743,0.713063,0.697463
9770237320,0.055233,0.047746,0.713063,0.697462
9770239817,0.055235,0.047752,0.713063,0.697462
9770242319,0.055243,0.047760,0.713063,0.697461
9770244821,0.055251,0.047769,0.713063,0.697459
9770247323,0.055260,0.047779,0.713063,0.697458
9770249825,0.055269,0.047786,0.713060,0.697460
9770252328,0.055277,0.047790,0.713057,0.697462
9770254830,0.055284,0.047792,0.713054,0.697465
9770257332,0.055288,0.047793,0.713051,0.697467
9770259834,0.055290,0.047795,0.713050,0.697468
9770262337,0.055291,0.047797,0.713050,0.697467
9770264839,0.055293,0.047801,0.713050,0.697467
9770267341,0.055292,0.047804,0.713050,0.697467
9770269843,0.055292,0.047810,0.713050,0.697467
9770272346,0.055289,0.047813,0.713050,0.697467
9770274848,0.055286,0.047817,0.713050,0.697466
9770277350,0.055285,0.047819,0.713052,0.697465
9770279852,0.055287,0.047820,0.713054,0.697462
9770282355,0.055293,0.047820,0.713055,0.697461
9770284857,0.055302,0.047822,0.713055,0.697460
9770287359,0.055308,0.047826,0.713057,0.697457
9770289862,0.055312,0.047832,0.713057,0.697456
9770292364,0.055315,0.047840,0.713056,0.697457
9770294866,0.055319,0.047846,0.713054,0.697458
9770297368,0.055325,0.047849,0.713053,0.697459
9770299871,0.055333,0.047851,0.713052,0.697458
9770302373,0.055338,0.047853,0.713052,0.697458
9770304875,0.055339,0.047855,0.713051,0.697458
9770307400,0.055337,0.047856,0.713052,0.697459
9770309884,0.055335,0.047858,0.713050,0.697460
9770312380,0.055337,0.047861,0.713048,0.697462
9770314883,0.055341,0.047863,0.713047,0.697463
9770317385,0.055346,0.047866,0.713047,0.697462
9770319887,0.055353,0.047869,0.713048,0.697460
9770322389,0.055361,0.047873,0.713050,0.697457
9770324892,0.055370,0.047876,0.713051,0.697455
9770327394,0.055376,0.047880,0.713051,0.697454
9770329896,0.055379,0.047885,0.713051,0.697453
9770332398,0.055381,0.047892,0.713053,0.697451
9770334901,0.055383,0.047895,0.713054,0.697450
9770337403,0.055385,0.047897,0.713055,0.697448
9770339905,0.055386,0.047897,0.713056,0.697447
9770342407,0.055385,0.047898,0.713056,0.697447
9770344909,0.055384,0.047898,0.713055,0.697448
9770347412,0.055385,0.047898,0.713053,0.697451
9770349914,0.055386,0.047897,0.713051,0.697452
9770352416,0.055390,0.047898,0.713049,0.697453
9770354919,0.055395,0.047895,0.713049,0.697454
9770357421,0.055399,0.047893,0.713050,0.697453
9770359923,0.055400,0.047894,0.713050,0.697453
9770362425,0.055400,0.047895,0.713050,0.697453
9770364928,0.055396,0.047897,0.713050,0.697452
9770367430,0.055394,0.047898,0.713051,0.697452
9770369932,0.055393,0.047900,0.713050,0.697452
9770372434,0.055395,0.047901,0.713049,0.697453
9770374936,0.055397,0.047902,0.713047,0.697455
9770377439,0.055399,0.047902,0.713046,0.697457
9770379941,0.055402,0.047901,0.713044,0.697458
9770382443,0.055404,0.047902,0.713043,0.697459
9770384945,0.055410,0.047902,0.713042,0.697459
9770387448,0.055413,0.047902,0.713040,0.697461
