Timestamp (us),Temperature (degC)
9769844461,33.625000
9770845359,33.625000
9771846259,33.625000
9772847158,33.625000
9773848059,33.625000
9774848958,33.625000
9775849858,33.625000
9776850756,33.625000
9777851655,33.674999
9778852555,33.750000
9779853455,33.750000
9780854356,33.750000
9781855256,33.750000
9782856154,33.700001
9783857055,33.625000
9784857955,33.625000
9785858855,33.625000
9786859756,33.625000
9787860656,33.650002
9788861556,33.750000
9789862455,33.625000
9790863355,33.724998
9791864255,33.750000
9792865156,33.750000
9793866056,33.750000
9794866955,33.750000
9795867856,33.750000
9796868756,33.750000
9797869657,33.750000
9798870558,33.750000
9799871459,33.750000
9800872358,33.750000
9801873259,33.750000
9802874161,33.750000
9803875063,33.750000
9804875964,33.750000
9805876865,33.750000
9806877765,33.724998
9807878665,33.625000
9808879566,33.625000
9809880467,33.625000
9810881368,33.674999
9811882270,33.750000
9812883171,33.750000
9813884072,33.750000
9814884991,33.750000
9815885873,33.724998
9816886774,33.625000
9817887675,33.750000
9818888577,33.750000
9819889478,33.750000
9820890379,33.750000
9821891286,33.750000
9822892179,33.750000
9823893080,33.750000
9824893981,33.750000
9825894881,33.750000
9826895783,33.750000
9827896685,33.750000
9828897584,33.674999
9829898485,33.625000
9830899385,33.625000
9831900287,33.750000
9832901187,33.650002
9833902089,33.674999
9834902991,33.750000
9835903892,33.750000
9836904791,33.750000
9837905692,33.674999
9838906593,33.674999
