Timestamp (us),Percentage (%),Voltage (V),Charging Status
9770359041,97.644272,3.976443,0.000000
9771359573,97.601303,3.976013,0.000000
9772360144,97.621437,3.976214,0.000000
9773361636,97.612038,3.976121,0.000000
9774362168,97.597275,3.975973,0.000000
9775362737,97.629501,3.976295,0.000000
9776363269,97.610703,3.976107,0.000000
9777363800,97.601303,3.976013,0.000000
9778364333,97.606674,3.976067,0.000000
9779364864,97.569077,3.975690,0.000000
9780365395,97.582504,3.975825,0.000000
9781365926,97.555649,3.975557,0.000000
9782366457,97.578476,3.975785,0.000000
9783366993,97.575790,3.975758,0.000000
9784367523,97.573105,3.975731,0.000000
9785368054,97.567734,3.975677,0.000000
9786368587,97.567734,3.975677,0.000000
9787369118,97.563705,3.975637,0.000000
9788369660,97.559677,3.975597,0.000000
9789370193,97.554306,3.975543,0.000000
9790370724,97.534164,3.975341,0.000000
9791371255,97.531479,3.975315,0.000000
9792371786,97.516701,3.975167,0.000000
9793372322,97.530136,3.975301,0.000000
9794372853,97.534157,3.975342,0.000000
9795373384,97.536850,3.975368,0.000000
9796373918,97.514023,3.975140,0.000000
9797374451,97.539536,3.975395,0.000000
9798374982,97.503281,3.975033,0.000000
9799375514,97.514015,3.975140,0.000000
9800376044,97.504623,3.975046,0.000000
9801376593,97.500595,3.975006,0.000000
9802377125,97.483131,3.974831,0.000000
9803377658,97.481789,3.974818,0.000000
9804378189,97.475075,3.974751,0.000000
9805378723,97.458961,3.974590,0.000000
9806379254,97.471046,3.974710,0.000000
9807379786,97.472389,3.974724,0.000000
9808380317,97.487167,3.974872,0.000000
9809380848,97.452255,3.974522,0.000000
9810381381,97.462990,3.974630,0.000000
9811381913,97.475082,3.974751,0.000000
9812382444,97.460312,3.974603,0.000000
9813382975,97.433441,3.974335,0.000000
9814383534,97.430771,3.974308,0.000000
9815384066,97.411972,3.974120,0.000000
9816384597,97.438820,3.974388,0.000000
9817385128,97.433456,3.974334,0.000000
9818385659,97.429420,3.974294,0.000000
9819386190,97.441513,3.974415,0.000000
9820386721,97.436134,3.974361,0.000000
9821387252,97.403915,3.974039,0.000000
9822387788,97.415993,3.974160,0.000000
9823388319,97.414650,3.974146,0.000000
9824388852,97.417328,3.974173,0.000000
9825389383,97.410622,3.974106,0.000000
9826389917,97.395859,3.973958,0.000000
9827390470,97.410622,3.974106,0.000000
9828391003,97.389137,3.973891,0.000000
9829391536,97.398544,3.973985,0.000000
9830392067,97.403908,3.974039,0.000000
9831392601,97.377060,3.973771,0.000000
9832393132,97.397194,3.973972,0.000000
9833393663,97.363632,3.973636,0.000000
9834394194,97.360947,3.973609,0.000000
9835394729,97.352882,3.973529,0.000000
9836395260,97.381081,3.973811,0.000000
9837395790,97.378403,3.973784,0.000000
9838396325,97.358253,3.973583,0.000000
9839396859,97.359604,3.973596,0.000000
