Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9769431561,0.016556,0.921085,-0.320202
9769452202,-0.081444,0.872085,-0.369202
9769472842,-0.081444,0.921085,-0.222202
9769493483,-0.032444,0.872085,-0.222202
9769514123,0.016556,0.872085,-0.320202
9769534763,0.016556,0.872085,-0.418202
9769555403,-0.081444,0.872085,-0.271202
9769576043,-0.032444,0.921085,-0.320202
9769596684,0.065556,0.774085,-0.271202
9769617324,-0.032444,0.921085,-0.222202
9769637964,-0.032444,0.970085,-0.271202
9769658604,-0.130444,0.921085,-0.369202
9769679245,0.016556,0.872085,-0.173202
9769699885,-0.081444,0.921085,-0.222202
9769720527,-0.081444,0.872085,-0.320202
9769741168,0.016556,0.921085,-0.320202
9769761809,-0.032444,0.921085,-0.271202
9769782450,-0.081444,0.921085,-0.271202
9769803090,0.016556,0.872085,-0.173202
9769823731,-0.032444,0.872085,-0.271202
9769844373,-0.081444,0.970085,-0.271202
9769865013,-0.032444,0.872085,-0.222202
9769885655,-0.081444,0.921085,-0.222202
9769906296,-0.032444,0.921085,-0.271202
9769926937,-0.032444,0.774085,-0.222202
9769947578,-0.081444,0.921085,-0.271202
9769968219,-0.032444,0.872085,-0.271202
9769988860,-0.032444,0.970085,-0.222202
9770009501,-0.130444,0.872085,-0.222202
9770030142,0.016556,0.872085,-0.222202
9770050782,-0.032444,0.921085,-0.271202
9770071423,-0.081444,0.921085,-0.222202
9770092065,-0.081444,0.921085,-0.271202
9770112706,-0.081444,0.921085,-0.222202
9770133354,-0.081444,0.872085,-0.271202
9770153989,-0.081444,0.872085,-0.271202
9770174631,-0.081444,0.872085,-0.271202
9770195273,-0.081444,0.823085,-0.173202
9770215916,-0.032444,0.970085,-0.271202
9770236558,-0.081444,0.970085,-0.271202
9770257201,-0.032444,1.019085,-0.173202
9770277842,-0.032444,0.872085,-0.222202
9770298483,-0.081444,0.921085,-0.271202
9770319125,0.016556,0.921085,-0.173202
9770339766,-0.081444,0.823085,-0.222202
9770360408,0.016556,0.872085,-0.173202
9770381049,-0.032444,0.921085,-0.271202
9770401690,0.016556,0.872085,-0.271202
9770422331,0.016556,0.921085,-0.320202
9770442972,-0.081444,0.921085,-0.173202
9770463613,0.016556,0.872085,-0.222202
9770484255,-0.081444,0.970085,-0.222202
9770504897,-0.032444,0.872085,-0.173202
9770525538,0.016556,0.872085,-0.222202
9770546179,-0.081444,0.970085,-0.271202
9770566820,-0.081444,0.970085,-0.173202
9770587460,-0.032444,0.872085,-0.173202
9770608100,-0.032444,0.823085,-0.173202
9770628740,-0.081444,0.872085,-0.271202
9770649380,-0.081444,0.970085,-0.271202
9770670020,0.065556,0.921085,-0.173202
9770690662,-0.032444,0.872085,-0.173202
9770711304,-0.032444,0.823085,-0.124202
9770731946,-0.081444,0.872085,-0.124202
9770752589,0.016556,0.872085,-0.222202
9770773231,-0.032444,0.872085,-0.369202
9770793874,-0.032444,0.823085,-0.369202
9770814516,-0.179444,0.921085,-0.369202
9770835158,-0.130444,1.068085,-0.320202
9770855799,-0.032444,1.166085,-0.320202
9770876442,0.065556,1.019085,-0.271202
9770897083,-0.032444,0.921085,-0.075202
9770917723,-0.081444,0.872085,-0.222202
9770938363,-0.130444,0.823085,-0.271202
9770959003,-0.179444,0.823085,-0.320202
9770979643,-0.032444,0.774085,-0.418202
9771000284,-0.130444,0.921085,-0.271202
9771020925,-0.081444,1.019085,-0.271202
9771041565,-0.081444,0.921085,-0.173202
9771062206,-0.032444,1.019085,-0.026202
9771082846,-0.130444,1.019085,-0.026202
9771103486,0.016556,0.921085,-0.026202
9771124125,-0.032444,0.872085,0.120798
9771144766,-0.081444,0.872085,-0.026202
9771165407,-0.032444,0.725085,-0.075202
9771186047,-0.130444,0.774085,-0.026202
9771206687,-0.081444,0.676085,0.022798
9771227327,-0.130444,0.725085,-0.026202
9771247967,-0.032444,0.725085,-0.124202
9771268607,-0.032444,0.823085,0.022798
9771289247,-0.130444,0.872085,-0.075202
9771309886,-0.032444,0.823085,-0.124202
9771330526,-0.081444,0.823085,-0.026202
