Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9769428983,1.437477,0.785301,-0.663086,0.023643,0.994779,0.039446
9769431480,1.498463,0.785201,-0.662867,0.020755,0.994812,0.037234
9769433988,1.498066,0.724614,-0.541160,0.020035,0.994821,0.036499
9769436476,1.436682,0.664127,-0.419670,0.019322,0.996281,0.036503
9769438971,1.314709,0.664327,-0.420107,0.017853,0.997012,0.038672
9769441469,1.314879,0.603427,-0.480464,0.022936,0.996241,0.038722
9769443966,1.315220,0.481627,-0.601177,0.024411,0.996237,0.036558
9769446464,1.315371,0.359931,-0.661202,0.022250,0.998436,0.036551
9769448961,1.193209,0.360236,-0.600951,0.022283,1.002069,0.036579
9769451459,1.009871,0.360745,-0.480230,0.021570,1.001358,0.034385
9769453956,0.887690,0.300253,-0.419647,0.020844,1.000640,0.033645
9769456454,0.765679,0.178862,-0.419420,0.021583,1.002811,0.034396
9769458951,0.765641,0.057271,-0.418757,0.021577,1.002084,0.034391
9769461448,0.887405,-0.003621,-0.357301,0.022297,1.002075,0.035126
9769463946,1.070534,-0.064821,-0.417003,0.020824,0.998460,0.033629
9769466444,1.253664,-0.126022,-0.476704,0.021532,0.994826,0.032155
9769468941,1.436793,-0.187222,-0.536406,0.022285,0.999174,0.033650
9769471438,1.497779,-0.187322,-0.536187,0.019409,1.003556,0.034378
9769473936,1.497590,-0.187218,-0.475499,0.018690,1.001394,0.031447
9769476434,1.436453,-0.065422,-0.415693,0.020145,1.000657,0.030731
9769478931,1.314329,0.056474,-0.356104,0.016551,1.002153,0.027795
9769481428,1.252964,0.056783,-0.234946,0.016551,1.000705,0.026331
9769483926,1.191561,-0.064499,-0.113126,0.018719,0.999957,0.027076
9769486423,1.069550,-0.185891,-0.112899,0.017279,1.000699,0.026339
9769488921,0.947161,-0.307073,0.008703,0.017231,0.997784,0.028497
9769491419,0.886363,-0.307078,-0.052203,0.015736,0.994884,0.029912
9769493916,0.947180,-0.246278,0.008372,0.017190,0.995595,0.030660
9769496414,1.008185,-0.185582,0.008259,0.020119,0.997027,0.029976
9769498911,1.069152,-0.246478,0.008808,0.019385,0.995582,0.029230
9769501408,1.069304,-0.368174,-0.051217,0.017190,0.995595,0.030660
9769503906,1.008487,-0.428974,-0.111792,0.017937,0.997045,0.029952
9769506403,0.886704,-0.428878,-0.172917,0.015798,0.997081,0.025568
9769508901,0.825528,-0.428673,-0.112447,0.010722,0.997854,0.024792
9769511398,0.825528,-0.428673,-0.112447,0.013644,0.999283,0.024835
9769513896,0.764353,-0.428469,-0.051977,0.017223,0.999229,0.030688
9769516393,0.703555,-0.428473,-0.112884,0.017208,1.000671,0.033605
9769518891,0.703726,-0.489373,-0.173240,0.015007,0.997786,0.032833
9769521388,0.703877,-0.611069,-0.233265,0.016468,0.998500,0.032854
9769523886,0.764825,-0.732760,-0.232384,0.018656,0.999208,0.032884
9769526383,0.825849,-0.611269,-0.232829,0.017194,1.000665,0.035059
9769528881,0.826096,-0.428986,-0.294511,0.016433,0.998486,0.036487
9769531378,0.826134,-0.307395,-0.295174,0.017147,0.997026,0.036484
9769533876,0.826304,-0.368295,-0.355531,0.015693,0.997039,0.036468
9769536373,0.765129,-0.368091,-0.295061,0.017858,0.999186,0.040142
9769538871,0.765148,-0.307295,-0.295392,0.018600,0.999186,0.038697
9769541368,0.764958,-0.307191,-0.234704,0.021555,1.002800,0.037303
9769543866,0.764939,-0.367986,-0.234373,0.022302,1.004250,0.036595
9769546363,0.825926,-0.368086,-0.234154,0.017873,0.998468,0.037957
9769548861,0.886912,-0.368186,-0.233936,0.022935,0.997689,0.040187
9769551358,0.825736,-0.367982,-0.173466,0.029474,0.994734,0.038056
9769553856,0.703745,-0.428577,-0.173572,0.028047,0.996206,0.036598
9769556353,0.581791,-0.367582,-0.174340,0.025205,1.002050,0.035157
9769558851,0.459895,-0.124199,-0.176102,0.022312,1.000633,0.032208
9769561348,0.276974,-0.002307,-0.177420,0.019383,0.999202,0.032891
9769563846,0.155020,0.058689,-0.178189,0.021591,1.001366,0.032205
9769566343,0.094185,-0.062907,-0.238432,0.020859,0.998474,0.029995
9769568841,0.032990,-0.123498,-0.177631,0.020805,0.994832,0.032147
9769571338,-0.028015,-0.184194,-0.177518,0.025175,0.994073,0.030736
9769573836,-0.028205,-0.184089,-0.116830,0.025115,0.988981,0.032151
9769576333,-0.028205,-0.184089,-0.116830,0.020793,0.991207,0.029940
9769578831,0.154546,-0.245081,-0.055155,0.020793,0.991207,0.029940
9769581328,0.154546,-0.245081,-0.055155,0.021506,0.990471,0.030669
9769583826,0.093749,-0.245085,-0.116061,0.025903,0.991895,0.028548
9769586323,0.094128,-0.245294,-0.237438,0.020759,0.989021,0.031376
9769588820,0.033501,-0.306198,-0.358701,0.022920,0.987546,0.032116
9769591318,0.155643,-0.367299,-0.418621,0.020038,0.990478,0.032106
9769593815,0.216819,-0.367503,-0.479090,0.015703,0.991974,0.030616
9769596313,0.278222,-0.246220,-0.600911,0.018645,0.994859,0.029944
9769598810,0.400214,-0.185625,-0.600806,0.013512,0.995610,0.034980
9769601308,0.400214,-0.185625,-0.600806,0.017203,0.997773,0.031403
9769603805,0.399836,-0.185416,-0.479430,0.017972,0.997783,0.027051
9769606303,0.338660,-0.185212,-0.418960,0.016497,0.997064,0.028483
9769608800,0.216366,-0.002416,-0.299015,0.018718,1.002129,0.029272
9769611298,0.033464,0.180272,-0.300664,0.020123,1.001373,0.033643
9769613795,-0.088262,0.362755,-0.362784,0.013620,1.004341,0.032140
9769616293,-0.148983,0.605933,-0.425016,0.015055,1.000701,0.030675
9769618790,-0.087750,0.788116,-0.486480,0.016488,0.999956,0.032139
9769621288,-0.087692,0.970503,-0.487475,0.018666,1.005729,0.038020
9769623785,-0.148262,1.091986,-0.609732,0.018668,1.002833,0.035091
9769626283,-0.087257,1.152682,-0.609845,0.018621,0.999194,0.036517
9769628780,0.035076,1.091477,-0.730453,0.025142,1.001301,0.040965
9769631278,0.156953,0.787298,-0.728359,0.022246,1.004227,0.042409
9769633775,0.157027,0.422420,-0.787058,0.022952,1.004213,0.044597
9769636273,0.279094,0.118136,-0.845652,0.022218,1.004216,0.045315
9769638770,0.279188,-0.185947,-0.904683,0.018523,0.996983,0.044493
9769641268,0.217916,-0.489721,-0.842556,0.019997,1.000598,0.045990
9769643765,0.095659,-0.793395,-0.780647,0.020019,0.998435,0.041614
9769646263,0.034975,-1.036686,-0.900916,0.013571,1.002874,0.035762
9769648761,-0.025444,-1.036899,-1.083199,0.016598,1.005068,0.025638
9769651257,-0.024857,-0.976417,-1.265594,0.013020,1.004398,0.019052
9769653757,0.097154,-0.855025,-1.265821,0.009386,1.001534,0.016084
9769656254,0.524286,-0.734239,-1.325643,0.012967,0.998585,0.019008
9769658751,1.012045,-0.552548,-1.264203,0.013203,1.004471,0.000159
9769661249,1.195401,-0.492261,-1.385255,0.014979,1.008931,-0.028857
9769663746,1.012594,-0.613657,-1.445935,0.015021,1.009671,-0.032485
9769666244,0.586067,-0.613165,-1.568840,0.012195,1.012626,-0.038308
9769668741,0.037001,-0.612160,-1.510117,0.012006,1.009654,-0.021617
9769671239,-0.268233,-0.368268,-1.391159,0.014501,1.005844,0.017626
9769673737,-0.146543,-0.064281,-1.271003,0.018493,1.000591,0.051061
9769676234,0.402051,0.239006,-1.149319,0.018376,0.996200,0.059021
9769678731,0.828862,0.542388,-1.088760,0.019099,0.991124,0.054630
9769681229,0.950703,0.724680,-1.028630,0.022931,0.993343,0.036520
9769683726,0.585050,0.968359,-1.091954,0.017962,0.991986,0.022647
9769686224,-0.024965,1.091055,-1.034112,0.017100,0.993387,0.037910
9769688721,-0.695966,1.213852,-0.976489,0.018264,0.993984,0.068451
9769691219,-1.184065,1.153961,-0.917216,0.023154,0.997481,0.092514
9769693716,-1.550230,0.972279,-0.856844,0.028140,0.995224,0.101273
9769696214,-1.794347,0.425518,-0.854734,0.028371,0.997488,0.079490
9769698711,-1.977914,-0.303522,-0.730035,0.026237,0.988837,0.066319
9769701209,-2.160762,-1.154570,-0.847426,0.025568,0.987418,0.059034
9769703706,-2.221788,-1.884123,-0.904354,0.024310,0.988956,0.040136
9769706204,-2.221601,-2.492289,-1.022416,0.020290,0.994198,0.009608
9769708701,-2.099705,-2.735672,-1.020653,0.016178,0.998680,-0.012206
9769711199,-1.855778,-2.796868,-1.019448,0.015408,0.999393,-0.007122
9769713696,-1.306805,-2.493790,-1.019140,0.013841,0.999361,0.004488
9769716194,-0.514038,-2.069417,-0.957934,0.012959,0.989168,0.010942
9769718691,0.522713,-1.523853,-0.896517,0.011411,0.981179,0.013045
9769721189,1.620639,-0.978493,-0.895570,0.007138,0.984148,0.006480
9769723686,2.718566,-0.433133,-0.894623,0.007137,0.984872,0.007212
9769726184,3.633552,0.173323,-0.894663,0.012932,0.986261,0.010920
9769728681,4.304347,0.597897,-0.833893,0.012910,0.988425,0.015297
