Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9769450047,-0.012519,-1.331705,0.408661
9769499716,-0.012811,-1.331944,0.429441
9769549372,0.004945,-1.331993,0.429635
9769599036,-0.003790,-1.322806,0.419201
9769648703,-0.012811,-1.331944,0.429441
9769698366,0.004947,-1.332012,0.429666
9769748032,-0.003929,-1.341020,0.429501
9769797697,-0.003927,-1.341040,0.429532
9769847364,-0.021402,-1.331641,0.408508
9769897033,-0.012665,-1.340847,0.418973
9769946691,-0.004074,-1.323103,0.440070
9769996357,-0.012523,-1.340699,0.408541
9770046024,-0.012239,-1.331370,0.387740
9770095682,-0.012374,-1.349622,0.398100
9770145348,-0.003503,-1.340576,0.398207
9770195005,-0.021400,-1.340674,0.408444
9770244662,-0.012382,-1.331518,0.398172
9770294332,-0.003646,-1.331691,0.408703
9770344001,-0.012378,-1.340570,0.398136
9770393673,-0.003497,-1.349647,0.398197
9770443339,-0.012091,-1.340293,0.377293
9770493003,-0.003503,-1.340576,0.398207
9770542659,-0.012386,-1.331480,0.398120
9770592315,-0.012244,-1.331331,0.387690
9770641966,-0.012100,-1.331202,0.377284
9770691612,-0.020973,-1.340229,0.377150
9770741261,-0.011945,-1.349197,0.366823
9770790911,-0.003073,-1.340150,0.366934
9770840559,-0.020689,-1.339933,0.356287
9770890218,-0.003503,-1.340576,0.398207
9770939877,-0.003352,-1.349518,0.387789
9770989533,-0.011811,-1.339958,0.356384
9771039196,-0.002782,-1.357957,0.345996
9771088855,-0.011228,-1.375572,0.314513
9771138520,-0.010795,-1.384199,0.283192
9771188193,-0.001781,-1.375004,0.272885
9771237862,-0.010517,-1.374831,0.262356
9771287523,-0.019247,-1.374697,0.251837
9771337188,-0.019396,-1.365774,0.262302
9771386861,-0.010513,-1.383883,0.262320
9771436527,-0.001781,-1.375004,0.272885
9771486193,-0.010802,-1.366095,0.283265
9771535858,0.006388,-1.375790,0.325154
9771585528,0.014829,-1.358136,0.356603
9771635185,0.023564,-1.358309,0.367132
9771684856,0.014397,-1.331463,0.388055
9771734531,0.022696,-1.322991,0.429865
9771784196,0.013396,-1.314416,0.461205
9771833865,-0.004655,-1.305554,0.481804
9771883534,0.004080,-1.305727,0.492332
9771933203,-0.004659,-1.296502,0.481840
9771982861,-0.004801,-1.296651,0.492271
9772032520,0.012954,-1.296700,0.492466
9772082178,0.013242,-1.305456,0.471566
9772131845,-0.013108,-1.305066,0.450378
9772181514,-0.003652,-1.322620,0.408711
9772231193,-0.012237,-1.331389,0.387764
9772280861,-0.020683,-1.349004,0.356271
9772330525,-0.011512,-1.375868,0.335376
9772380196,-0.046881,-1.366609,0.324623
9772429863,-0.064210,-1.375106,0.293057
9772479529,-0.046315,-1.365976,0.282867
9772529194,-0.046452,-1.375196,0.293273
9772579776,-0.037153,-1.365704,0.262101
9772629446,-0.028418,-1.365877,0.272630
9772679120,-0.028416,-1.365897,0.272638
9772728791,-0.028413,-1.365917,0.272645
9772778457,-0.019679,-1.375102,0.283122
9772828124,-0.010664,-1.356895,0.272868
9772877793,-0.011089,-1.366372,0.304118
9772927458,-0.002492,-1.375745,0.325042
9772977109,0.005517,-1.340452,0.387873
9773026768,0.005225,-1.322645,0.408808
9773076421,0.004795,-1.314038,0.440139
9773126085,0.004365,-1.305431,0.471469
9773175749,0.003944,-1.296898,0.502966
9773225418,-0.005091,-1.278862,0.513250
9773275096,-0.005377,-1.279140,0.534070
9773324760,0.021407,-1.288155,0.523983
9773374426,0.003359,-1.270297,0.544730
9773424088,0.003780,-1.260782,0.513420
9773473751,0.003786,-1.269853,0.513427
9773523418,0.013094,-1.278485,0.482184
9773573091,0.004223,-1.287530,0.482089
9773622759,0.004794,-1.305005,0.440207
9773672423,0.005231,-1.322683,0.408864
9773722088,-0.012382,-1.331518,0.398172
9773771760,-0.021258,-1.340526,0.398013
9773821429,-0.012094,-1.340273,0.377270
9773871098,-0.003071,-1.340169,0.366956
9773920772,0.005665,-1.340343,0.377488
9773970450,0.005803,-1.331142,0.367089
9774020123,0.005947,-1.340027,0.356599
9774069801,0.023708,-1.340115,0.356833
9774119474,0.014831,-1.349123,0.356679
9774169146,0.014552,-1.349458,0.377595
9774218822,0.023130,-1.331617,0.398561
9774268499,0.031576,-1.314002,0.430060
9774318167,0.031434,-1.314150,0.440495
9774367843,0.013102,-1.296589,0.482111
9774417515,0.004224,-1.296564,0.482014
9774467186,0.003936,-1.287809,0.502919
9774516845,0.003790,-1.278905,0.513390
9774566505,0.003804,-1.297065,0.513447
9774616163,0.021837,-1.296762,0.492643
9774665822,0.021980,-1.296614,0.482208
9774715476,0.039736,-1.296664,0.482403
9774765129,0.039874,-1.287463,0.472004
9774814783,0.022406,-1.296169,0.450905
9774864437,0.031139,-1.287290,0.461473
9774914101,0.004648,-1.296101,0.450677
9774963770,0.022413,-1.305240,0.450902
9775013436,0.014248,-1.322541,0.398500
9775063106,0.022982,-1.304647,0.409158
9775112769,0.022844,-1.322881,0.419492
9775162423,0.031576,-1.314002,0.430060
9775212079,0.013379,-1.278188,0.461315
9775261736,0.030708,-1.278683,0.492813
9775311388,0.038725,-1.261493,0.555589
9775361040,0.029554,-1.234625,0.576522
9775410695,0.028683,-1.199289,0.639222
9775460356,0.010924,-1.190187,0.639064
9775510014,0.019517,-1.190508,0.660031
9775559673,0.019221,-1.163648,0.681009
9775609327,0.018639,-1.137069,0.722781
9775658983,0.017915,-1.101617,0.775173
9775708671,0.035810,-1.092467,0.764969
9775758303,0.008440,-1.038807,0.816980
9775807954,0.017025,-1.011985,0.838143
9775857603,0.043796,-0.993820,0.828162
