Timestamp (us),W Element,X Element,Y Element,Z Element
9769428983,0.001532,0.014883,0.697387,0.716709
9769431480,0.001531,0.014863,0.697408,0.716689
9769433988,0.001529,0.014845,0.697429,0.716668
9769436476,0.001526,0.014829,0.697449,0.716649
9769438971,0.001524,0.014813,0.697466,0.716633
9769441469,0.001522,0.014799,0.697484,0.716616
9769443966,0.001524,0.014785,0.697502,0.716598
9769446464,0.001528,0.014771,0.697520,0.716581
9769448961,0.001532,0.014759,0.697536,0.716565
9769451459,0.001535,0.014748,0.697550,0.716552
9769453956,0.001538,0.014739,0.697562,0.716540
9769456454,0.001542,0.014731,0.697572,0.716531
9769458951,0.001548,0.014726,0.697583,0.716521
9769461448,0.001554,0.014723,0.697594,0.716510
9769463946,0.001562,0.014720,0.697609,0.716495
9769466444,0.001572,0.014717,0.697627,0.716478
9769468941,0.001583,0.014714,0.697648,0.716458
9769471438,0.001595,0.014710,0.697670,0.716437
9769473936,0.001606,0.014707,0.697692,0.716415
9769476434,0.001614,0.014703,0.697713,0.716394
9769478931,0.001621,0.014698,0.697733,0.716375
9769481428,0.001625,0.014694,0.697753,0.716356
9769483926,0.001629,0.014694,0.697772,0.716338
9769486423,0.001634,0.014697,0.697788,0.716321
9769488921,0.001640,0.014702,0.697802,0.716307
9769491419,0.001648,0.014707,0.697815,0.716295
9769493916,0.001653,0.014712,0.697829,0.716281
9769496414,0.001656,0.014716,0.697843,0.716267
9769498911,0.001660,0.014722,0.697859,0.716252
9769501408,0.001668,0.014727,0.697874,0.716236
9769503906,0.001676,0.014733,0.697889,0.716222
9769506403,0.001687,0.014737,0.697903,0.716208
9769508901,0.001698,0.014740,0.697916,0.716195
9769511398,0.001708,0.014745,0.697930,0.716182
9769513896,0.001716,0.014751,0.697940,0.716172
9769516393,0.001725,0.014756,0.697949,0.716163
9769518891,0.001737,0.014761,0.697958,0.716154
9769521388,0.001751,0.014767,0.697967,0.716145
9769523886,0.001766,0.014775,0.697977,0.716135
9769526383,0.001780,0.014781,0.697988,0.716125
9769528881,0.001792,0.014784,0.697998,0.716115
9769531378,0.001802,0.014784,0.698008,0.716105
9769533876,0.001814,0.014784,0.698018,0.716095
9769536373,0.001825,0.014786,0.698026,0.716087
9769538871,0.001835,0.014787,0.698035,0.716079
9769541368,0.001842,0.014789,0.698043,0.716070
9769543866,0.001851,0.014793,0.698053,0.716061
9769546363,0.001861,0.014795,0.698062,0.716052
9769548861,0.001869,0.014799,0.698072,0.716042
9769551358,0.001885,0.014816,0.698081,0.716033
9769553856,0.001902,0.014833,0.698089,0.716025
9769556353,0.001920,0.014848,0.698095,0.716018
9769558851,0.001934,0.014859,0.698100,0.716013
9769561348,0.001947,0.014867,0.698103,0.716011
9769563846,0.001959,0.014874,0.698103,0.716010
9769566343,0.001974,0.014883,0.698103,0.716010
9769568841,0.001988,0.014893,0.698102,0.716011
9769571338,0.002003,0.014905,0.698099,0.716013
9769573836,0.002016,0.014919,0.698097,0.716015
9769576333,0.002031,0.014931,0.698095,0.716017
9769578831,0.002046,0.014945,0.698096,0.716015
9769581328,0.002060,0.014959,0.698096,0.716014
9769583826,0.002074,0.014973,0.698097,0.716014
9769586323,0.002092,0.014984,0.698096,0.716014
9769588820,0.002111,0.014995,0.698095,0.716015
9769591318,0.002133,0.015005,0.698095,0.716014
9769593815,0.002158,0.015013,0.698097,0.716012
9769596313,0.002181,0.015018,0.698100,0.716009
9769598810,0.002205,0.015021,0.698104,0.716006
9769601308,0.002223,0.015020,0.698108,0.716001
9769603805,0.002239,0.015021,0.698114,0.715995
9769606303,0.002254,0.015022,0.698119,0.715991
9769608800,0.002264,0.015023,0.698121,0.715989
9769611298,0.002271,0.015022,0.698119,0.715990
9769613795,0.002278,0.015014,0.698116,0.715993
9769616293,0.002282,0.015003,0.698112,0.715997
9769618790,0.002284,0.014988,0.698109,0.716000
9769621288,0.002282,0.014971,0.698105,0.716005
9769623785,0.002280,0.014950,0.698100,0.716011
9769626283,0.002278,0.014928,0.698096,0.716015
9769628780,0.002276,0.014907,0.698092,0.716019
9769631278,0.002280,0.014890,0.698090,0.716021
9769633775,0.002290,0.014878,0.698088,0.716024
