Timestamp (us),Percentage (%),Power (dBm)
9770173366,98.000000,-51.000000
9771165490,86.000000,-57.000000
9772160090,100.000000,-49.000000
9773166277,100.000000,-49.000000
9774172764,98.000000,-51.000000
9775169246,96.000000,-52.000000
9776178232,88.000000,-56.000000
9777164771,96.000000,-52.000000
9778161239,88.000000,-56.000000
9779170223,74.000000,-63.000000
9780164224,68.000000,-66.000000
9781170714,70.000000,-65.000000
9782168061,90.000000,-55.000000
9783166208,76.000000,-62.000000
9784155241,86.000000,-57.000000
9785169222,98.000000,-51.000000
9786168190,100.000000,-49.000000
9787162190,100.000000,-49.000000
9788165742,100.000000,-45.000000
9789157686,100.000000,-50.000000
9790166671,90.000000,-55.000000
9791170662,94.000000,-53.000000
9792171339,88.000000,-56.000000
9793161164,98.000000,-51.000000
9794160187,80.000000,-60.000000
9795154160,100.000000,-48.000000
9796168142,98.000000,-51.000000
9797159645,100.000000,-44.000000
9798171128,100.000000,-46.000000
9799157290,98.000000,-51.000000
9800170739,84.000000,-58.000000
9801158156,82.000000,-59.000000
9802159621,78.000000,-61.000000
9803166129,74.000000,-63.000000
9804160114,76.000000,-62.000000
9805161030,72.000000,-64.000000
9806155635,100.000000,-50.000000
9807164821,100.000000,-50.000000
9808166089,98.000000,-51.000000
9809170081,98.000000,-51.000000
9810169078,98.000000,-51.000000
9811167248,80.000000,-60.000000
9812159608,82.000000,-59.000000
9813163586,66.000000,-67.000000
9814157589,74.000000,-63.000000
9815169058,72.000000,-64.000000
9816170570,82.000000,-59.000000
9817169548,94.000000,-53.000000
9818163551,100.000000,-49.000000
9819162548,100.000000,-46.000000
9820159059,100.000000,-48.000000
9821170546,96.000000,-52.000000
9822172027,96.000000,-52.000000
9823171024,98.000000,-51.000000
9824172546,76.000000,-62.000000
9825166520,88.000000,-56.000000
9826169652,100.000000,-49.000000
9827157077,96.000000,-52.000000
9828173502,100.000000,-47.000000
9829167534,78.000000,-61.000000
9830164006,70.000000,-65.000000
9831167705,90.000000,-55.000000
9832169492,72.000000,-64.000000
9833163508,74.000000,-63.000000
9834173569,62.000000,-69.000000
9835163987,68.000000,-66.000000
9836165098,96.000000,-52.000000
9837164479,90.000000,-55.000000
9838168470,100.000000,-48.000000
9839159976,94.000000,-53.000000
