Timestamp (us),Temperature (degC)
9770240665,39.625000
9771239661,39.625000
9772238656,39.625000
9773238572,39.625000
9774237567,39.625000
9775236564,39.625000
9776235557,39.625000
9777234559,39.625000
9778233549,39.674999
9779232545,39.750000
9780231539,39.750000
9781230535,39.650002
9782229534,39.625000
9783228528,39.625000
9784227523,39.625000
9785226521,39.750000
9786225517,39.750000
9787224511,39.750000
9788223508,39.750000
9789222505,39.750000
9790221501,39.750000
9791220495,39.674999
9792219492,39.674999
9793218489,39.750000
9794217484,39.750000
9795216480,39.750000
9796215498,39.750000
9797214475,39.750000
9798213470,39.750000
9799212466,39.750000
9800211464,39.750000
9801210460,39.750000
9802209461,39.750000
9803208452,39.750000
9804207450,39.750000
9805206445,39.849998
9806205441,39.875000
9807204440,39.849998
9808203437,39.750000
9809202432,39.750000
9810201429,39.750000
9811200427,39.750000
9812199424,39.750000
9813198419,39.750000
9814197416,39.750000
9815196414,39.750000
9816195409,39.750000
9817194406,39.750000
9818193403,39.750000
9819192401,39.750000
9820191397,39.750000
9821190394,39.775002
9822189393,39.875000
9823188390,39.750000
9824187386,39.750000
9825186383,39.750000
9826185382,39.750000
9827184378,39.875000
9828183375,39.775002
9829182374,39.750000
9830181372,39.750000
9831180368,39.750000
9832179365,39.750000
9833178364,39.750000
9834177360,39.750000
9835176357,39.750000
9836175356,39.750000
9837174353,39.750000
9838173349,39.750000
9839172347,39.750000
