Timestamp (us),Percentage (%),Voltage (V),Charging Status
9769622151,85.551064,3.855511,0.000000
9770622683,85.533607,3.855336,0.000000
9771623221,85.536293,3.855363,0.000000
9772623752,85.538979,3.855390,0.000000
9773624283,85.534958,3.855350,0.000000
9774624832,85.541672,3.855417,0.000000
9775625362,85.522858,3.855229,0.000000
9776625896,85.517502,3.855175,0.000000
9777626441,85.502724,3.855027,0.000000
9778626975,85.498695,3.854987,0.000000
9779627508,85.514809,3.855148,0.000000
9780628046,85.487953,3.854879,0.000000
9781628577,85.500038,3.855000,0.000000
9782629108,85.473190,3.854732,0.000000
9783629662,85.496002,3.854960,0.000000
9784630192,85.473190,3.854732,0.000000
9785630723,85.506752,3.855067,0.000000
9786631256,85.482590,3.854826,0.000000
9787631814,85.461098,3.854611,0.000000
9788632344,85.491982,3.854920,0.000000
9789632877,85.473190,3.854732,0.000000
9790633412,85.475868,3.854759,0.000000
9791633942,85.470497,3.854705,0.000000
9792634474,85.461098,3.854611,0.000000
9793635023,85.473183,3.854732,0.000000
9794635557,85.439606,3.854396,0.000000
9796636646,85.434250,3.854343,0.000000
9797637177,85.451691,3.854517,0.000000
9798637708,85.439613,3.854396,0.000000
9799638259,85.407387,3.854074,0.000000
9800638789,85.419472,3.854195,0.000000
9801639320,85.410072,3.854101,0.000000
9802639856,85.408737,3.854087,0.000000
9803640392,85.430222,3.854302,0.000000
9804640925,85.423500,3.854235,0.000000
9805641456,85.399330,3.853993,0.000000
9806642011,85.403358,3.854034,0.000000
9807642544,85.399338,3.853993,0.000000
9808643075,85.373825,3.853738,0.000000
9809643625,85.332191,3.853322,0.000000
9810644157,85.389931,3.853899,0.000000
9811644689,85.387245,3.853872,0.000000
9812645247,85.373810,3.853738,0.000000
9813645778,85.348305,3.853483,0.000000
9814646309,85.353676,3.853537,0.000000
9815646866,85.338905,3.853389,0.000000
9816647396,85.352325,3.853523,0.000000
9817647931,85.330856,3.853308,0.000000
9818648462,85.329498,3.853295,0.000000
9819649010,85.321449,3.853214,0.000000
9820649541,85.320099,3.853201,0.000000
9821650072,85.330849,3.853308,0.000000
9822650629,85.320107,3.853201,0.000000
9823651161,85.309364,3.853094,0.000000
9824651692,85.308014,3.853080,0.000000
9825652252,85.308014,3.853080,0.000000
9826652783,85.313400,3.853134,0.000000
9827653314,85.301300,3.853013,0.000000
9828653879,85.297272,3.852973,0.000000
9829654409,85.267731,3.852677,0.000000
9830654940,85.275787,3.852758,0.000000
9831655492,85.271767,3.852718,0.000000
9832656023,85.282509,3.852825,0.000000
9833656553,85.274445,3.852744,0.000000
9834657085,85.282509,3.852825,0.000000
9835657641,85.287880,3.852879,0.000000
9836658172,85.277138,3.852771,0.000000
9837658708,85.263702,3.852637,0.000000
9838659260,85.270416,3.852704,0.000000
