Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9769435158,-0.754931,0.646445,-1.027987
9769455053,-0.656931,0.744445,-0.880987
9769474948,-0.754931,0.646445,-0.880987
9769494842,-0.656931,0.646445,-0.880987
9769514738,-0.705931,0.695445,-0.880987
9769534632,-0.656931,0.548445,-0.929987
9769554526,-0.705931,0.597445,-0.929987
9769574420,-0.705931,0.548445,-0.978987
9769594314,-0.754931,0.646445,-0.880987
9769614208,-0.754931,0.646445,-0.880987
9769634102,-0.656931,0.499445,-0.929987
9769653995,-0.705931,0.695445,-0.978987
9769673889,-0.705931,0.646445,-0.831987
9769693783,-0.705931,0.695445,-0.929987
9769713678,-0.607931,0.646445,-0.880987
9769733573,-0.656931,0.646445,-0.929987
9769753469,-0.705931,0.548445,-0.880987
9769773364,-0.754931,0.597445,-0.880987
9769793259,-0.754931,0.695445,-0.978987
9769813154,-0.656931,0.597445,-0.929987
9769833047,-0.656931,0.548445,-0.880987
9769852941,-0.705931,0.646445,-0.880987
9769872836,-0.705931,0.695445,-0.929987
9769892731,-0.705931,0.744445,-0.831987
9769912626,-0.656931,0.548445,-0.880987
9769932521,-0.754931,0.548445,-0.880987
9769952416,-0.754931,0.646445,-0.880987
9769972310,-0.754931,0.548445,-0.880987
9769992204,-0.656931,0.597445,-0.831987
9770012099,-0.754931,0.646445,-0.880987
9770031993,-0.705931,0.646445,-0.831987
9770051888,-0.754931,0.695445,-0.929987
9770071781,-0.754931,0.646445,-0.929987
9770091675,-0.558931,0.695445,-0.782987
9770111586,-0.705931,0.548445,-1.027987
9770131467,-0.803931,0.646445,-0.880987
9770151361,-0.754931,0.646445,-0.929987
9770171255,-0.754931,0.695445,-0.782987
9770191149,-0.803931,0.597445,-0.880987
9770211044,-0.754931,0.695445,-0.929987
9770230938,-0.754931,0.597445,-0.782987
9770250834,-0.705931,0.646445,-0.880987
9770270730,-0.656931,0.646445,-0.880987
9770290625,-0.754931,0.548445,-0.880987
9770310521,-0.656931,0.548445,-0.880987
9770330417,-0.656931,0.597445,-0.880987
9770350312,-0.656931,0.548445,-0.782987
9770370207,-0.656931,0.597445,-0.831987
9770390103,-0.803931,0.695445,-0.880987
9770409999,-0.705931,0.646445,-0.831987
9770429895,-0.705931,0.597445,-0.831987
9770449790,-0.705931,0.646445,-0.880987
9770469686,-0.754931,0.597445,-0.929987
9770489582,-0.705931,0.597445,-0.929987
9770509477,-0.656931,0.548445,-0.831987
9770529373,-0.754931,0.597445,-0.929987
9770549267,-0.705931,0.597445,-0.929987
9770569162,-0.803931,0.646445,-0.880987
9770589056,-0.803931,0.597445,-0.831987
9770608953,-0.705931,0.646445,-0.929987
9770628849,-0.656931,0.548445,-0.880987
9770648743,-0.803931,0.548445,-0.831987
9770668637,-0.901931,0.646445,-0.978987
9770688532,-0.852931,0.646445,-1.027987
9770708428,-0.754931,0.793445,-0.831987
9770728324,-0.754931,0.646445,-0.978987
9770748219,-0.803931,0.744445,-1.027987
9770768114,-0.901931,0.548445,-1.174987
9770788007,-0.705931,0.352445,-1.321987
9770807902,-0.558931,0.548445,-1.174987
9770827797,-0.509931,0.793445,-1.174987
9770847691,-0.362931,0.891445,-1.076987
9770867587,-0.264931,0.597445,-0.978987
9770887482,-0.166931,0.548445,-0.782987
9770907378,-0.068931,0.597445,-0.831987
9770927273,0.029069,0.695445,-0.831987
9770947169,-0.068931,0.744445,-0.929987
9770967064,-0.068931,0.891445,-0.880987
9770986959,-0.117931,1.087445,-1.125987
9771006853,0.029069,1.283445,-1.223987
9771026748,0.078069,1.430445,-1.125987
9771046643,0.029069,1.528445,-1.027987
9771066538,0.176069,1.479445,-1.125987
9771086433,0.225069,1.479445,-1.125987
9771106329,0.274069,1.381445,-1.027987
9771126223,0.323069,1.185445,-0.880987
9771146118,0.470069,1.136445,-0.831987
9771166012,0.421069,0.940445,-0.929987
9771185905,0.176069,0.695445,-0.880987
9771205800,-0.117931,0.597445,-1.076987
9771225694,-0.166931,0.401445,-1.027987
9771245589,-0.215931,0.303445,-1.076987
9771265483,0.029069,0.254445,-1.125987
9771285377,0.225069,0.254445,-1.027987
9771305271,0.078069,0.303445,-1.125987
9771325166,0.225069,0.352445,-1.125987
9771345061,0.274069,0.597445,-1.125987
9771364956,0.323069,0.450445,-1.125987
9771384849,0.323069,0.499445,-1.174987
9771404744,0.078069,0.646445,-1.076987
9771424640,0.078069,0.744445,-1.076987
9771444535,0.127069,0.842445,-0.978987
9771464428,0.176069,0.793445,-1.027987
9771484323,0.225069,0.989445,-0.929987
9771504217,0.274069,1.136445,-0.831987
9771524112,0.274069,1.087445,-0.831987
9771544007,0.274069,1.185445,-1.027987
9771563903,0.274069,1.381445,-0.880987
9771583798,0.470069,1.332445,-0.831987
9771603695,0.421069,1.136445,-0.978987
9771623590,0.176069,1.283445,-0.831987
9771643487,-0.166931,1.332445,-0.978987
9771663383,-0.362931,1.283445,-0.880987
9771683278,-0.558931,1.332445,-0.978987
9771703173,-0.705931,1.381445,-0.978987
9771723068,-0.852931,1.430445,-1.125987
9771742963,-0.705931,1.283445,-1.223987
9771762858,-0.509931,1.283445,-0.880987
9771782752,-0.264931,1.136445,-0.978987
9771802648,-0.313931,0.842445,-0.831987
9771822543,-0.509931,0.646445,-0.880987
9771842439,-0.411931,0.597445,-0.831987
9771862336,-0.117931,0.695445,-0.684987
9771882232,0.029069,0.548445,-0.684987
9771902128,-0.019931,0.401445,-0.880987
9771922026,-0.166931,0.450445,-0.929987
9771941922,-0.362931,0.401445,-0.880987
9771961817,-0.264931,0.205445,-0.831987
9771981713,-0.362931,0.303445,-0.831987
9772001609,-0.264931,0.401445,-0.929987
9772021505,-0.166931,0.450445,-0.831987
9772041401,-0.313931,0.499445,-0.929987
9772061296,-0.313931,0.646445,-0.831987
9772081191,-0.411931,0.793445,-0.929987
9772101085,-0.313931,0.891445,-0.978987
9772120981,-0.362931,1.038445,-0.880987
9772140876,-0.460931,1.234445,-1.027987
9772160770,-0.509931,1.283445,-1.174987
9772180665,-0.411931,1.381445,-1.027987
9772200559,-0.362931,1.577445,-1.027987
9772220454,-0.215931,1.724445,-0.978987
9772240349,-0.166931,1.724445,-0.978987
9772260244,-0.117931,1.626445,-0.929987
9772280166,-0.166931,1.626445,-0.880987
9772300033,-0.117931,1.528445,-0.782987
9772319929,0.127069,1.332445,-0.782987
9772339825,0.078069,1.136445,-0.929987
9772359719,-0.068931,0.989445,-0.929987
9772379614,-0.019931,0.842445,-1.027987
9772399507,0.274069,0.744445,-1.027987
9772419400,0.470069,0.548445,-0.978987
9772439295,0.323069,0.597445,-0.831987
9772459190,0.372069,0.597445,-1.027987
9772479085,0.372069,0.499445,-0.978987
9772498980,0.372069,0.401445,-1.027987
9772518874,0.372069,0.401445,-1.125987
9772538768,0.323069,0.352445,-1.174987
9772558663,0.274069,0.401445,-1.174987
9772578557,0.470069,0.401445,-1.027987
9772598453,0.470069,0.450445,-0.978987
9772618348,0.421069,0.352445,-1.076987
9772638242,0.274069,0.352445,-1.125987
9772658138,0.323069,0.254445,-0.929987
9772678032,0.274069,0.352445,-1.027987
9772697926,0.372069,0.401445,-1.027987
9772717821,0.323069,0.548445,-1.027987
9772737716,0.421069,0.499445,-1.027987
9772757612,0.323069,0.548445,-0.978987
9772777507,0.372069,0.744445,-0.929987
9772797402,0.323069,0.842445,-0.929987
9772817298,0.323069,0.891445,-0.978987
9772837192,0.323069,1.038445,-0.929987
9772857087,0.372069,1.038445,-0.929987
9772876983,0.372069,1.185445,-0.978987
9772896879,0.421069,1.381445,-0.929987
9772916774,0.323069,1.430445,-0.782987
9772936669,0.225069,1.381445,-0.782987
9772956564,-0.019931,1.430445,-0.880987
9772976459,-0.313931,1.381445,-0.733987
9772996372,-0.509931,1.332445,-1.076987
9773016247,-0.607931,1.430445,-1.076987
9773036142,-0.558931,1.479445,-1.027987
9773056037,-0.509931,1.332445,-1.027987
9773075931,-0.558931,1.234445,-0.978987
9773095828,-0.362931,1.234445,-0.929987
9773115723,-0.215931,1.038445,-0.831987
9773135618,-0.264931,0.793445,-1.027987
9773155513,-0.362931,0.793445,-1.027987
9773175409,-0.215931,0.401445,-1.027987
9773195305,-0.166931,0.401445,-0.831987
9773215200,-0.068931,0.352445,-0.782987
9773235096,-0.215931,0.303445,-0.929987
9773254991,-0.313931,0.352445,-0.978987
9773274886,-0.166931,0.303445,-1.027987
9773294782,-0.166931,0.254445,-0.880987
9773314678,-0.264931,0.303445,-0.929987
9773334572,-0.264931,0.303445,-0.929987
9773354467,-0.460931,0.352445,-0.978987
9773374363,-0.411931,0.303445,-0.929987
9773394258,-0.460931,0.450445,-0.929987
9773414153,-0.264931,0.646445,-0.929987
9773434049,-0.558931,0.842445,-1.027987
9773453943,-0.607931,0.940445,-0.978987
9773473837,-0.558931,1.038445,-1.027987
9773493732,-0.362931,1.185445,-1.125987
9773513628,-0.215931,1.283445,-0.978987
9773533523,-0.166931,1.381445,-0.978987
9773553419,-0.068931,1.626445,-0.880987
9773573314,-0.264931,1.626445,-0.929987
9773593208,-0.264931,1.675445,-0.978987
9773613102,-0.264931,1.724445,-0.978987
9773632996,-0.166931,1.626445,-0.733987
9773652890,-0.019931,1.479445,-0.733987
9773672784,-0.068931,1.332445,-0.978987
9773692678,-0.068931,1.136445,-0.782987
9773712577,-0.068931,0.891445,-0.929987
9773732468,0.078069,0.842445,-1.027987
9773752363,0.274069,0.646445,-0.831987
9773772257,0.372069,0.597445,-1.125987
9773792152,0.470069,0.401445,-0.880987
9773812046,0.323069,0.548445,-0.733987
9773831941,0.274069,0.548445,-1.027987
9773851836,0.274069,0.499445,-1.174987
9773871731,0.323069,0.548445,-1.174987
9773891627,0.274069,0.499445,-0.978987
9773911522,0.225069,0.548445,-1.125987
9773931417,0.225069,0.499445,-1.076987
9773951311,0.176069,0.548445,-1.027987
9773971205,0.225069,0.499445,-1.027987
9773991100,0.176069,0.597445,-0.880987
9774010995,0.372069,0.548445,-0.929987
9774030890,0.323069,0.646445,-0.929987
9774050785,0.372069,0.744445,-0.831987
9774070680,0.176069,0.695445,-0.978987
9774090575,0.176069,0.744445,-1.027987
9774110469,0.078069,0.793445,-0.978987
9774130362,0.127069,0.940445,-0.978987
9774150256,0.372069,1.234445,-0.880987
9774170149,0.421069,1.087445,-1.076987
9774190045,0.176069,1.136445,-1.076987
9774209942,0.029069,1.577445,-0.782987
9774229837,0.029069,1.381445,-0.831987
9774249731,-0.068931,1.479445,-1.027987
9774269626,-0.166931,1.528445,-0.929987
