Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9769422754,-1.706454,1.356636,0.120195,-0.657396,0.644803,-0.362333
9769425250,-1.706454,1.356636,0.120195,-0.655905,0.648430,-0.362242
9769427745,-1.706454,1.356636,0.120195,-0.658759,0.650679,-0.364433
9769430240,-1.828395,1.235666,0.058898,-0.658714,0.655048,-0.364352
9769432736,-1.888986,1.236466,-0.062621,-0.658028,0.649956,-0.365163
9769435232,-1.888739,1.237018,-0.184049,-0.663019,0.654434,-0.368805
9769437727,-1.888545,1.297889,-0.183848,-0.660795,0.654461,-0.371682
9769440223,-1.888739,1.237018,-0.184049,-0.660882,0.652204,-0.367354
9769442718,-1.827901,1.236770,-0.183959,-0.661753,0.648450,-0.360152
9769445213,-1.767256,1.175652,-0.184071,-0.662419,0.649245,-0.363791
9769447709,-1.645650,1.114561,-0.244806,-0.663088,0.650757,-0.366688
9769450204,-1.706559,1.054214,-0.305812,-0.661652,0.650002,-0.365950
9769452700,-1.828236,1.054710,-0.305992,-0.666798,0.650707,-0.361650
9769455195,-1.889198,1.054682,-0.245368,-0.662367,0.654343,-0.363697
9769457691,-1.889004,1.115552,-0.245166,-0.665184,0.660233,-0.365820
9769460187,-1.767080,1.115609,-0.366415,-0.668099,0.659532,-0.365881
9769462682,-1.645279,1.115389,-0.426949,-0.671047,0.656635,-0.365254
9769465177,-1.645527,1.114837,-0.305520,-0.669561,0.656657,-0.367415
9769467673,-1.585006,1.053443,-0.244917,-0.673196,0.658853,-0.365977
9769470168,-1.524220,1.113513,-0.123197,-0.674013,0.652998,-0.363912
9769472664,-1.463506,1.112990,-0.062393,-0.671779,0.653037,-0.367517
9769475160,-1.402597,1.173337,-0.001387,-0.666002,0.654378,-0.363756
9769477655,-1.219570,1.294611,-0.061428,-0.664587,0.655760,-0.360065
9769480150,-1.097558,1.476175,0.060785,-0.665972,0.659451,-0.362205
9769482646,-1.036455,1.597392,0.121992,-0.660891,0.656513,-0.363633
