Timestamp (us),Percentage (%),Power (dBm)
9770291305,90.000000,-55.000000
9771287028,92.000000,-54.000000
9772289266,96.000000,-52.000000
9773290013,96.000000,-52.000000
9774295741,96.000000,-52.000000
9775284804,88.000000,-56.000000
9776290486,90.000000,-55.000000
9777298650,88.000000,-56.000000
9778286848,96.000000,-52.000000
9779303966,76.000000,-62.000000
9780293223,82.000000,-59.000000
9781301403,82.000000,-59.000000
9782309611,74.000000,-63.000000
9783302383,64.000000,-68.000000
9784288508,66.000000,-67.000000
9785289201,82.000000,-59.000000
9786289893,94.000000,-53.000000
9787295594,84.000000,-58.000000
9788293776,86.000000,-57.000000
9789291976,78.000000,-61.000000
9790287703,94.000000,-53.000000
9791293359,94.000000,-53.000000
9792286135,96.000000,-52.000000
9793299735,82.000000,-59.000000
9794290292,92.000000,-54.000000
9795291158,94.000000,-53.000000
9796290307,84.000000,-58.000000
9797292560,96.000000,-52.000000
9798303218,88.000000,-56.000000
9799290345,66.000000,-67.000000
9800290358,70.000000,-65.000000
9801297796,70.000000,-65.000000
9802295195,82.000000,-59.000000
9803285334,82.000000,-59.000000
9804294890,84.000000,-58.000000
9805288123,92.000000,-54.000000
9806286295,92.000000,-54.000000
9807292005,90.000000,-55.000000
9808299338,94.000000,-53.000000
9809288405,94.000000,-53.000000
9810289086,86.000000,-57.000000
9811290499,100.000000,-50.000000
9812287963,94.000000,-53.000000
9813293651,86.000000,-57.000000
9814294343,82.000000,-59.000000
9815290047,68.000000,-66.000000
9816288263,62.000000,-69.000000
9817286473,68.000000,-66.000000
9818296704,82.000000,-59.000000
9819292855,96.000000,-52.000000
9820289880,88.000000,-56.000000
9821296737,94.000000,-53.000000
9822294913,90.000000,-55.000000
9823298106,84.000000,-58.000000
9824290481,96.000000,-52.000000
9825304484,90.000000,-55.000000
9826292732,92.000000,-54.000000
9827295143,90.000000,-55.000000
9828290039,76.000000,-62.000000
9829297284,66.000000,-67.000000
9830297152,72.000000,-64.000000
9831296224,68.000000,-66.000000
9832303507,70.000000,-65.000000
9833292607,68.000000,-66.000000
9834292913,76.000000,-62.000000
9835291507,86.000000,-57.000000
9836290819,82.000000,-59.000000
9837285409,86.000000,-57.000000
9838291100,74.000000,-63.000000
9839286770,80.000000,-60.000000
