Timestamp (us),Percentage (%),Voltage (V),Charging Status
9769789616,92.893463,3.928935,0.000000
9770790155,92.892120,3.928921,0.000000
9771790686,92.898834,3.928989,0.000000
9772791217,92.894806,3.928948,0.000000
9773791748,92.865265,3.928653,0.000000
9774792280,92.861237,3.928612,0.000000
9775792848,92.863922,3.928639,0.000000
9776793379,92.858551,3.928586,0.000000
9777793910,92.841095,3.928411,0.000000
9778794442,92.867950,3.928680,0.000000
9779794974,92.880035,3.928800,0.000000
9780795504,92.858551,3.928586,0.000000
9781796057,92.870644,3.928706,0.000000
9782796588,92.869301,3.928693,0.000000
9783797119,92.865273,3.928653,0.000000
9784797650,92.861237,3.928612,0.000000
9785798181,92.861229,3.928612,0.000000
9786798749,92.855858,3.928559,0.000000
9787799279,92.837074,3.928371,0.000000
9788799810,92.841103,3.928411,0.000000
9789800344,92.839752,3.928397,0.000000
9790800876,92.827667,3.928277,0.000000
9791801407,92.850494,3.928505,0.000000
9792801967,92.838417,3.928384,0.000000
9793802497,92.829010,3.928290,0.000000
9794803029,92.830353,3.928303,0.000000
9795803563,92.807526,3.928075,0.000000
9796804093,92.795433,3.927954,0.000000
9797804628,92.841103,3.928411,0.000000
9798805183,92.788719,3.927887,0.000000
9799805714,92.811554,3.928116,0.000000
9800806246,92.806183,3.928062,0.000000
9801806779,92.787384,3.927874,0.000000
9802807310,92.790070,3.927901,0.000000
9803807841,92.790062,3.927901,0.000000
9804808374,92.784698,3.927847,0.000000
9805808905,92.780670,3.927807,0.000000
9806809436,92.784698,3.927847,0.000000
9807809969,92.782013,3.927820,0.000000
9808810500,92.755157,3.927551,0.000000
9809811036,92.768585,3.927686,0.000000
9810811569,92.796776,3.927968,0.000000
9811812105,92.739037,3.927390,0.000000
9812812643,92.725624,3.927256,0.000000
9813813174,92.743073,3.927431,0.000000
9814813706,92.757835,3.927578,0.000000
9815814241,92.749786,3.927498,0.000000
9816814772,92.735008,3.927350,0.000000
9817815303,92.759186,3.927592,0.000000
9818815875,92.732330,3.927323,0.000000
9819816406,92.721588,3.927216,0.000000
9820816937,92.709503,3.927095,0.000000
9821817468,92.708160,3.927081,0.000000
9822818013,92.725609,3.927256,0.000000
9823818580,92.713531,3.927135,0.000000
9824819111,92.705475,3.927055,0.000000
9825819647,92.708153,3.927081,0.000000
9826820180,92.709503,3.927095,0.000000
9827820714,92.712181,3.927122,0.000000
9828821244,92.714874,3.927149,0.000000
9829821814,92.694733,3.926947,0.000000
9830822348,92.666534,3.926666,0.000000
9831822879,92.670555,3.926706,0.000000
9832823412,92.685326,3.926853,0.000000
9833823943,92.697418,3.926974,0.000000
9834824474,92.696075,3.926961,0.000000
9835825005,92.708153,3.927081,0.000000
9836825537,92.677269,3.926773,0.000000
9837826071,92.688011,3.926880,0.000000
9838826603,92.682648,3.926826,0.000000
