Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9769472723,0.250034,0.634954,0.517882
9769493164,0.250034,0.634954,0.566882
9769513606,0.201034,0.683954,0.566882
9769534047,0.250034,0.634954,0.468882
9769554489,0.299034,0.634954,0.566882
9769574931,0.250034,0.634954,0.566882
9769595410,0.299034,0.683954,0.566882
9769615816,0.250034,0.634954,0.517882
9769636258,0.250034,0.683954,0.566882
9769656700,0.250034,0.634954,0.517882
9769677141,0.201034,0.683954,0.468882
9769697582,0.201034,0.683954,0.566882
9769718024,0.250034,0.683954,0.517882
9769738467,0.299034,0.683954,0.566882
9769758908,0.250034,0.634954,0.566882
9769779349,0.299034,0.683954,0.517882
9769799791,0.201034,0.634954,0.517882
9769820232,0.348034,0.683954,0.517882
9769840674,0.201034,0.634954,0.566882
9769861117,0.201034,0.732954,0.566882
9769881558,0.250034,0.634954,0.517882
9769902000,0.250034,0.634954,0.615882
9769922443,0.250034,0.683954,0.566882
9769942886,0.299034,0.732954,0.566882
9769963330,0.250034,0.683954,0.517882
9769983772,0.299034,0.683954,0.517882
9770004214,0.299034,0.634954,0.468882
9770024687,0.250034,0.683954,0.468882
9770045098,0.201034,0.634954,0.517882
9770065541,0.250034,0.634954,0.517882
9770085983,0.250034,0.683954,0.517882
9770106426,0.299034,0.683954,0.517882
9770126869,0.152034,0.683954,0.517882
9770147312,0.299034,0.634954,0.615882
9770167754,0.299034,0.683954,0.468882
9770188196,0.250034,0.634954,0.517882
9770208639,0.201034,0.585954,0.517882
9770229080,0.201034,0.585954,0.517882
9770249521,0.152034,0.634954,0.468882
9770269963,0.250034,0.585954,0.517882
9770290404,0.152034,0.732954,0.566882
9770310846,0.250034,0.683954,0.517882
9770331288,0.201034,0.634954,0.517882
9770351729,0.299034,0.634954,0.566882
9770372170,0.250034,0.634954,0.566882
9770392612,0.250034,0.732954,0.566882
9770413054,0.201034,0.683954,0.615882
9770433497,0.201034,0.683954,0.615882
9770453956,0.250034,0.781954,0.615882
9770474381,0.152034,0.585954,0.468882
9770494821,0.299034,0.781954,0.566882
9770515262,0.201034,0.634954,0.566882
9770535704,0.201034,0.536954,0.566882
9770556145,0.348034,0.585954,0.517882
9770576587,0.250034,0.585954,0.468882
9770597029,0.348034,0.634954,0.468882
9770617471,0.201034,0.683954,0.517882
9770637913,0.250034,0.683954,0.566882
9770658355,0.299034,0.683954,0.566882
9770678797,0.250034,0.732954,0.615882
9770699238,0.299034,0.683954,0.615882
9770719680,0.201034,0.732954,0.615882
9770740123,0.299034,0.781954,0.664882
9770760565,0.299034,0.781954,0.664882
9770781006,0.495034,0.634954,0.762882
9770801448,0.544034,0.536954,0.762882
9770821889,0.397034,0.536954,0.468882
9770842331,0.397034,0.781954,0.468882
9770862772,0.348034,0.781954,0.076882
9770883228,0.348034,0.438954,0.027882
9770903654,0.103034,0.291954,-0.119118
9770924095,0.103034,0.291954,-0.315118
9770944535,0.103034,0.487954,-0.315118
9770964976,0.250034,0.732954,-0.266118
9770985418,0.348034,0.879954,-0.168118
9771005859,0.348034,0.879954,-0.217118
9771026300,0.446034,1.173954,-0.413118
9771046743,0.397034,1.222954,-0.707118
9771067185,0.544034,1.320954,-0.756118
9771087627,0.495034,1.271954,-0.756118
9771108068,0.495034,1.320954,-0.707118
9771128510,0.397034,1.271954,-0.756118
9771148952,0.299034,1.173954,-0.707118
9771169394,0.250034,1.026954,-0.609118
9771189835,0.201034,0.781954,-0.462118
9771210275,0.397034,0.585954,-0.266118
