Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9769458064,-0.363744,0.913848,-0.349536,0.431194,0.767921,0.485841
9769460560,-0.180632,0.916688,-0.288116,0.429002,0.767923,0.487269
9769463056,-0.181023,0.916475,-0.166059,0.425371,0.767171,0.487958
9769465551,-0.120117,0.917351,-0.104899,0.425412,0.768562,0.483567
9769468047,-0.059210,0.918227,-0.043740,0.428317,0.767862,0.483616
9769470543,0.000453,0.980076,0.017623,0.429727,0.769374,0.486530
9769473039,0.000061,0.979863,0.139680,0.427527,0.769386,0.488687
9769475534,-0.119852,0.855846,0.200040,0.425330,0.767225,0.491602
9769478030,-0.178663,0.732811,0.260530,0.424592,0.767957,0.492310
9769480526,-0.176175,0.610864,0.260122,0.428248,0.768676,0.489435
9769483022,-0.176370,0.610758,0.321151,0.432604,0.767989,0.489504
9769485517,-0.300212,0.669554,0.443150,0.434014,0.769502,0.492419
9769488013,-0.361706,0.668359,0.565077,0.435436,0.770275,0.494614
9769490509,-0.424640,0.728030,0.748236,0.436858,0.771049,0.496810
9769493005,-0.486135,0.726835,0.870162,0.435382,0.769623,0.499725
9769495501,-0.608732,0.724657,0.991958,0.434660,0.767443,0.500473
9769497996,-0.729889,0.661613,1.052522,0.434664,0.766715,0.500483
9769500492,-0.791187,0.660525,1.113420,0.434644,0.767465,0.501931
9769502989,-0.726744,0.478374,1.234996,0.436820,0.767485,0.501960
9769505484,-0.723404,0.295242,1.356442,0.440422,0.768997,0.503447
9769507979,-0.717771,-0.009943,1.538508,0.438218,0.771182,0.504845
9769510482,-0.711943,-0.315021,1.659546,0.438973,0.773318,0.501181
9769512982,-0.644816,-0.619011,1.719686,0.439034,0.771070,0.496839
9769515488,-0.577689,-0.923001,1.779826,0.434701,0.765944,0.497579
9769517964,-0.450704,-1.165035,1.840301,0.434677,0.767422,0.499016
9769520460,-0.385869,-1.346972,1.839820,0.437611,0.767406,0.496141
