Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9769468336,-0.645135,-0.866950,-0.677870
9769518944,-0.624287,-0.876076,-0.677787
9769569554,-0.624287,-0.876076,-0.677787
9769620172,-0.634968,-0.857595,-0.677682
9769670788,-0.624566,-0.857514,-0.677580
9769721389,-0.624392,-0.866707,-0.686886
9769772001,-0.634925,-0.866884,-0.677803
9769822614,-0.614256,-0.857440,-0.677496
9769873222,-0.645169,-0.867039,-0.668668
9769923832,-0.624461,-0.866883,-0.668481
9769974440,-0.624194,-0.876068,-0.677770
9770025051,-0.624427,-0.866795,-0.677683
9770075666,-0.655773,-0.857758,-0.677886
9770126282,-0.613932,-0.866706,-0.677565
9770176924,-0.634839,-0.857500,-0.686867
9770227503,-0.624322,-0.876165,-0.668584
9770278104,-0.634873,-0.857588,-0.677665
9770328710,-0.613898,-0.866618,-0.686767
9770379329,-0.624333,-0.866787,-0.677666
9770429942,-0.624392,-0.866707,-0.686886
9770480547,-0.624427,-0.866795,-0.677683
9770531162,-0.655675,-0.857751,-0.677868
9770581777,-0.645240,-0.857581,-0.686969
9770632392,-0.635064,-0.857603,-0.677699
9770683009,-0.645371,-0.857677,-0.677784
9770733622,-0.655668,-0.867128,-0.668786
9770784237,-0.655668,-0.867128,-0.668786
9770834849,-0.687467,-0.830335,-0.659476
9770885465,-0.729702,-0.793713,-0.641065
9770936077,-0.760871,-0.813138,-0.577160
9770986692,-0.790472,-0.944202,-0.486888
9771037305,-0.851656,-1.086117,-0.258989
9771087917,-0.851393,-1.191478,0.080364
9771138533,-0.778826,-1.240037,0.365831
9771189152,-0.728068,-1.213656,0.559906
9771239763,-0.677374,-1.149415,0.680759
9771290373,-0.678066,-1.122279,0.754687
9771340989,-0.678760,-1.085508,0.791910
9771391603,-0.678760,-1.085508,0.791910
9771442210,-0.646787,-1.131240,0.745699
9771492817,-0.645427,-1.204621,0.652858
9771543428,-0.674770,-1.287057,0.513576
9771594036,-0.683723,-1.331849,0.338107
9771644648,-0.745598,-1.330429,0.135046
9771695264,-0.777101,-1.254302,-0.085296
9771745876,-0.809405,-1.113357,-0.286490
9771796489,-0.843025,-0.926409,-0.450394
9771847107,-0.866423,-0.731127,-0.503629
9771897728,-0.941502,-0.583286,-0.493485
