Timestamp (us),W Element,X Element,Y Element,Z Element
9769458064,0.861954,0.443676,-0.245713,0.007386
9769460560,0.861961,0.443675,-0.245692,0.007387
9769463056,0.861968,0.443674,-0.245671,0.007391
9769465551,0.861973,0.443674,-0.245651,0.007395
9769468047,0.861977,0.443675,-0.245633,0.007402
9769470543,0.861982,0.443677,-0.245614,0.007411
9769473039,0.861987,0.443677,-0.245595,0.007422
9769475534,0.861994,0.443674,-0.245579,0.007432
9769478030,0.862000,0.443669,-0.245565,0.007442
9769480526,0.862005,0.443665,-0.245554,0.007451
9769483022,0.862010,0.443660,-0.245546,0.007461
9769485517,0.862016,0.443652,-0.245537,0.007475
9769488013,0.862024,0.443641,-0.245530,0.007490
9769490509,0.862032,0.443628,-0.245523,0.007509
9769493005,0.862042,0.443612,-0.245517,0.007530
9769495501,0.862053,0.443593,-0.245512,0.007552
9769497996,0.862065,0.443571,-0.245509,0.007575
9769500492,0.862078,0.443547,-0.245506,0.007598
9769502989,0.862089,0.443524,-0.245509,0.007622
9769505484,0.862099,0.443499,-0.245517,0.007648
9769507979,0.862107,0.443475,-0.245531,0.007673
9769510482,0.862113,0.443451,-0.245553,0.007698
9769512982,0.862116,0.443428,-0.245581,0.007721
9769515488,0.862118,0.443406,-0.245615,0.007743
9769517964,0.862117,0.443386,-0.245654,0.007764
9769520460,0.862114,0.443368,-0.245697,0.007784
9769522955,0.862107,0.443354,-0.245744,0.007804
9769525451,0.862098,0.443347,-0.245791,0.007825
9769527947,0.862085,0.443345,-0.245838,0.007850
9769530442,0.862072,0.443345,-0.245883,0.007873
9769532938,0.862057,0.443348,-0.245930,0.007898
9769535434,0.862042,0.443352,-0.245974,0.007922
9769537930,0.862027,0.443358,-0.246012,0.007946
9769540426,0.862013,0.443367,-0.246047,0.007969
9769542921,0.862001,0.443376,-0.246073,0.007991
9769545417,0.861988,0.443388,-0.246095,0.008011
9769547913,0.861976,0.443402,-0.246113,0.008029
9769550409,0.861964,0.443418,-0.246125,0.008046
9769552905,0.861952,0.443437,-0.246130,0.008066
9769555400,0.861943,0.443455,-0.246130,0.008089
9769557896,0.861936,0.443470,-0.246126,0.008115
9769560392,0.861929,0.443485,-0.246122,0.008139
9769562888,0.861924,0.443499,-0.246115,0.008161
9769565383,0.861920,0.443511,-0.246106,0.008182
9769567879,0.861916,0.443524,-0.246096,0.008202
9769570375,0.861914,0.443535,-0.246083,0.008220
9769572871,0.861913,0.443546,-0.246066,0.008239
9769575367,0.861912,0.443557,-0.246047,0.008258
9769577862,0.861913,0.443567,-0.246027,0.008277
9769580358,0.861913,0.443577,-0.246006,0.008295
9769582854,0.861914,0.443587,-0.245985,0.008309
9769585350,0.861915,0.443596,-0.245967,0.008321
9769587845,0.861915,0.443605,-0.245950,0.008332
9769590341,0.861917,0.443612,-0.245930,0.008342
9769592837,0.861920,0.443615,-0.245913,0.008351
9769595333,0.861922,0.443620,-0.245898,0.008361
9769597828,0.861923,0.443624,-0.245886,0.008371
9769600324,0.861922,0.443628,-0.245879,0.008378
9769602820,0.861920,0.443634,-0.245876,0.008383
9769605316,0.861917,0.443640,-0.245878,0.008384
