Timestamp (us),Percentage (%),Power (dBm)
9769566297,80.000000,-60.000000
9770572968,78.000000,-61.000000
9771552130,68.000000,-66.000000
9772552932,74.000000,-63.000000
9773558742,74.000000,-63.000000
9774557036,80.000000,-60.000000
9775566374,74.000000,-63.000000
9776565932,76.000000,-62.000000
9777554453,74.000000,-63.000000
9778549103,88.000000,-56.000000
9779558573,94.000000,-53.000000
9780566438,100.000000,-50.000000
9781566451,94.000000,-53.000000
9782565960,100.000000,-47.000000
9783551788,100.000000,-47.000000
9784552593,100.000000,-47.000000
9785557520,90.000000,-55.000000
9786556697,92.000000,-54.000000
9787555007,90.000000,-55.000000
9788558305,88.000000,-56.000000
9789578218,76.000000,-62.000000
9790557436,76.000000,-62.000000
9791555729,72.000000,-64.000000
9792565635,76.000000,-62.000000
9793564835,74.000000,-63.000000
9794557862,74.000000,-63.000000
9795553955,76.000000,-62.000000
9796564760,92.000000,-54.000000
9797563081,92.000000,-54.000000
9798556372,92.000000,-54.000000
9799564663,100.000000,-45.000000
9800562114,100.000000,-48.000000
9801551300,100.000000,-45.000000
9802564586,100.000000,-50.000000
9803560399,88.000000,-56.000000
9804558709,90.000000,-55.000000
9805549532,94.000000,-53.000000
9806557041,76.000000,-62.000000
9807567813,76.000000,-62.000000
9808564445,72.000000,-64.000000
9809560264,72.000000,-64.000000
9810558554,80.000000,-60.000000
9811554370,72.000000,-64.000000
9812565158,74.000000,-63.000000
9813555998,86.000000,-57.000000
9814566873,94.000000,-53.000000
9815560091,100.000000,-48.000000
9816566899,100.000000,-45.000000
9817554233,100.000000,-48.000000
9818562513,92.000000,-54.000000
9819553334,94.000000,-53.000000
9820569147,92.000000,-54.000000
9821554964,70.000000,-65.000000
9822558253,72.000000,-64.000000
9823561554,80.000000,-60.000000
9824561533,74.000000,-63.000000
9825554832,78.000000,-61.000000
9826567027,100.000000,-50.000000
9827567039,84.000000,-58.000000
9828565593,94.000000,-53.000000
9829566399,100.000000,-47.000000
9830557225,100.000000,-46.000000
9831555535,94.000000,-53.000000
9832558011,98.000000,-51.000000
9833554654,96.000000,-52.000000
9834552967,100.000000,-50.000000
9835566253,80.000000,-60.000000
9836564564,78.000000,-61.000000
9837565371,74.000000,-63.000000
9838563684,100.000000,-48.000000
9839561264,98.000000,-51.000000
