Timestamp (us),Percentage (%),Voltage (V),Charging Status
9770329429,72.497765,3.724977,0.000000
9771329965,72.476288,3.724763,0.000000
9772330496,72.481644,3.724817,0.000000
9773331026,72.478966,3.724789,0.000000
9774331556,72.476288,3.724763,0.000000
9775332086,72.477615,3.724777,0.000000
9776332629,72.485680,3.724857,0.000000
9777333159,72.461510,3.724615,0.000000
9778333689,72.458817,3.724588,0.000000
9779334221,72.466873,3.724669,0.000000
9780334751,72.453453,3.724535,0.000000
9781335288,72.449417,3.724494,0.000000
9782335818,72.441360,3.724414,0.000000
9783336349,72.452103,3.724521,0.000000
9784336879,72.434647,3.724347,0.000000
9785337434,72.446739,3.724468,0.000000
9786337964,72.431969,3.724319,0.000000
9787338494,72.441368,3.724414,0.000000
9788339024,72.438683,3.724387,0.000000
9789339556,72.421227,3.724212,0.000000
9790340086,72.421234,3.724212,0.000000
9791340616,72.415855,3.724159,0.000000
9792341146,72.421219,3.724212,0.000000
9793341676,72.402435,3.724024,0.000000
9794342209,72.401077,3.724011,0.000000
9795342771,72.380936,3.723809,0.000000
9796343302,72.364822,3.723648,0.000000
9797343832,72.399742,3.723998,0.000000
9798344363,72.370201,3.723702,0.000000
9799344897,72.383629,3.723836,0.000000
9800345428,72.390335,3.723903,0.000000
9801345958,72.402428,3.724024,0.000000
9802346488,72.395706,3.723957,0.000000
9803347018,72.378250,3.723782,0.000000
9804347580,72.372887,3.723729,0.000000
9805348110,72.364830,3.723648,0.000000
9806348640,72.364830,3.723649,0.000000
9807349172,72.354080,3.723541,0.000000
9808349703,72.355438,3.723554,0.000000
9809350234,72.233231,3.722332,0.000000
9810350766,72.351402,3.723514,0.000000
9811351296,72.337982,3.723380,0.000000
9812351826,72.352753,3.723527,0.000000
9813352356,72.352737,3.723527,0.000000
9814352887,72.328575,3.723286,0.000000
9815353417,72.323204,3.723232,0.000000
9816353949,72.378258,3.723783,0.000000
9817354480,72.324554,3.723246,0.000000
9818355018,72.324547,3.723246,0.000000
9819355548,72.332596,3.723326,0.000000
9820356078,72.304398,3.723044,0.000000
9821356609,72.308434,3.723084,0.000000
9822357141,72.312462,3.723125,0.000000
9823357672,72.299034,3.722991,0.000000
9824358203,72.292320,3.722923,0.000000
9825358734,72.297691,3.722977,0.000000
9826359265,72.284264,3.722842,0.000000
9827359796,72.295013,3.722950,0.000000
9828360327,72.290970,3.722909,0.000000
9829360857,72.274857,3.722749,0.000000
9830361389,72.282921,3.722829,0.000000
9831361919,72.262772,3.722628,0.000000
9832362458,72.264122,3.722641,0.000000
9833362990,72.264114,3.722641,0.000000
9834363521,72.260086,3.722601,0.000000
9835364051,72.269485,3.722695,0.000000
9836364581,72.254723,3.722547,0.000000
9837365112,72.270828,3.722708,0.000000
9838365642,72.245316,3.722453,0.000000
9839366172,72.235924,3.722359,0.000000
