Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9769430641,0.749943,-0.112332,-0.154270,0.279654,0.873533,-0.400946
9769433143,0.750175,0.009528,-0.154974,0.278200,0.874277,-0.400227
9769435646,0.750166,0.009824,-0.094352,0.276738,0.874292,-0.399513
9769438149,0.750264,0.071348,0.026541,0.276720,0.876470,-0.395849
9769440651,0.750255,0.071644,0.087163,0.273145,0.876525,-0.400995
9769443154,0.811004,0.071099,0.026645,0.278258,0.875744,-0.403862
9769445657,0.750148,0.010418,0.026893,0.283213,0.871293,-0.396547
9769448159,0.750157,0.010121,-0.033730,0.278844,0.872069,-0.395130
9769450662,0.750148,0.010418,0.026893,0.279595,0.872793,-0.396575
9769453164,0.750273,0.071051,-0.034081,0.277475,0.872104,-0.402440
9769455667,0.750264,0.071348,0.026541,0.276020,0.873575,-0.400986
9769458170,0.689524,0.071596,0.026437,0.279662,0.874262,-0.400940
9769460672,0.750389,0.131981,-0.034433,0.277465,0.874283,-0.399505
9769463175,0.750389,0.131981,-0.034433,0.275317,0.875770,-0.400976
9769465678,0.750273,0.071051,-0.034081,0.281140,0.874250,-0.403112
9769468180,0.750273,0.071051,-0.034081,0.277448,0.873553,-0.398782
9769470685,0.750273,0.071051,-0.034081,0.278182,0.876455,-0.396562
9769473188,0.689524,0.071596,0.026437,0.278190,0.876457,-0.397291
9769475690,0.689631,0.132823,0.086707,0.277416,0.871364,-0.398070
9769478193,0.689631,0.132823,0.086707,0.274511,0.868488,-0.401043
9769480695,0.689534,0.071299,-0.034185,0.278208,0.874279,-0.400956
9769483198,0.628812,0.070954,-0.155534,0.281899,0.877158,-0.403081
9769485701,0.568082,0.070906,-0.216260,0.282594,0.874233,-0.403096
9769488203,0.507458,0.132085,-0.216716,0.279605,0.871340,-0.398775
9769490706,0.507556,0.193608,-0.095823,0.279660,0.876443,-0.398734
9769493209,0.507779,0.315764,-0.035905,0.279625,0.878618,-0.393611
9769495711,0.507663,0.254835,-0.035553,0.280396,0.875710,-0.400191
9769498214,0.507440,0.132678,-0.095471,0.280414,0.873531,-0.403856
9769500716,0.507199,0.011115,-0.034145,0.281074,0.872781,-0.398747
9769503219,0.567947,0.010570,-0.094664,0.283262,0.873485,-0.398717
9769505722,0.628803,0.071251,-0.094912,0.282519,0.872763,-0.398002
9769508225,0.628910,0.132478,-0.034641,0.279620,0.873526,-0.398028
9769510727,0.568063,0.071500,-0.095016,0.278167,0.873542,-0.398044
9769513230,0.446709,0.132630,-0.156198,0.277457,0.872827,-0.400246
9769515733,0.446719,0.132333,-0.216820,0.275977,0.875020,-0.395868
9769518235,0.385970,0.132878,-0.156301,0.276727,0.877926,-0.395107
9769520738,0.446826,0.193560,-0.156549,0.283280,0.872034,-0.401647
9769523241,0.386193,0.255035,-0.096383,0.281090,0.873512,-0.399471
9769525743,0.386416,0.377191,-0.036464,0.276705,0.873557,-0.397331
9769528246,0.386514,0.438715,0.084428,0.277455,0.875736,-0.397305
9769530749,0.447369,0.499396,0.084180,0.281792,0.873498,-0.397275
9769533251,0.386639,0.499348,0.023454,0.279612,0.872796,-0.398034
9769535754,0.325918,0.499003,-0.097894,0.276754,0.875023,-0.400237
9769538256,0.325801,0.438073,-0.097542,0.278893,0.874261,-0.397301
9769540759,0.264937,0.377688,-0.036672,0.279548,0.868419,-0.396610
9769543262,0.204081,0.317007,-0.036424,0.275980,0.870657,-0.400280
9769545764,0.203858,0.194851,-0.096343,0.276697,0.872101,-0.398072
