Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9769468470,-0.837410,-0.992429,0.317908
9769519444,-0.837316,-0.983376,0.327494
9769570422,-0.828547,-0.992596,0.317870
9769621396,-0.837328,-0.983384,0.327522
9769672371,-0.837247,-0.974340,0.337135
9769723339,-0.819553,-0.974865,0.327269
9769774315,-0.846127,-0.982835,0.347133
9769825284,-0.837276,-0.983011,0.347121
9769876260,-0.837235,-0.974332,0.337106
9769927234,-0.846086,-0.974156,0.337118
9769978206,-0.837332,-0.983218,0.337396
9770029175,-0.837296,-0.983193,0.337308
9770080144,-0.846147,-0.983018,0.337319
9770131113,-0.846127,-0.982835,0.347133
9770182080,-0.837215,-0.974149,0.346920
9770233051,-0.828510,-0.992064,0.347373
9770284023,-0.837247,-0.974340,0.337135
9770334993,-0.837276,-0.983011,0.347121
9770385961,-0.837238,-0.974165,0.346981
9770436930,-0.837235,-0.974332,0.337106
9770487899,-0.837247,-0.974340,0.337135
9770538867,-0.837267,-0.974522,0.327320
9770589843,-0.846186,-0.982877,0.347287
9770640818,-0.828446,-0.983369,0.337296
9770691787,-0.837285,-0.983185,0.337278
9770742757,-0.837191,-0.974133,0.346859
9770793734,-0.846077,-0.973982,0.346962
9770844722,-0.837316,-0.983376,0.327494
9770895684,-0.828404,-0.974689,0.327280
9770946660,-0.828539,-0.992422,0.327712
9770997640,-0.837256,-0.982828,0.356935
9771048613,-0.819586,-0.983369,0.347129
9771099583,-0.828448,-0.983202,0.347171
9771150552,-0.837216,-0.982463,0.376563
9771201523,-0.846046,-0.982105,0.386389
9771252485,-0.837203,-0.974141,0.346889
9771303449,-0.828425,-0.983186,0.347110
9771354430,-0.837300,-0.983027,0.347183
9771405398,-0.837235,-0.974332,0.337106
9771456371,-0.846119,-0.982661,0.356979
9771507342,-0.828466,-0.983551,0.327482
9771558309,-0.837235,-0.974332,0.337106
9771609267,-0.837214,-0.965835,0.317277
9771660230,-0.837307,-0.974888,0.307690
9771711195,-0.846093,-0.966017,0.297636
9771762169,-0.837266,-0.966209,0.297673
9771813134,-0.837339,-0.975079,0.297899
9771864096,-0.837289,-0.966225,0.297721
