Timestamp (us),W Element,X Element,Y Element,Z Element
9769430641,0.485783,0.580269,-0.599424,-0.261220
9769433143,0.485773,0.580286,-0.599423,-0.261206
9769435646,0.485762,0.580301,-0.599422,-0.261193
9769438149,0.485755,0.580315,-0.599421,-0.261178
9769440651,0.485745,0.580330,-0.599422,-0.261162
9769443154,0.485735,0.580345,-0.599423,-0.261145
9769445657,0.485727,0.580358,-0.599424,-0.261128
9769448159,0.485719,0.580372,-0.599424,-0.261113
9769450662,0.485710,0.580386,-0.599424,-0.261098
9769453164,0.485701,0.580401,-0.599424,-0.261081
9769455667,0.485691,0.580416,-0.599424,-0.261065
9769458170,0.485684,0.580430,-0.599424,-0.261049
9769460672,0.485676,0.580445,-0.599423,-0.261033
9769463175,0.485667,0.580461,-0.599421,-0.261017
9769465678,0.485658,0.580477,-0.599421,-0.261001
9769468180,0.485649,0.580492,-0.599420,-0.260985
9769470685,0.485646,0.580516,-0.599409,-0.260962
9769473188,0.485643,0.580540,-0.599398,-0.260939
9769475690,0.485641,0.580563,-0.599388,-0.260914
9769478193,0.485638,0.580587,-0.599379,-0.260889
9769480695,0.485634,0.580612,-0.599368,-0.260866
9769483198,0.485630,0.580637,-0.599356,-0.260844
9769485701,0.485627,0.580662,-0.599343,-0.260823
9769488203,0.485626,0.580687,-0.599329,-0.260803
9769490706,0.485626,0.580711,-0.599314,-0.260782
9769493209,0.485630,0.580734,-0.599299,-0.260759
9769495711,0.485632,0.580757,-0.599285,-0.260736
9769498214,0.485630,0.580781,-0.599273,-0.260714
9769500716,0.485629,0.580803,-0.599262,-0.260694
9769503219,0.485627,0.580825,-0.599251,-0.260673
9769505722,0.485625,0.580849,-0.599239,-0.260650
9769508225,0.485624,0.580873,-0.599227,-0.260627
9769510727,0.485622,0.580897,-0.599215,-0.260607
9769513230,0.485621,0.580920,-0.599200,-0.260587
9769515733,0.485621,0.580945,-0.599184,-0.260570
9769518235,0.485622,0.580968,-0.599168,-0.260553
9769520738,0.485621,0.580986,-0.599159,-0.260536
9769523241,0.485622,0.581003,-0.599150,-0.260519
9769525743,0.485624,0.581021,-0.599138,-0.260501
9769528246,0.485628,0.581037,-0.599128,-0.260481
9769530749,0.485633,0.581054,-0.599118,-0.260458
9769533251,0.485637,0.581071,-0.599107,-0.260437
9769535754,0.485641,0.581089,-0.599093,-0.260419
9769538256,0.485645,0.581107,-0.599081,-0.260402
9769540759,0.485649,0.581123,-0.599069,-0.260384
9769543262,0.485652,0.581139,-0.599058,-0.260369
9769545764,0.485654,0.581154,-0.599048,-0.260356
9769548267,0.485656,0.581169,-0.599037,-0.260344
9769550770,0.485657,0.581185,-0.599027,-0.260330
9769553272,0.485660,0.581198,-0.599017,-0.260318
9769555775,0.485662,0.581211,-0.599007,-0.260306
9769558278,0.485663,0.581225,-0.598999,-0.260293
9769560780,0.485664,0.581239,-0.598989,-0.260281
9769563283,0.485665,0.581255,-0.598978,-0.260269
9769565786,0.485670,0.581271,-0.598965,-0.260256
9769568302,0.485674,0.581284,-0.598954,-0.260244
9769570790,0.485680,0.581304,-0.598936,-0.260229
9769573292,0.485685,0.581326,-0.598918,-0.260214
9769575795,0.485692,0.581347,-0.598898,-0.260198
9769578298,0.485700,0.581371,-0.598876,-0.260181
9769580800,0.485706,0.581394,-0.598857,-0.260163
9769583303,0.485711,0.581417,-0.598838,-0.260145
9769585806,0.485716,0.581439,-0.598821,-0.260126
9769588308,0.485720,0.581460,-0.598804,-0.260108
9769590811,0.485725,0.581481,-0.598788,-0.260091
9769593313,0.485729,0.581501,-0.598771,-0.260077
9769595816,0.485734,0.581520,-0.598755,-0.260062
9769598319,0.485740,0.581540,-0.598738,-0.260046
9769600821,0.485745,0.581560,-0.598723,-0.260028
9769603324,0.485748,0.581581,-0.598708,-0.260009
9769605827,0.485752,0.581601,-0.598693,-0.259991
9769608330,0.485758,0.581620,-0.598678,-0.259974
9769610832,0.485763,0.581641,-0.598661,-0.259957
9769613335,0.485768,0.581662,-0.598644,-0.259938
9769615838,0.485773,0.581684,-0.598626,-0.259920
9769618340,0.485778,0.581705,-0.598609,-0.259904
9769620843,0.485782,0.581726,-0.598592,-0.259887
9769623346,0.485784,0.581742,-0.598580,-0.259875
9769625848,0.485786,0.581758,-0.598568,-0.259862
9769628351,0.485787,0.581774,-0.598558,-0.259848
9769630854,0.485790,0.581789,-0.598548,-0.259833
9769633356,0.485793,0.581805,-0.598537,-0.259817
9769635859,0.485797,0.581820,-0.598525,-0.259803
9769638362,0.485801,0.581834,-0.598514,-0.259789
9769640864,0.485804,0.581849,-0.598504,-0.259775
9769643367,0.485809,0.581862,-0.598492,-0.259763
9769645870,0.485812,0.581876,-0.598481,-0.259750
9769648372,0.485815,0.581890,-0.598472,-0.259736
9769650875,0.485818,0.581903,-0.598463,-0.259722
9769653378,0.485821,0.581917,-0.598452,-0.259708
9769655880,0.485824,0.581932,-0.598441,-0.259695
9769658383,0.485827,0.581948,-0.598430,-0.259680
9769660885,0.485830,0.581962,-0.598420,-0.259665
9769663388,0.485835,0.581976,-0.598409,-0.259651
9769665891,0.485839,0.581990,-0.598398,-0.259638
9769668394,0.485844,0.582003,-0.598387,-0.259624
9769670896,0.485848,0.582016,-0.598377,-0.259610
