Timestamp (us),Percentage (%),Power (dBm)
9769841525,88.000000,-56.000000
9770844807,88.000000,-56.000000
9771843517,90.000000,-55.000000
9772849483,90.000000,-55.000000
9773837930,90.000000,-55.000000
9774846590,90.000000,-55.000000
9775852574,82.000000,-59.000000
9776853640,82.000000,-59.000000
9777837188,84.000000,-58.000000
9778840756,86.000000,-57.000000
9779831810,80.000000,-60.000000
9780842887,78.000000,-61.000000
9781851495,98.000000,-51.000000
9782842517,100.000000,-48.000000
9783842243,80.000000,-60.000000
9784852157,92.000000,-54.000000
9785838645,76.000000,-62.000000
9786841811,88.000000,-56.000000
9787845348,92.000000,-54.000000
9788849023,84.000000,-58.000000
9789843238,90.000000,-55.000000
9790846092,90.000000,-55.000000
9791845287,90.000000,-55.000000
9792850692,82.000000,-59.000000
9793848054,78.000000,-61.000000
9794852485,80.000000,-60.000000
9795851413,80.000000,-60.000000
9796851144,86.000000,-57.000000
9797853544,92.000000,-54.000000
9798849585,88.000000,-56.000000
9799848172,96.000000,-52.000000
9800844199,100.000000,-50.000000
9801850305,96.000000,-52.000000
9802855334,90.000000,-55.000000
9803844896,86.000000,-57.000000
9804838455,76.000000,-62.000000
9805844559,84.000000,-58.000000
9806835585,86.000000,-57.000000
9807844160,76.000000,-62.000000
9808842725,76.000000,-62.000000
9809838436,84.000000,-58.000000
9810849899,78.000000,-61.000000
9811838419,92.000000,-54.000000
9812850892,80.000000,-60.000000
9813853100,94.000000,-53.000000
9814839119,94.000000,-53.000000
9815837684,90.000000,-55.000000
9816836055,100.000000,-49.000000
9817849876,100.000000,-50.000000
9818850933,94.000000,-53.000000
9819840009,94.000000,-53.000000
9820853034,74.000000,-63.000000
9821844123,74.000000,-63.000000
9822845190,72.000000,-64.000000
9823845209,88.000000,-56.000000
9824846428,80.000000,-60.000000
9825848395,82.000000,-59.000000
9826844423,100.000000,-48.000000
9827850503,88.000000,-56.000000
9828841553,92.000000,-54.000000
9829852632,96.000000,-52.000000
9830851231,100.000000,-49.000000
9831849796,96.000000,-52.000000
9832843322,92.000000,-54.000000
9833851897,86.000000,-57.000000
9834855467,94.000000,-53.000000
9835839016,96.000000,-52.000000
9836842617,90.000000,-55.000000
9837848763,92.000000,-54.000000
9838834741,84.000000,-58.000000
